databaseId	name	imageUrl	cardBack	type	packName	set	loadGroupId	faction	subtitle	cost	requires	provides	fighting	power	body	rarity	designators	text
combatinkowloon_serena_chase_cik_400	Serena Chase	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-SerenaChase.jpg	default	Character	Combat in Kowloon	combatinkowloon	playerNDeck	Ascended	Transformed Stone Fox	3	{asc}{asc}	{asc}	4			Fixed	serena chase transformed stone fox	Unique. Stealth. If Serena Chase is attacking a card controlled by a player who controls 3 or more Sites, gain 1 Power when she damages her target.
combatinkowloon_sewer_scum_cik_400	Sewer Scum	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-SewerScum.jpg	default	Character	Combat in Kowloon	combatinkowloon	playerNDeck	Eaters of the Lotus	Festering Demons	3	{lot}{lot}{mag}	{lot}	6			Fixed	sewer scum festering demon	When Sewer Scum is healed, it gains -1 Fighting until it leaves play.
combatinkowloon_shaking_the_mountain_cik_400	Shaking the Mountain	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-ShakingTheMountain.jpg	default	Event	Combat in Kowloon	combatinkowloon	playerNDeck	Chi	Event	1	{chi}{chi}					Fixed	shaking mountain	Target a location :: Turn all Characters and Sites at target location.
combatinkowloon_shaolin_student_cik_400	Shaolin Student	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-ShaolinStudent.jpg	default	Character	Combat in Kowloon	combatinkowloon	playerNDeck	Guiding Hand	Fledgling Monk	1		{han}	1			Fixed	shaolin student fledgling monk	When an opponent burns a Feng Shui Site you control, sacrifice Shaolin Student :: Play a <Martial> <Artist> or <Kung> <Fu> Character at -3 cost.
combatinkowloon_shaolin_supplicants_cik_400	Shaolin Supplicants	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-ShaolinSupplicants.jpg	default	Character	Combat in Kowloon	combatinkowloon	playerNDeck	Guiding Hand	Kung Fu Pilgrims	1		{han}{chi}	1			Fixed	shaolin supplicant kung fu pilgrim	
combatinkowloon_shield_of_pure_soul_cik_400	Shield of Pure Soul	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-ShieldOfPureSoul.jpg	default	Edge	Combat in Kowloon	combatinkowloon	playerNDeck	Guiding Hand	Edge	0	{han}{chi}					Fixed	shield pure soul	Limited. When a Site you control is seized or burned, you gain 1 Power and may search your deck and select a card. Reshuffle your deck, then place the selected card on top of your deck.
combatinkowloon_sifu_beumer_cik_400	Sifu Beumer	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-SifuBeumer.jpg	default	Character	Combat in Kowloon	combatinkowloon	playerNDeck	Guiding Hand	Master Martial Artist	5	{han}{han}{han}	{han}{chi}	8			Fixed	sifu beumer master martial artist	Unique. Toughness 2 Student and KungFu Characters you control gain +1 Fighting.
combatinkowloon_smiling_heaven_lake_cik_400	Smiling Heaven Lake	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-SmilingHeavenLake.jpg	default	Site	Combat in Kowloon	combatinkowloon	playerNDeck	Feng Shui Site	Feng Shui Site					1	8	Fixed	smiling heaven lake	Turn and choose a resource you have in your pool :: Play a Character ignoring one of the chosen resource conditions.
combatinkowloon_soul_theft_cik_400	Soul Theft	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-SoulTheft.jpg	default	State	Combat in Kowloon	combatinkowloon	playerNDeck	Eaters of the Lotus	State	2	{lot}					Fixed	soul theft	If subject Character is smoked due to damage (combat or non-combat) and you did not control subject, return it to play under your control. It gains the designator <Undead>.
combatinkowloon_spit_and_baling_wire_cik_400	Spit and Baling Wire	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-SpitAndBalingWire.jpg	default	Event	Combat in Kowloon	combatinkowloon	playerNDeck	High Tech	Event	0	{tek}					Fixed	spit baling wire	Choose a Vehicle, Weapon or {tek} State in your smoked pile and a character you control that is a legal subject for that State :: Return the chosen State to play on that Character. At the end of the turn, toast that State, even if it is in your smoked pile.
combatinkowloon_stand_together_cik	Stand Together	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-StandTogether.jpg	default	Edge	Combat in Kowloon	combatinkowloon	playerNDeck	Unaligned	Edge	1						Promo	stand together	Limited. You must have at least two resources each from two different factions in your pool to play this card. Choose a designator when you play this card. All Characters with that designator gain +1 Fighting.
combatinkowloon_stone_dolmens_cik_400	Stone Dolmens	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-StoneDolmens.jpg	default	Site	Combat in Kowloon	combatinkowloon	playerNDeck	Feng Shui Site	Feng Shui Site					1	8	Fixed	stone dolmen	Turn and choose a State on a card you own :: Smoke that State.
combatinkowloon_student_of_the_dragon_cik_400	Student of the Dragon	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-StudentOfTheDragon.jpg	default	Character	Combat in Kowloon	combatinkowloon	playerNDeck	Dragons	Martial Artist	1		{dra}	1			Fixed	student dragon martial artist	Independent. If a card at this location is attacked, Student of the Dragon must be declared as an interceptor.
combatinkowloon_superior_kung_fu_cik_400	Superior Kung Fu	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-SuperiorKungFu.jpg	default	Event	Combat in Kowloon	combatinkowloon	playerNDeck	Guiding Hand	Event	0	{han}{han}					Fixed	super ior kung fu	Not cumulative. Target a Character that is about to enter combat with a Character with a higher Fighting :: Target gains +2 Fighting until the end of the turn.
combatinkowloon_taiko_drummer_cik_400	Taiko Drummer	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-TaikoDrummer.jpg	default	Character	Combat in Kowloon	combatinkowloon	playerNDeck	Guiding Hand	Martial Arts Student	2	{han}	{han}{chi}	2			Fixed	taiko drummer martial art student	Sacrifice :: All your Characters gain +X Fighting until the end of the turn. X= the number of Feng Shui Sites you control minus the number of cards in your burned-for-victory pile.
combatinkowloon_tail_of_the_lizard_cik_400	Tail of the Lizard	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-TailOfTheLizard.jpg	default	Character	Combat in Kowloon	combatinkowloon	playerNDeck	Ascended	Transformed Spy	2		{asc}{chi}	2			Fixed	tail lizard transformed spy	Tactics. When Tail of the Lizard uses Tactics before combat against an opponent's card, it inflicts 1 non-combat damage to that card.
combatinkowloon_tears_of_the_crocodile_cik_400	Tears of the Crocodile	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-TearsOfTheCrocodile.jpg	default	Character	Combat in Kowloon	combatinkowloon	playerNDeck	Ascended	Transformed Killer	4	{asc}{asc}	{asc}{chi}	6			Fixed	tear crocodile transformed killer	Stealth. Pay 1 Power :: Tears of the Crocodile gains Ambush until the end of the turn.
combatinkowloon_tech_squad_cik_400	Tech Squad	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-TechSquad.jpg	default	Character	Combat in Kowloon	combatinkowloon	playerNDeck	Dragons	Hardware Support	2		{dra}{tek}	2			Fixed	tech squad hardware support	Independent. +1 Fighting while the subject of a {tek} State.
combatinkowloon_temple_guards_cik_400	Temple Guards	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-TempleGuards.jpg	default	Character	Combat in Kowloon	combatinkowloon	playerNDeck	Guiding Hand	Kung Fu Warriors	2		{han}{chi}	2			Fixed	temple guard kung fu warrior	Turn and maintain a Garden, Temple or Sanctuary Site that you control :: This card gains either +1 Fighting or Superleap.
combatinkowloon_the_great_wastes_cik_400	The Great Wastes	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-TheGreatWastes.jpg	default	Site	Combat in Kowloon	combatinkowloon	playerNDeck	Feng Shui Site	Feng Shui Site					1	4	Fixed	great waste	Unique. Turn and target a card :: Turn target.
combatinkowloon_the_iron_monkey_cik_400	The Iron Monkey	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-TheIronMonkey.jpg	default	Character	Combat in Kowloon	combatinkowloon	playerNDeck	Guiding Hand	Masked Hero	4	{han}{han}	{han}{chi}	5			Fixed	iron monkey masked hero	Unique. Superleap. When The Iron Monkey inflicts combat damage on the target of his attack, steal half of his target's controller's Power (round down) and give that Power to any player you choose.
combatinkowloon_the_iron_palace_cik_400	The Iron Palace	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-TheIronPalace.jpg	default	Site	Combat in Kowloon	combatinkowloon	playerNDeck	Feng Shui Site	Secret Feng Shui Site					1	7	Fixed	iron palace secret	Unique. Turn and maintain and target a Character :: Target gains Toughness 1.
combatinkowloon_the_jade_dragon_cik_400	The Jade Dragon	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-TheJadeDragon.jpg	default	State	Combat in Kowloon	combatinkowloon	playerNDeck	Guiding Hand	State	3	{han}					Fixed	jade dragon	Unique. Schtick. Play on a front-row Site. This card generates 2 Power during your Establishing Shot. Subject cannot be burned and gains Toughness 1.
combatinkowloon_the_real_deal_cik_400	The Real Deal	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-TheRealDeal.jpg	default	State	Combat in Kowloon	combatinkowloon	playerNDeck	Unaligned	State	2						Promo	real deal	Play on a Character. Subject gains +3 Fighting and is not affected by effects generated by Characters, Sites or Edges. If subject is Unique, Events targeting subject cost an additional Power to play.
combatinkowloon_the_she-wolf_cik_400	The She-Wolf	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-TheSheWolf.jpg	default	Character	Combat in Kowloon	combatinkowloon	playerNDeck	Ascended	Transformed Animal Warlord	5	{asc}{asc}{asc}	{asc}	8			Fixed	she wolf transformed animal warlord	Unique. Uncopyable. Up to two unturned Characters you control may attack with The She-Wolf without turning.
combatinkowloon_the_twisted_gardens_cik_400	The Twisted Gardens	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-TheTwistedGardens.jpg	default	Site	Combat in Kowloon	combatinkowloon	playerNDeck	Eaters of the Lotus	Netherworld Demon Site	2	{lot}{lot}	{lot}		1	6	Fixed	twisted garden netherworld demon	Unique. Toughness 1. All <Demon>, <Ghost> and <Spirit> cards you control gain +1 combat damage.
combatinkowloon_treasure_cache_cik_400	Treasure Cache	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-TreasureCache.jpg	default	State	Combat in Kowloon	combatinkowloon	playerNDeck	Ascended	State	0	{asc}{asc}					Fixed	treasure cache	Schtick. Limited. Play on a front-row site. Treasure Cache inflicts 1 non-combat damage to subject when it enters play. Turn :: Add a counter to this card. When there are three or more counters on this card, sacrifice it :: Gain Power equal to the number of players.
combatinkowloon_undead_horrors_cik_400	Undead Horrors	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-UndeadHorrors.jpg	default	Character	Combat in Kowloon	combatinkowloon	playerNDeck	Eaters of the Lotus	Decaying Minions	1		{lot}	1			Fixed	undead horror decaying minion	When another {lot} Character you control is smoked during your Main Shot, you may return this card to play from your smoked pile if you have not already returned an "Undead Horrors" to play this turn.
combatinkowloon_underworld_coronation_cik_400	Underworld Coronation	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-UnderworldCoronation.jpg	default	Event	Combat in Kowloon	combatinkowloon	playerNDeck	Eaters of the Lotus	Event	3	{lot}{lot}{lot}{lot}					Fixed	underworld coronation	One Shot. Target a Character :: Smoke all Characters except target.
combatinkowloon_vale_of_tears_cik_400	Vale of Tears	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-ValeOfTears.jpg	default	Site	Combat in Kowloon	combatinkowloon	playerNDeck	Feng Shui Site	Feng Shui Site					1	7	Fixed	vale tear	Once per turn when an opponent damages this Site, draw three cards, then discard up to three cards. When an opponent burns this Site, draw three cards, then discard up to three cards.
combatinkowloon_venerable_apothecary_cik_400	Venerable Apothecary	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-VenerableApothecary.jpg	default	Site	Combat in Kowloon	combatinkowloon	playerNDeck	Guiding Hand	Hong Kong Site	1	{han}{chi}	{han}{chi}		1	6	Fixed	venerable apothecary hong kong	Once during an opponent's Main Shot, he or she may place a counter on this card :: That opponent heals up to two damage total from cards he or she controls. Turn and remove X counters :: Gain X Power.
combatinkowloon_violet_meditation_cik_400	Violet Meditation	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-VioletMeditation.jpg	default	Event	Combat in Kowloon	combatinkowloon	playerNDeck	Chi	Event	0	{chi}					Fixed	violet meditation	Play at the start of your turn and target an opponent :: Generate X Power. X = the number of Edges plus the number of Power-generating Sites controlled by the target, minus the number of cards in your burned-for-victory pile. No other card you control of play generates Power during this Establishing Shot.
combatinkowloon_walk_on_the_wild_side_cik_400	Walk on the Wild Side	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-WalkOnTheWildSide.jpg	default	State	Combat in Kowloon	combatinkowloon	playerNDeck	Ascended	State	1	{asc}{asc}					Fixed	walk wild side	Play on a <Lodge> or <Transformed> Character. All damage inflicted on subject by {mag} cards is increased by 1. While attacking, subject gains +2 Fighting and Toughness 1.
combatinkowloon_walking_corpses_cik_400	Walking Corpses	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-WalkingCorpses.jpg	default	Character	Combat in Kowloon	combatinkowloon	playerNDeck	Eaters of the Lotus	Undead Servitors	2	{lot}	{lot}	4			Fixed	walking corpse undead servitor	Cannot turn to change location. Damage cannot be removed from Walking Corpses.
combatinkowloon_wall_of_a_thousand_eyes_cik_400	Wall of a Thousand Eyes	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-WallOfAThousandEyes.jpg	default	Site	Combat in Kowloon	combatinkowloon	playerNDeck	Feng Shui Site	Netherworld Feng Shui Site					1	7	Fixed	wall thousand eye netherworld	Characters attacking Sites you control cannot use Ambush, Stealth, Superleap, or Tactics.
combatinkowloon_waterfall_sanctuary_cik_400	Waterfall Sanctuary	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-WaterfallSanctuary.jpg	default	Site	Combat in Kowloon	combatinkowloon	playerNDeck	Feng Shui Site	Feng Shui Site					1	7	Fixed	waterfall sanctuary	Turn and choose a State on a Character at this location :: Smoke that State. If you controlled the subject Character at that time, you may draw a card.
combatinkowloon_whirlpool_of_blood_cik_400	Whirlpool of Blood	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-WhirlpoolOfBlood.jpg	default	Site	Combat in Kowloon	combatinkowloon	playerNDeck	Feng Shui Site	Netherworld Feng Shui Site					1	5	Fixed	whirlpool blood netherworld	Turn :: Cancel an effect generated or maintained by the turning of a Feng Shui Site.
combatinkowloon_wolf_clan_hunters_cik_400	Wolf Clan Hunters	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-WolfClanHunters.jpg	default	Character	Combat in Kowloon	combatinkowloon	playerNDeck	Ascended	Transformed Animals	2		{asc}	2			Fixed	wolf clan hunter transformed animal	+X Fighting while attacking. X= The number of other attacking <Transformed> Characters.
combatinkowloon_wolf_den_cik_400	Wolf Den	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-WolfDen.jpg	default	Site	Combat in Kowloon	combatinkowloon	playerNDeck	Ascended	Site	2	{asc}	{asc}		1	8	Fixed	wolf den	Toughness 2 against {mag} cards. When this card enters play, you may Reload one or two cards.
combatinkowloon_wrench_slinger_cik_400	Wrench Slinger	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-WrenchSlinger.jpg	default	Character	Combat in Kowloon	combatinkowloon	playerNDeck	Dragons	Scrappy Mechanic	1	{dra}	{dra}{tek}	1			Fixed	wrench slinger scrappy mechanic	Reduce to 0 all damage inflicted on this card by Vehicle or {tek} States. Turn and choose a Vehicle or {tek} State in any player's smoked pile :: Return that State to its owner's Hand.
combatinkowloon_xin_ji_yang_cik_400	Xin Ji Yang	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-XinJiYang.jpg	default	Character	Combat in Kowloon	combatinkowloon	playerNDeck	Eaters of the Lotus	Center of the Lotus	4	{lot}{lot}{lot}{lot}	{lot}{lot}{mag}	6			Promo	xin ji yang center lotus	Unique. +2 Fighting for each <Eunuch> or <Petal> Character you control.
combatinkowloon_you_xia_the_avenger_cik_400	You Xia, the Avenger	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-YouXiaTheAvenger.jpg	default	Character	Combat in Kowloon	combatinkowloon	playerNDeck	Dragons	Heroic Vigilante	4	{dra}{dra}	{dra}{tek}	6			Fixed	you xia avenger heroic vigilante	Unique. Not affected by other Characters' Ambush, Stealth, or Superleap. Once per turn, you may play a Vehicle, Weapon or {tek} State at -1 cost on a Character that is not already the subject of a State.
combatinkowloon_youn_wha_cik_400	Youn Wha	shadowfist/combat-in-kowloon/Shadowfist-CombatInKowloon-YounWha.jpg	default	Character	Combat in Kowloon	combatinkowloon	playerNDeck	Guiding Hand	Kung Fu Master	3	{han}{han}{han}	{han}{chi}	4			Fixed	youn wha kung fu master	Unique. Whenever an opponent's Character enters combat with a site at this location, inflict 1 non-combat damage on that Character. Turn and maintain :: All {chi} characters you control gain +1 Fighting.
criticalshift_acupressure_master_cs	Acupressure Master	shadowfist/critical-shift/Shadowfist-CriticalShift-AcupressureMaster.jpg	default	Character	Critical Shift	criticalshift	playerNDeck	Guiding Hand	Martial Artist	4	{han}{han}	{han}{chi}	6			Uncommon	acupressure master martial artist	Toughness: 1. When damage inflicted on this card is reduced by Toughness, you may remove X damage, divided any way you want, from cards in play. X= the amount of damage reduced.
criticalshift_anubis_cs	Anubis	shadowfist/critical-shift/Shadowfist-CriticalShift-Anubis.jpg	default	Character	Critical Shift	criticalshift	playerNDeck	Ascended	Reascended Jackal	5	{asc}{asc}{asc}{tek}{tek}	{asc}{tek}	7			Rare	anubis reascended jackal	Unique. Stealth. Gains +1 Fighting until he leaves play when any Character is smoked.
criticalshift_ape_shall_kill_ape_cs	Ape Shall Kill Ape	shadowfist/critical-shift/Shadowfist-CriticalShift-ApeShallKillApe.jpg	default	Event	Critical Shift	criticalshift	playerNDeck	Jammers	Event	0	{jam}{jam}					Uncommon	ape shall kill	Faceoff. Turn a Character you control and target an opponent's Character with Fighting no lower than two less than yours. The winner may blank the text of a Site controlled by the loser until it leaves play.
criticalshift_arcanomoth_cs	Arcanomoth	shadowfist/critical-shift/Shadowfist-CriticalShift-Arcanomoth.jpg	default	Character	Critical Shift	criticalshift	playerNDeck	Architects of the Flesh	Metamorphic Abomination	2		{arc}{tek}	2			Common	arcano moth metamorphic abomination	If you have {arc}{arc}{arc} before you play this card, you may pay 2 additional Power while doing so to give it +4 Fighting and Toughness: 1 until it leaves play.
criticalshift_arctic_fortress_cs	Arctic Fortress	shadowfist/critical-shift/Shadowfist-CriticalShift-ArcticFortress.jpg	default	Site	Critical Shift	criticalshift	playerNDeck	Feng Shui Site	Feng Shui Site					1	8	Uncommon	arctic fortress	Takes no damage from Characters that are the subject of States.
criticalshift_black_belt_rebels_cs	Black Belt Rebels	shadowfist/critical-shift/Shadowfist-CriticalShift-BlackBeltRebels.jpg	default	Character	Critical Shift	criticalshift	playerNDeck	Guiding Hand	Fanatic Nationalists	3	{han}	{han}	4			Common	black belt rebel fanatic nationalist	You may play this card from your smoked pile at -2 cost when an opponent who is closer to victory than you declares an attack on a card you control.
criticalshift_black_helicopter_squad_cs	Black Helicopter Squad	shadowfist/critical-shift/Shadowfist-CriticalShift-BlackHelicopterSquad.jpg	default	Character	Critical Shift	criticalshift	playerNDeck	Ascended	Pledged Agents	1		{asc}	1			Common	black helicopter squad pledged agent	+2 damage. Cannot be declared as an attacker unless a Unique Character is also attacking.
criticalshift_botzilla_cs	Botzilla	shadowfist/critical-shift/Shadowfist-CriticalShift-Botzilla.jpg	default	Character	Critical Shift	criticalshift	playerNDeck	Jammers	Behemoth Mechanical Lizard	6	{jam}{jam}{jam}{jam}{tek}	{jam}{tek}	10			Rare	botzilla behemoth mechanical lizard	Unique. Guts. Inflict 2 damage on any opponent's card that turns while Botzilla is attacking.
criticalshift_bouncing_the_rubble_cs	Bouncing the Rubble	shadowfist/critical-shift/Shadowfist-CriticalShift-BouncingTheRubble.jpg	default	Edge	Critical Shift	criticalshift	playerNDeck	Jammers	Edge	0	{jam}{jam}					Uncommon	bouncing rubble	Limited. Put a counter on this card when a Site's Body is reduced to 0. Turn and remove all counters :: Inflict damage on target Site equal to the number of counters.
criticalshift_box_of_bones_cs	Box of Bones	shadowfist/critical-shift/Shadowfist-CriticalShift-BoxOfBones.jpg	default	Edge	Critical Shift	criticalshift	playerNDeck	Eaters of the Lotus	Edge	1	{lot}{lot}{mag}					Uncommon	box bone	Turn when a Character is healed :: Inflict X damage on a Character. X= the amount of damage healed.
criticalshift_bull_market_cs	Bull Market	shadowfist/critical-shift/Shadowfist-CriticalShift-BullMarket.jpg	default	Event	Critical Shift	criticalshift	playerNDeck	Ascended	Event	0	{asc}{asc}{asc}					Uncommon	bull market	Limited. Every player gains 5 Power.
criticalshift_burning_man_cs	Burning Man	shadowfist/critical-shift/Shadowfist-CriticalShift-BurningMan.jpg	default	Character	Critical Shift	criticalshift	playerNDeck	Four Monarchs	Fire Secret Agent	4	{mon}	{mon}{chi}	6			Uncommon	burning man fire secret agent	Stealth. Play only if you control at least one <Secret> card. +2 damage.
criticalshift_bush_pilot_cs	Bush Pilot	shadowfist/critical-shift/Shadowfist-CriticalShift-BushPilot.jpg	default	Character	Critical Shift	criticalshift	playerNDeck	Dragons	Rugged Hero	2		{dra}	2			Common	bush pilot rugged hero	Mobility. You may attack back-row Sites if this card is declared as an attacker.
criticalshift_buzzsaw_arm_cs	Buzzsaw Arm	shadowfist/critical-shift/Shadowfist-CriticalShift-BuzzsawArm.jpg	default	State	Critical Shift	criticalshift	playerNDeck	High Tech	Brutal Weapon State	1	{tek}{tek}					Uncommon	buzzsaw arm brutal weapon	Weapon. Subject Character gains +2 damage. When subject enters combat with a Character, that Character gains -1 Fighting until it leaves play.
criticalshift_cannibal_army_cs	Cannibal Army	shadowfist/critical-shift/Shadowfist-CriticalShift-CannibalArmy.jpg	default	Character	Critical Shift	criticalshift	playerNDeck	Eaters of the Lotus	Albino Horde	2		{lot}	2			Common	cannibal army albino horde	When an opponent plays a Site, you may inflict 1 damage on a card that he or she controls.
criticalshift_cannibals_banquet_cs	Cannibal's Banquet	shadowfist/critical-shift/Shadowfist-CriticalShift-CannibalsBanquet.jpg	default	Event	Critical Shift	criticalshift	playerNDeck	Eaters of the Lotus	Event	0	{lot}{mag}					Common	cannibal banquet	Limited. Play when a Character you control is smoked by an opponent. You gain Power equal to half (round down) that Character's cost.
criticalshift_catching_bullets_cs	Catching Bullets	shadowfist/critical-shift/Shadowfist-CriticalShift-CatchingBullets.jpg	default	Event	Critical Shift	criticalshift	playerNDeck	Syndicate	Event	1	{syn}					Common	catching bullet	Play in response to an Event that targets a Character you control :: Cancel the Event, and put the card face up in front of you. You may play it, ignoring resource conditions, as if it were in your hand, but cannot discard it. Toast it at the end of your next turn if it is unplayed.
criticalshift_cheng_hu_bai_cs	Cheng Hu Bai	shadowfist/critical-shift/Shadowfist-CriticalShift-ChengHuBai.jpg	default	Character	Critical Shift	criticalshift	playerNDeck	Guiding Hand	Red Master	4	{han}{han}{han}	{han}{chi}	7			Rare	cheng hu bai red master	Unique. Superleap. Can attack back-row Sites. Cannot be declared as an attacker on front-row Sites.
criticalshift_christine_winter_cs	Christine Winter	shadowfist/critical-shift/Shadowfist-CriticalShift-ChristineWinter.jpg	default	Character	Critical Shift	criticalshift	playerNDeck	Purists	Fractured Sorcerer Prodigy	2	{pur}{pur}{mag}	{pur}{mag}	3			Uncommon	christine winter fractured sorcerer prodigy	You may sacrifice a Character when this card is smoked :: Return this card to play turned.
criticalshift_cloaca_cs	Cloaca	shadowfist/critical-shift/Shadowfist-CriticalShift-Cloaca.jpg	default	Character	Critical Shift	criticalshift	playerNDeck	Eaters of the Lotus	Demon King of the Hong Kong Sewers	5	{lot}{lot}{lot}	{lot}{mag}	8			Rare	cloaca demon king hong kong sewer	Unique. Sacrifice a Character and choose Event, Site, or Edge :: This card is not affected by cards of the chosen type until the end of the turn.
criticalshift_corporate_warfare_cs	Corporate Warfare	shadowfist/critical-shift/Shadowfist-CriticalShift-CorporateWarfare.jpg	default	Edge	Critical Shift	criticalshift	playerNDeck	Syndicate	Edge	1	{syn}					Uncommon	corporate warfare	Influence: 2. Sacrifice :: Smoke target Edge.
criticalshift_crane_stance_cs	Crane Stance	shadowfist/critical-shift/Shadowfist-CriticalShift-CraneStance.jpg	default	State	Critical Shift	criticalshift	playerNDeck	Guiding Hand	State	0	{han}{han}					Common	crane stance	The next time subject Character would take damage, reduce the damage to zero and sacrifice this card instead.
criticalshift_cybermod_parlor_cs	Cybermod Parlor	shadowfist/critical-shift/Shadowfist-CriticalShift-CybermodParlor.jpg	default	Site	Critical Shift	criticalshift	playerNDeck	Syndicate	Site	2		{syn}{tek}		1	6	Common	cybermod parlor	If there is only one Site at a location you control, you may play this card into the front row at that location. (Move the other Site to the back row.)
criticalshift_cyborg_mermaid_cs	Cyborg Mermaid	shadowfist/critical-shift/Shadowfist-CriticalShift-CyborgMermaid.jpg	default	Character	Critical Shift	criticalshift	playerNDeck	Jammers	Aquatic Saboteur	4	{jam}{jam}	{jam}{tek}	5			Uncommon	cyborg mermaid aquatic saboteur	Guts. Once per turn, you may inflict 1 damage on all your Sites :: This card gains +2 Fighting until the end of the turn.
criticalshift_delay_the_inevitable_cs	Delay the Inevitable	shadowfist/critical-shift/Shadowfist-CriticalShift-DelayTheInevitable.jpg	default	Event	Critical Shift	criticalshift	playerNDeck	Purists	Event	1	{pur}{pur}					Common	delay inevitable	Play in response to an Event, State, or Edge :: Cancel that card, and put it face up in front of the player who played it. He or she may play it as if from hand at no cost and ignoring resource conditions, but cannot do so this turn.
criticalshift_demonic_alliance_cs	Demonic Alliance	shadowfist/critical-shift/Shadowfist-CriticalShift-DemonicAlliance.jpg	default	Edge	Critical Shift	criticalshift	playerNDeck	Eaters of the Lotus	Edge	1	{lot}{lot}					Promo	demonic alliance	Turn and maintain :: Target Character gains Regenerate.
criticalshift_devendra_chalal_cs	Devendra Chalal	shadowfist/critical-shift/Shadowfist-CriticalShift-DevendraChalal.jpg	default	Character	Critical Shift	criticalshift	playerNDeck	Syndicate	The Burning Hand	5	{syn}{syn}{syn}{tek}	{syn}	7			Rare	devendra chalal burning hand	Unique. +3 damage. Cannot be intercepted by Characters with a cost of 2 or less.
criticalshift_dimitri_lyapunov_cs	Dimitri Lyapunov	shadowfist/critical-shift/Shadowfist-CriticalShift-DimitriLyapunov.jpg	default	Character	Critical Shift	criticalshift	playerNDeck	Syndicate	Cybernetics Mastermind	2	{syn}{syn}	{syn}{tek}	2			Rare	dimitri lyapunov cybernetic mastermind	Unique. Pay 1 Power or turn :: Return any card from your smoked pile to play as a 1-Fighting Toast-It Character with the title "Drone". The rest of the card is treated as if it were printed blank.
criticalshift_echo_distortion_cs	Echo Distortion	shadowfist/critical-shift/Shadowfist-CriticalShift-EchoDistortion.jpg	default	Event	Critical Shift	criticalshift	playerNDeck	Purists	Event	1	{pur}	{pur}				Common	echo distortion	Copy a Site's rules text to target Site until the end of the turn.
criticalshift_elephant_style_cs	Elephant Style	shadowfist/critical-shift/Shadowfist-CriticalShift-ElephantStyle.jpg	default	State	Critical Shift	criticalshift	playerNDeck	Guiding Hand	State	1	{han}{han}{chi}					Common	elephant style	Subject Character gains Toughness: X. X= 1 + the number of {chi} provided by subject.
criticalshift_everything_falls_apart_cs	Everything Falls Apart	shadowfist/critical-shift/Shadowfist-CriticalShift-EverythingFallsApart.jpg	default	Edge	Critical Shift	criticalshift	playerNDeck	Ascended	Edge	0	{asc}{asc}{asc}					Uncommon	everything fall apart	Limited. When any player declares one or more attackers, he or she gains 1 Power. No player may gain more than 2 Power this way per turn.
