cardid,name,cost,color,threshold,type,traits,unique,faction,text,attack,defense,setcode,source,rarity,pve,aionly,socketed,number,block,released,ingame,original,aaprint,reprint,aa,version,banned,notcollectable,artist,guid
758,Zakiir,6,R,RRR,Troop,Dragon,1,,"<b>Flight</b><p>At the start of your turn, create a random <b>Power of Zakiir</b> card and put it into your hand.",5,5,sd,,l,0,0,0,168,0,1,1,0,0,0,0,0,,0,Raymond Swanland,edad6f31-86fe-4417-aef8-537ae54e37a8
759,Gift of Yazukan,2,B,BB,Basic Action,,0,,"As an additional cost to play this, sacrifice three Shin'hare.<p><p>Put target Shin'hare from your crypt into play. It gets +3[ATK]/+3[DEF], <b>Lethal</b> and <b>Lifedrain</b>.",,,sd,,r,0,0,0,64,0,1,1,0,0,0,0,0,,0,Ellis Q Clark,d0c1af50-3031-4efc-a45c-674a5be54ef2
760,Alwyn,4,D,D,Troop,Human Cleric,1,Ardent,"<b>Inspire</b> - As another troop with cost equal to or greater than Alwyn's cost enters play under your control, that troop gets +[ATK]/+[DEF] each equal to Alwyn's [ATK] and [DEF].",2,2,sd,,r,0,0,0,89,0,1,1,0,0,0,0,0,,0,Bayard Wu,fe279bde-2ced-4264-a7c0-db3a938c07ab
761,Power of Zakiir: Destructive Delirium,3,R,R,Basic Action,,0,,Destroy each opposing artifact. Each opposing champion loses [L4][R4].,,,token,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,Space Goat,fb894443-bffa-4c25-83ad-fe04aa873702
762,Power of Zakiir: Eye of Zakiir,2,R,R,Quick Action,,0,,Deal 3 damage to target champion or troop.<p><p>Draw three cards.,,,token,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,Piotr Arendzikowski,a11a91a9-e800-42eb-ad1d-bb43f12bfbcf
763,Power of Zakiir: Fire Servant,1,R,R,Troop,Spirit Knight,0,,"<b>Speed</b>, <b>Swiftstrike</b><p><p>When this leaves play, it deals 4 damage to target champion or troop.",4,1,token,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,Andreas Zafeiratos,89b96a3f-5aa9-4925-aab6-6fcf39ef3efb
764,Power of Zakiir: Flame Breath,0,R,R,Quick Action,,0,,Deal 1 damage to target champion or troop for each [RUBY] you have.,,,token,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,David Dleon Luis,b2d2454b-b167-42e8-9726-6d26eb3832b2
765,Power of Zakiir: Glimpse of Insanity,4,R,R,Quick Action,,0,,Void each non-dragon card.,,,token,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,Oscar Guzman,713f5473-9cdd-4957-abdb-ed8cdc3d587e
766,Genesis Pool Naiad,2,W,W,Troop,Fae,0,,You can play an additional resource on each of your turns.,1,1,sd,,r,0,0,0,224,0,1,1,0,767,0,0,0,,0,Piotr Arendzikowski,b0bd2eb1-81d1-4b41-9039-ca74e5333864
767,Genesis Pool Naiad,2,W,W,Troop,Fae,0,,You can play an additional resource on each of your turns.,1,1,collector,,p,0,0,0,0,0,1,1,766,0,0,1,0,,0,Pavel Romanov,861485f7-5795-4262-9380-cebcf443d1b3
768,Guardian Angel,6,D,DD,Troop,Avatar of Salvation,0,,"<b>Flight</b><p><p>When you draw a card, reveal it, and gain health equal to its cost.",4,5,sd,,r,0,0,0,103,0,1,1,0,769,0,0,0,,0,Piotr Arendzikowski,7a9db64d-7327-4801-b483-4ceee58ad7e0
769,Guardian Angel,6,D,DD,Troop,Avatar of Salvation,0,,"<b>Flight</b><p><p>When you draw a card, reveal it, and gain health equal to its cost.",4,5,collector,,p,0,0,0,0,0,1,1,768,0,0,1,0,,0,Bayard Wu,e18ef197-9e8e-47a5-8519-1ef421c3ea4f
770,Highlands Magus,2,S,S,Troop,Human Mage,0,Ardent,<b>Deploy</b> - This gets a random <b>Inspire</b> power.,1,2,sd,,r,0,0,0,178,0,1,1,0,0,0,0,0,,0,Tyler James,aed43dc0-6c82-4eb6-94ac-db0998bf1fc7
771,Sight of the Sun,3,W,W,Troop,Coyotle Cleric,1,Ardent,[ACT] [ARROWR] Replenish your resource points. Gain 1 health for each resource gained this way.,1,2,sd,,l,0,0,0,237,0,1,1,0,0,0,0,0,,0,Piotr Arendzikowski,271a3576-7073-4aa3-a74b-a013c1eef980
772,Construction Plans: Hornet Bot,1,,,Artifact,Plans,0,,"Exhaust one or more Dwarves and/or Robots you control [ARROWR] Add a construction counter to this for each troop exhausted this way. Then, if there are two or more, remove them all, exhaust this, and transform it into a <b>Hornet Bot</b>.",,,sd,,c,0,0,0,18,0,1,1,0,0,0,0,0,,0,Anton Gustilo,aa325145-6d3d-474e-b990-608619620fe8
773,Hornet Bot,1,,,"Artifact, Troop",Robot,0,,<b>Flight</b>,2,1,token,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,Anton Gustilo,93cf512d-8b01-4e30-bf22-f02bf81cf12b
774,Ingenious Engineer,3,S,S,Troop,Dwarf Cleric,0,Underworld,"When a Dwarf or Robot you control exhausts for its first time on your turn, ready it.",2,3,sd,,r,0,0,0,179,0,1,1,0,0,0,0,0,,0,Max Grecke,470f47ec-3b20-48f0-83ff-ed133ba9f10b
775,Savage Lord,4,W,WW,Troop,Cromag,0,,"At the start of your turn, if the top card of your deck is a Dinosaur, put it into play.<p><p>Dinosaur troops you control have <b>Speed</b>.",3,5,sd,,r,0,0,0,236,0,1,1,0,0,0,0,0,,0,Zoltan Boros,66785000-54f7-472b-b930-4bfe6469c85d
776,Parriphagy,5,B,BB,Basic Action,,0,,Destroy target opposing troop. Create four <b>Spiderling Eggs</b> for that troop's controller and put them into their deck.,,,aom,,c,0,0,0,49,0,1,1,0,0,0,0,0,,0,Anders Finer,916e4f7c-797e-4851-82c1-18853b0f7286
777,Mentor of the Grave,5,B,B,Troop,Necrotic Warlock,0,Underworld,<b>Deathcry</b> - Transform this into a <b>Call the Grave</b> and put it into your hand.,4,3,sd,,u,0,0,0,73,0,1,1,0,0,0,0,0,,0,Ekatarina Orange,bd232a0d-ffae-4d1f-bda0-68e6d748d67c
778,Mesmeric Hypnoscientist,5,R,R,Troop,Dwarf Mage,0,Underworld,[BASIC] [RUBY]: [(2)] [ARROWR] <b>Tunneling 3</b>.<p><p><b>Deploy</b> - Target troop can't block this turn.,5,2,sd,,c,0,0,0,154,0,1,1,0,0,0,0,0,,0,Kirk Quilaquil,4fee52a7-6185-4494-909d-20bdd2b6e828
779,Battle Hardened Pa,2,W,W,Troop,Shin'hare Warrior,0,Underworld,[ONE-SHOT]: [(1)] [ARROWR] Each troop in your hand gets +1[ATK]/+0[DEF].,2,1,sd,,c,0,0,0,210,0,1,1,0,0,0,0,0,,0,Ilya Shkipin,0a45b5ee-da03-4e0c-abc4-d6117d713fdb
780,Armitron,3,,,"Artifact, Troop",Robot,0,,<b>Deploy</b> - Another target Robot you control gets +1[ATK]/+1[DEF].,2,2,sd,,c,0,0,0,13,0,1,1,0,0,0,0,0,,0,Sven Bybee,152acd3d-2f86-479b-aa37-afca607db6d9
781,Droo's Unrelenting Fists,2,,,Artifact,Engine,0,,"This enters play exhausted.<p><p>[BASIC]: [(3)], [ACT] [ARROWR] Add a fist counter to this, then this deals 1 damage to a random opposing champion or troop for each fist counter on this.<p><p>At the end of your turn, if this is ready, destroy this.",,,sd,,r,0,0,0,21,0,1,1,0,0,0,0,0,,0,Space Goat,e26be84a-16d9-4e9f-bee1-833f35e2c71e
782,Dementia Daisies,3,S,S,Troop,Chaostouched Plant,0,,"<b>Defensive</b><p><p>When you gain a charge, bury the top two cards of each opposing champion's deck.",0,4,sd,,c,0,0,0,175,0,1,1,0,0,0,0,0,,0,Tim McBurnie,5f027fea-9922-4647-bdce-f9e70608d737
783,Feral Domination,3,W,W,Constant,,0,,"When a troop with [ATK] or [DEF] 5 or more enters play under your control, you may have it battle target opposing troop.",,,sd,,r,0,0,0,222,0,1,1,0,0,0,0,0,,0,Piotr Arendzikowski,7758d953-e8b8-45f9-829e-31e93459ab3f
784,Daughter of Stars,0,S,SSSS,Champion,Coyotle Mage,0,Ardent,[BASIC] [SAPPHIRE][SAPPHIRE][SAPPHIRE][SAPPHIRE]: [10] [ARROWR] Put each opposing troop into its controller's hand.,0,26,sd,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,NULL,30e018f9-1956-462b-a276-340013e555b2
785,Sir Giles Rowan,0,R,R,Champion,Human Warrior,0,Ardent,[BASIC] [RUBY]: [4] [ARROWR] Target troop you control and all your troops in all zones that share a trait with it get +1[ATK]/+0[DEF].,0,21,sd,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,NULL,137b56af-0482-4351-af14-319021c896a5
786,Bunoshi the Ruthless,0,B,B,Champion,Shin'hare Warlock,0,Underworld,"[BASIC] [BLOOD]: [3], Sacrifice a troop [ARROWR] Another target troop gets +2[ATK]/+2[DEF].",0,18,sd,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,NULL,5c0a66c0-103b-4e1c-b150-b27f5c23f5e1
787,Rutherford Banks,0,D,DD,Champion,Human Cleric,0,Ardent,[BASIC] [DIAMOND][DIAMOND]: [7] [ARROWR] Put target troop from your crypt into play.,0,23,sd,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,NULL,722c0143-cd69-4819-82b4-2bf711f75971
788,Warmaster Fuzzuko,0,W,WW,Champion,Shin'hare Warrior,0,Underworld,[BASIC] [WILD][WILD]: [5] [ARROWR] Troops you control get +1[ATK]/+1[DEF].,0,22,sd,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,NULL,47a8e22e-7efb-4726-aee9-94daf4677a03
789,Ashen Watcher,7,D,D,Troop,Gargoyle,0,,"<b>Flight</b>,<p><p><b>Deploy</b> - Put target opposing troop on top of its controller's deck.",3,5,sd,,u,0,0,0,91,0,1,1,0,0,0,0,0,,0,Milivoj Ceran,db092c0c-4309-4127-b120-3bb4fa1290c2
790,Dishonorable Death,5,B,BB,Basic Action,,0,,Void target opposing non-artifact troop. Each opposing champion discards all cards with the same cost as the voided troop.,,,sd,,r,0,0,0,60,0,1,1,0,0,0,0,0,,0,Pavel Romanov,97c11810-d9fe-44bd-b7a3-99f956d4a2b0
791,Hex Geode,0,,,Artifact,,0,,"<b>Deploy</b> - Gain [DIAMOND], [RUBY], or [SAPPHIRE].<p><p>[(3)], Sacrifice this [ARROWR] Gain a charge.",,,sd,,u,0,0,0,29,0,1,1,0,0,0,0,0,,0,Andrei Pervakhin,ff11e48c-6597-4758-b0b7-4dc4d832b05c
792,Tiaanost,6,D,DDD,Troop,Dragon,1,,"<b>Flight</b><p><p>When Tiaanost deals damage to an opposing champion, void target opposing card and each opposing card with the same name in all zones.",5,5,sd,,l,0,0,0,125,0,1,1,0,0,0,0,0,,0,Raymond Swanland,cc464690-023d-485f-ab66-280d74a27cdc
793,Cerebral Domination,3,D,D,Constant,,0,,"While it is your turn, opposing champions can't play cards or use payment powers.",,,sd,,r,0,0,0,95,0,1,1,0,0,0,0,0,,0,Tomasz Jedruszek,c4a203c9-0034-4b7e-91fa-ad8daa458df9
794,Battlecry Warlord,3,B,B,Troop,Orc Ranger,0,Ardent,"<b>Deploy</b> - Each troop you control with cost [(2)] or less gets ""This can't be blocked by troops with cost [(2)] or less.""",3,2,sd,,u,0,0,0,49,0,1,1,0,0,0,0,0,,0,Paolo Nagase Rotelli,8b02eb2b-4bc6-4bcd-a6dd-e3922a86dac8
795,Brutal Bonecracker,4,B,B,Troop,Orc Warrior,0,Ardent,"<b>Rage 1</b><p><p>While you control another Orc, this has <b>Speed</b>.",2,3,sd,,c,0,0,0,52,0,1,1,0,0,0,0,0,,0,Anders Finer,a5b466e5-b0ef-430c-b4b6-b555ee5a99a1
796,Circle of Ruination,2,B,BB,Constant,,0,,"When you gain a charge, add a ruination counter to this.<p><p>[BASIC]: Remove all ruination counters from this and sacrifice it [ARROWR] Each opposing champion discards a card at random for every two ruination counters removed this way.",,,sd,,r,0,0,0,54,0,1,1,0,0,0,0,0,,0,Nick De Spain,761584c7-32bd-41ea-8a5a-3fe504c17ce8
797,Neophyte of Xarlox,4,B,BB,Troop,Vennen Mage,0,Underworld,[ACT] [ARROWR] Bury the top card of each opposing champion's deck. Gain 1 health for each troop buried this way.,1,4,sd,,c,0,0,0,77,0,1,1,0,0,0,0,0,,0,Pavel Romanov,dcc8400a-dd32-48f1-9c31-441844d33829
798,Subtle Striker,2,B,B,Troop,Necrotic Warrior,0,Underworld,Opposing champions can't use charge powers.,2,2,sd,,r,0,0,0,82,0,1,1,0,0,0,0,0,PVE,0,Apterus,022207ee-02d8-44ea-84bb-cccf49f0fb18
799,Tormented Ritualist,3,B,B,Troop,Shin'hare Mage,0,Underworld,"When you gain a charge, this gets +1[ATK]/+0[DEF] and <b>Unblockable</b> this turn.",2,1,sd,,c,0,0,0,84,0,1,1,0,0,0,0,0,,0,Raymond Griego,4436cbb3-1f5e-4ea2-a5a6-7773268b1200
800,Wakizashi Ambusher,4,B,B,Troop,Shin'hare Ranger,0,Underworld,"[BASIC] [BLOOD]: [(2)] [ARROWR] <b>Tunneling 3</b>.<p><p>When a Shin'hare you control dies, if this is underground, this gets +1[ATK]/+1[DEF].<p><p><b>Deploy</b> - Target opposing troop gets -X[ATK]/-X[DEF], where X is this troop's [ATK].",2,1,sd,,u,0,0,0,85,0,1,1,0,0,0,0,0,,0,Israel Carrion,149a21bf-f9d8-41dc-b239-ba948b69848a
801,Withering Touch,1,B,B,Basic Action,,0,,"Target opposing champion reveals each non-troop, non-resource card in their hand. Choose a revealed card, and they discard it.",,,sd,,u,0,0,0,86,0,1,1,0,0,0,0,0,,0,Max Grecke,fac14dac-012f-43bb-804f-4af7a06e75d9
802,Meek,2,D,D,Quick Action,,0,,Destroy target troop with [ATK] 2 or less.,,,sd,,c,0,0,0,112,0,1,1,0,0,0,0,0,,0,Jon Buran,b7fdd4f9-fa69-41a2-82a6-d21a779086b4
803,Dreamsmoke Mystic,3,WS,WS,Troop,Coyotle Warlock,0,Ardent,You can see the top card of your deck.<p><p>[(2)] [ARROWR] Put the top card of your deck on the bottom of your deck.,3,3,aom,,u,0,0,0,239,0,1,1,0,0,0,0,0,,0,Anders Finer,ac050a11-3651-4b8b-9e67-6085e716fc00
804,Pet Mama Bear,3,D,D,Troop,Pet Beast,0,,,2,2,token,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,Lane Brown,14738e26-44a1-4cac-a1a2-caaf8b30fa72
805,Queensguard,1,D,D,Troop,Human Warrior,0,Ardent,"[DIAMOND][RUBY][SAPPHIRE]: When you gain [DIAMOND], [RUBY], or [SAPPHIRE], this gets +1[ATK]/+1[DEF].",1,1,sd,,u,0,0,0,117,0,1,1,0,0,0,0,0,,0,Bayard Wu,b8fc04ed-7a08-4df5-ba8b-ffcf22c3df1e
806,Starfire Totemist,2,D,D,Quick Troop,Coyotle Mage,0,Ardent,<b>Quick</b><p><p><b>Deploy</b> - Exhaust any number of ready troops with cost [(1)] you control. This gets +1[ATK]/+1[DEF] for each troop exhausted this way.,1,2,sd,,u,0,0,0,123,0,1,1,0,0,0,0,0,,0,Lane Brown,2e482e62-966d-40c1-a1da-e24b4cbdf5b1
807,Vanguard of Cerulea,3,D,D,Troop,Human Mage,0,Ardent,[SAPPHIRE]: +1[ATK]/+1[DEF] and <b>Flight</b>.,1,2,sd,,c,0,0,0,126,0,1,1,0,0,0,0,0,,0,Bayard Wu,069500cd-8979-480e-a8cb-ed74638f0695
808,Vanguard of Gawaine,3,D,D,Troop,Human Warrior,0,Ardent,[RUBY]: +1[ATK]/+1[DEF] and <b>Swiftstrike</b>.,2,1,sd,,c,0,0,0,127,0,1,1,0,0,0,0,0,,0,Pavel Romanov,d2480639-fdd4-422e-a3ac-5e89c3ca88fc
809,Boulder Toss,3,R,RR,Quick Action,,0,,Target troop you control deals damage equal to its [ATK] to another target champion or troop.,,,sd,,c,0,0,0,133,0,1,1,0,0,0,0,0,,0,Robb Mommaerts,c3d876a8-f5f2-4add-b744-0bacf2886b16
810,Callous Awakener,5,R,RR,Troop,Necrotic Cleric,0,Underworld,"<b>Deploy</b> - Put target Human in an opposing crypt into play under your control. It gets <b>Speed</b>, and becomes Necrotic.",4,3,sd,,u,0,0,0,134,0,1,1,0,0,0,0,0,,0,Dani Oduber,306f537a-d4ae-4148-9f28-45f45de57a58
811,Goremaster,3,R,R,Troop,Orc Cleric,0,Ardent,"When you gain a charge, this gets +X[ATK]/+0[DEF] this turn, where X is this troop's [ATK].",1,3,sd,,r,0,0,0,147,0,1,1,0,845,0,0,0,,0,Max Grecke,8caf529b-e53a-4aac-a995-66ff05fb50d1
812,Heroic Outlaw,6,R,R,Troop,Human Rogue,0,Ardent,"<b>SOCKETABLE MAJOR</b><p><b>SOCKETABLE MINOR</b><p><p>While you have 5 or less health and this is in your hand, this gets cost -[(6)].",4,4,sd,,r,0,0,21,149,0,1,1,0,0,0,0,0,,0,Bayard Wu,85bad7a3-2482-4ca9-8156-d003156be841
813,Jags the Blademaster,3,R,R,Troop,Human Rogue,1,Ardent,"<b>Inspire</b> - As another troop with cost equal to or greater than Jags's cost enters play under your control, that troop gets ""This deals double damage.""",3,2,sd,,r,0,0,0,151,0,1,1,0,0,0,0,0,,0,Polar Engine Studio,8a959dbf-9d77-4731-8853-60a2189d9e21
814,Ruinforge Reinventor,4,R,R,Troop,Dwarf Warlock,0,Underworld,"<b>Deploy</b> - You may sacrifice two artifacts. If you do, put target artifact in your crypt into play.",3,4,sd,,r,0,0,0,160,0,1,1,0,0,0,0,0,,0,Zoltan Boros,ae921838-6bff-4c0b-9da9-255a2e52a443
815,Shatter Shield,1,R,R,Quick Action,,0,,Deal 4 damage to target blocking troop.,,,sd,,c,0,0,0,163,0,1,1,0,0,0,0,0,,0,Yammo Zhang,256c33bf-b75f-47f2-841c-67976d44eddd
816,Underground Overdriver,3,R,R,Troop,Dwarf Warlock,0,Underworld,"[BASIC] [RUBY]: [(2)] [ARROWR] <b>Tunneling 4</b>.<p><p>If this entered play this turn, [ONE-SHOT]: [(X)] [ARROWR] Target Robot you control gets +X[ATK]/+X[DEF].",1,4,sd,,c,0,0,0,166,0,1,1,0,0,0,0,0,,0,Piotr Arendzikowski,6ebe0a62-1055-49f5-b14e-38e327e54e8f
817,Azurefate Sorceress,4,S,S,Troop,Human Mage,0,Ardent,"<b>SOCKETABLE MAJOR<p>SOCKETABLE MINOR</b><p><p><b>Inspire</b> - As another troop with cost equal to or greater than this troop's cost enters play under your control, that troop gets all socketed powers of this.",2,2,sd,,r,0,0,21,170,0,1,1,0,846,0,0,0,,0,Polar Engine Studio,ea351c3a-f8f3-4b8a-9759-6b7ed9451d85
818,Launchpad Specialist,6,S,S,Troop,Dwarf Mage,0,Underworld,[BASIC] [SAPPHIRE]: [(2)] [ARROWR] <b>Tunneling 3</b>. <p><p><b>Deploy</b> - Another target troop you control gets +1[ATK]/+1[DEF] and <b>Flight</b>.,2,3,sd,,c,0,0,0,180,0,1,1,0,0,0,0,0,,0,Henry Peters,ab09a193-7757-4ea4-ac17-6f123da49e24
819,Moonmonk,3,S,S,Troop,Manti,0,,"<b>SOCKETABLE MINOR</b><p><b>SOCKETABLE MINOR</b><p><p><b>Deploy</b> - Target a troop. If it's ready, exhaust it. Otherwise, ready it.",1,2,sd,,u,0,0,11,184,0,1,1,0,0,0,0,0,,0,Anders Finer,8865957f-c784-4366-98b4-261d3b8cc603
820,"Ogth, Greatspawn of Othuyeg",5,S,SS,Troop,Chaostouched,1,,"<b>Flight</b>, <b>Defensive</b><p><p>At the start of your turn, bury the top card of target opposing champion's deck. Then, if that champion has twenty or more cards in the crypt, transform the buried card into a <b>Spawn of Othuyeg</b> and put it into play under your control.",6,7,sd,,r,0,0,0,186,0,1,1,0,0,0,0,0,,0,Thomas Babbey,de8dcc33-5c20-460f-be58-88a494dc7bd2
821,Replicator's Trance,3,S,SS,Basic Action,,0,,Summon a replica of target troop that dealt damage to an opposing champion this turn.,,,sd,,r,0,0,0,191,0,1,1,0,0,0,0,0,,0,Robb Mommaerts,3f42ac2a-36a4-46a0-8758-4608462d88c9
822,Royal Enforcer,5,S,S,Troop,Human Cleric,0,Ardent,<b>Spellshield</b><p><p>[DIAMOND]: +0[ATK]/+2[DEF].<p><p>[RUBY]: +2[ATK]/+0[DEF].,3,3,sd,,u,0,0,0,193,0,1,1,0,0,0,0,0,,0,Bayard Wu,f8bec6bc-44dd-4530-a0b6-1fea818fd844
823,Verdict of the Ancient Kings,2,S,S,Quick Action,,0,,Interrupt target non-troop card.,,,sd,,c,0,0,0,206,0,1,1,0,4513,5637,0,0,,0,Derk Venneman,9749c7d1-7708-478a-8e63-d86717d065f2
824,Cottontail Scout,3,W,W,Troop,Shin'hare Ranger,0,Underworld,[BASIC] [WILD]: [(2)] [ARROWR] <b>Tunneling 1</b>.<p><p><b>Deploy</b> - You may tunnel a card with <b>Tunneling</b> in your hand for free.,2,2,sd,,c,0,0,0,220,0,1,1,0,0,0,0,0,,0,Max Grecke,f0cc0283-d306-4f11-8c02-ae26b8ec294f
825,Parallel Evolution,4,W,W,Basic Action,,0,,Each troop you control transforms into a random troop of the same shards and with cost +[(1)].,,,sd,,r,0,0,0,234,0,1,1,0,0,0,0,0,,0,Piotr Arendzikowski,226a1f0c-3392-4748-a21f-3266c45d23a4
826,Thorntongue Snapdragon,5,W,W,Troop,Plant,0,,"[WILD][WILD][WILD][WILD]: <b>Skyguard</b>, <b>Lethal</b>.",2,5,sd,,c,0,0,0,243,0,1,1,0,0,0,0,0,,0,Robb Mommaerts,3e72de11-740f-4f1e-a0fe-ac42d36f264a
827,Augmentation Bot,3,,,"Artifact, Troop",Robot,0,,[ACT] [ARROWR] Another target Robot you control gets a random <b>Boon</b>.,1,3,sd,,u,0,0,0,14,0,1,1,0,0,0,0,0,,0,Max Grecke,261a4b7e-b4be-4afd-acbc-e00de94bb3d0
828,Bot Shop,1,,,Artifact,,0,,"[(3)], [ACT] [ARROWR] Reveal the top card of your deck. Draw a card. If the drawn card is a Robot, it gets cost -[(3)].",,,token,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,Sven Bybee,4a2d69c4-8e11-430b-94c4-eb7ee53007ce
829,Construction Plans: Bot Shop,1,,,Artifact,Plans,0,,"Exhaust one or more Dwarves and/or Robots you control [ARROWR] Add a construction counter to this for each troop exhausted this way. Then, if there are three or more, remove them all, exhaust this, and transform it into a <b>Bot Shop</b>.",,,sd,,u,0,0,0,16,0,1,1,0,0,0,0,0,,0,Sven Bybee,d7d1c442-b5f0-4c8b-9d3d-034a71418510
830,Construction Plans: Crank Rocket,2,,,Artifact,Plans,0,,"Exhaust one or more Dwarves and/or Robots you control [ARROWR] Add a construction counter to this for each troop exhausted this way. Then, if there are three or more, remove them all, exhaust this, and transform it into a <b>Crank Rocket</b>.",,,sd,,c,0,0,0,17,0,1,1,0,0,0,0,0,,0,Anton Gustilo,7ee9222e-3b0b-4a72-93a0-7226be00bd4a
831,Construction Plans: Tower Hulk,2,,,Artifact,Plans,0,,"Exhaust one or more Dwarves and/or Robots you control [ARROWR] Add a construction counter to this for each troop exhausted this way.<p><p>[(2)], [ACT] [ARROWR] Transform this into a <b>Tower Hulk</b>. This gets +1[ATK]/+1[DEF] for each construction counter on this. If there are 10 or more construction counters on this, this gets <b>Skyguard</b>.",,,sd,,r,0,0,0,19,0,1,1,0,0,0,0,0,,0,Anton Gustilo,c913c598-611e-4022-8a16-7b045f5da890
832,Crank Rocket,2,,,Artifact,,0,,"[BASIC] [ACT], Sacrifice this [ARROWR] This deals 5 damage to target troop.",,,token,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,Anton Gustilo,53ed70b6-f203-4808-aa13-0c60c61caec7
833,Kismet's Reverie,4,,,Basic Action,,0,,Summon three <b>Luck Sacks</b> for each champion. One of them at random secretly becomes <b>Unlucky</b>.,,,sd,,r,0,0,0,33,0,1,1,0,0,0,0,0,,0,Tyler James,5e775a3f-8609-46ba-838c-28ee2ddfe7e9
834,Luck Sack,1,,,Constant,,0,,"[(2)], Sacrifice this [ARROWR] Gain this <b>Lucky</b> effect...unless, of course, this is the <b>Unlucky</b> one.",,,token,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,Tyler James,d71de9a9-fcd8-41fc-822b-d0a4fd979dfd
835,Pulse Reactor,1,,,Artifact,,0,,"When you gain a charge, add a shockwave counter to this.<p><p>[(1)], Remove 2 shockwave counters from this [ARROWR] Exhaust target troop.",,,sd,,u,0,0,0,37,0,1,1,0,0,0,0,0,,0,Kirk Quilaquil,17e0c317-2dd7-4fef-9800-a1f51aaef1b0
836,Tower Hulk,2,,,"Artifact, Troop",Robot,0,,<b>Crush</b>,0,0,token,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,Anton Gustilo,49395670-cb3b-4039-9292-8f49b06fdaef
837,Murmurs From The Void,5,S,S,Constant,Chaostouched,0,,"<b>Deploy</b> - Put target troop on top of its controller's deck.<p><p>[(1)], Sacrifice this [ARROWR] Bury the top five cards of each opposing champion's deck.",,,sd,,c,0,0,0,185,0,1,1,0,0,0,0,0,,0,Polar Engine Studio,24831d4d-b7c4-4d66-b63c-42e4815c2c34
838,Adamanthian Scrivener,1,D,D,Troop,Human Cleric,0,Ardent,"When a troop enters play under your control, gain 1 health.",1,1,promo,Night of Bells 2014,p,0,0,0,0,0,1,1,158,0,0,1,0,,0,Justin Gerrard,d2222e6c-c8f8-4dad-b6d1-c0aacd3fc8f0
839,Paladin of the Necropolis,3,B,B,Troop,Necrotic Cleric,0,Underworld,"<b>Lifedrain</b><p><p>When you gain health, each opposing champion loses 1 health.",1,4,chest2,,p,0,0,0,0,0,1,1,685,0,0,1,0,,0,Apterus,4a2e9fcb-c337-49b1-a111-f09d480e3447
840,Darkspire Tyrant,5,B,BBB,Troop,Orc Rogue,0,Ardent,<b>Deathcry</b> - Choose one at random: draw a card for each troop in your crypt with <b>Darkspire</b> in its name; or Deal 2 damage to each opposing champion for each troop in your crypt with <b>Darkspire</b> in its name.,6,3,chest2,,p,0,0,0,0,0,1,1,727,0,0,1,0,,0,Digital Art Chefs,d4601ab0-008a-4286-9c06-664d90f23ae5
841,Arborean Rootfather,7,W,WW,Troop,Arborean,0,,<b>SOCKETABLE MAJOR</b><p><b>SOCKETABLE MINOR</b><p><p>[(2)] Put this from your hand into your deck [ARROWR] This gets cost -[(2)]. Draw a card.,8,8,chest2,,p,0,0,21,0,0,1,1,561,0,0,1,0,,0,Andreas Zafeiratos,9ef979ba-93c4-49dc-94a7-68be93806df4
842,Constantina,2,W,WW,Troop,Elf Rogue,1,Ardent,<b>Steadfast</b><p><p>Troops you control can't be exhausted by opposing cards and effects.,3,3,chest2,,p,0,0,0,0,0,1,1,629,0,0,1,0,,0,Tatiana Vetrova,009bfe49-d209-407a-9780-68d645a656ca
843,Royal Valkyr,6,D,D,Troop,Human Mage,0,Ardent,<b>Flight</b><p><p>[DIAMOND][RUBY][SAPPHIRE]: <b>Deploy</b> - This deals 3 damage to target champion or troop. Draw a card.,3,4,chest2,,p,0,0,0,0,0,1,1,541,0,0,1,0,,0,Justin Murray,51d6b10f-33c7-4018-9820-b51323d9c293
844,Scraptech Brawler,3,R,R,Troop,Dwarf Warrior,0,Underworld,[BASIC] [RUBY]: [(2)] [ARROWR] <b>Tunneling 3</b>.<p><p><b>Deploy</b> - Gain [L3][R0].,2,2,wheel2,,p,0,0,0,0,0,1,1,567,0,0,1,0,,0,Zoltan Boros,cf2a3b30-8c1b-4391-982a-dc40def38c14
