databaseId	name	imageUrl	cardBack	type	set	rarity	cost	keywords	inspiration	stage	subtitle	text	loadGroupId
BP01-SPR16	Dig for Gems	my-little-pony/bp01/MyLittlePony-BP01-DigForGems.jpg	default	Event	BP01	SPR	2	-	-			Only use when there is any <Rarity> in your Adventure Area. Draw 2 cards.	playerNDeck
BP01-SPR17	Attend to Cure	my-little-pony/bp01/MyLittlePony-BP01-AttendToCure.jpg	default	Event	BP01	SPR	2	-	-			Choose 1 <Pet> with Cost of Force of Harmony 2 or less in your Retirement Area, move it to Adventure Area.	playerNDeck
BP01-SPR18	Accidentally Burnt Book	my-little-pony/bp01/MyLittlePony-BP01-AccidentallyBurntBook.jpg	default	Event	BP01	SPR	2	-	-			Only use when there is any Event in your Retirement Area. Choose 1 Character in your Adventure Area, it gets +2 Inspiration until the end of turn.	playerNDeck
BP01-SPR18star	Accidentally Burnt Book*	my-little-pony/bp01/MyLittlePony-BP01-AccidentallyBurntBook-2.jpg	default	Event	BP01	SPR*	2	-	-			Only use when there is any Event in your Retirement Area. Choose 1 Character in your Adventure Area, it gets +2 Inspiration until the end of turn.	playerNDeck
BP01-SPR19	Cycling for Friends	my-little-pony/bp01/MyLittlePony-BP01-CyclingForFriends.jpg	default	Event	BP01	SPR	2	-	-			Only use when there is any <Applejack> in your Adventure Area. Choose 2 Characters in your Adventure Area, they get +1 Inspiration until the end of turn.	playerNDeck
BP01-SPR20	Head Up to the Night Sky	my-little-pony/bp01/MyLittlePony-BP01-HeadUpToTheNightSky.jpg	default	Event	BP01	SPR	2	-	-			Only use when there is any Event in your Retirement Area. Choose 1 <Twilight Sparkle> with Cost of Force of Harmony 3 or less in your Adventure Area, it gets +3 Inspiration until the end of turn.	playerNDeck
BP01-SPR21	Found Scroll	my-little-pony/bp01/MyLittlePony-BP01-FoundScroll.jpg	default	Event	BP01	SPR	1	-	-			Only use when there is any <Twilight Sparkle> in your Adventure Area. Draw 2 cards, discard 1 card.	playerNDeck
BP01-SPR21star	Found Scroll*	my-little-pony/bp01/MyLittlePony-BP01-FoundScroll-2.jpg	default	Event	BP01	SPR*	1	-	-			Only use when there is any <Twilight Sparkle> in your Adventure Area. Draw 2 cards, discard 1 card.	playerNDeck
BP01-SPR22	Super Spicy Sauce	my-little-pony/bp01/MyLittlePony-BP01-SuperSpicySauce.jpg	default	Item	BP01	SPR	2	-	-			Only adorn <Twilight Sparkle>. While there is any Event in your Retirement Area, adorned Character gets +2 Inspiration.	playerNDeck
BP01-SPR23	Soda	my-little-pony/bp01/MyLittlePony-BP01-Soda.jpg	default	Item	BP01	SPR	3	-	-			Only adorn <Applejack>. When adorned Character Retires in Contact, move this Item to Retirement Area instead.	playerNDeck
BP01-SPR24	Horseshoe	my-little-pony/bp01/MyLittlePony-BP01-Horseshoe.jpg	default	Item	BP01	SPR	2	-	-			Only adorn <Rainbow Dash>. Adorned Character with Cost of Force of Harmony 2 or less gets +2 Inspiration.	playerNDeck
BP01-SPR25	Pinkie Pie's Flying Device	my-little-pony/bp01/MyLittlePony-BP01-PinkiePiesFlyingDevice.jpg	default	Item	BP01	SPR	2	-	-			Only adorn <Pinkie Pie>. Other Characters in your Adventure Area gets +1 Inspiration.	playerNDeck
BP01-SPR26	Thimble Pack	my-little-pony/bp01/MyLittlePony-BP01-ThimblePack.jpg	default	Item	BP01	SPR	3	-	-			Only adorn <Rarity>. Adorned Character gets +2 Inspiration.	playerNDeck
BP01-SPR27	Fluttershy's Bell	my-little-pony/bp01/MyLittlePony-BP01-FluttershysBell.jpg	default	Item	BP01	SPR	2	-	-			Only adorn <Fluttershy>. Adorned Character with Cost of Force of Harmony 4 or more gets +2 Inspiration.	playerNDeck
BP01-SPR28	Recorder	my-little-pony/bp01/MyLittlePony-BP01-Recorder.jpg	default	Item	BP01	SPR	2	-	-			Only adorn <Pinkie Pie>. Adorned Character gains "|Farewell| Choose 1 <Pinkie Pie> with Cost of Force of Harmony 4 or less in your Retirement Area, add it to Hand."	playerNDeck
BP01-SR01	Twilight Sparkle (BP01 8)	my-little-pony/bp01/MyLittlePony-BP01-TwilightSparkleBP018.jpg	default	Character	BP01	SR	1	Unicorn / Twilight Sparkle	2			|Preplan| If there is any <Spike> in your Retirement Area, draw 2 cards, discard 1 card.	playerNDeck
BP01-SR02	Fluttershy (BP01 7)	my-little-pony/bp01/MyLittlePony-BP01-FluttershyBP017.jpg	default	Character	BP01	SR	5	Pegasus / Fluttershy	6			|Appear| If there is any <Angel> in your Adventure Area, choose 1 <Pet> in your Retirement Area, add it to Hand.	playerNDeck
BP01-SR03	Pinkie Pie (BP01 7)	my-little-pony/bp01/MyLittlePony-BP01-PinkiePieBP017.jpg	default	Character	BP01	SR	2	Earth Pony / Pinkie Pie	3			|Appear| Draw 1 card, discard 1 card.	playerNDeck
BP01-SR04	Applejack (BP01 7)	my-little-pony/bp01/MyLittlePony-BP01-ApplejackBP017.jpg	default	Character	BP01	SR	4	Earth Pony / Applejack	5			|Adventure| While there is any untapped Scene in your Scene Area, this Character gets +2 Inspiration.	playerNDeck
BP01-SR05	Rainbow Dash (BP01 7)	my-little-pony/bp01/MyLittlePony-BP01-RainbowDashBP017.jpg	default	Character	BP01	SR	3	Pegasus / Rainbow Dash	4			|Appear| If there is any other <Rainbow Dash> in your  Adventure Area, choose 1 Character with Inpsiration 2 or less in Rival's Adventure Area to Retire.	playerNDeck
BP01-SR06	Rarity (BP01 7)	my-little-pony/bp01/MyLittlePony-BP01-RarityBP017.jpg	default	Character	BP01	SR	2	Unicorn / Rarity	3			|Appear| If there is any <Opal> in your Adventure Area, draw 1 card.	playerNDeck
BP01-SR07	Owlowiscious (BP01 1)	my-little-pony/bp01/MyLittlePony-BP01-OwlowisciousBP011.jpg	default	Character	BP01	SR	1	Owl / Owlowiscious / Pet	2			|Appear| If there is any <Twilight Sparkle> in your Adventure Area, this Character gets +1 Inspiration until the end of turn.	playerNDeck
BP01-SR08	Angel (BP01 1)	my-little-pony/bp01/MyLittlePony-BP01-AngelBP011.jpg	default	Character	BP01	SR	4	Rabbit / Angel / Pet	5			|Preplan| Choose 1 <Fluttershy> in your Adventure Area, it gets +2 Inspiration until the end of turn.	playerNDeck
BP01-SR09	Gummy (BP01 1)	my-little-pony/bp01/MyLittlePony-BP01-GummyBP011.jpg	default	Character	BP01	SR	4	Crocodile / Gummy / Pet	5			|Farewell| Draw 2 cards, discard 1 card.	playerNDeck
BP01-SR10	Winona (BP01 1)	my-little-pony/bp01/MyLittlePony-BP01-WinonaBP011.jpg	default	Character	BP01	SR	7	Dog / Winona / Pet	9			While there is any <Applejack> in your Retirement Area, this Character gets -1 Cost of Force of Harmony when played from Hand.	playerNDeck
BP01-SR11	Tank (BP01 1)	my-little-pony/bp01/MyLittlePony-BP01-TankBP011.jpg	default	Character	BP01	SR	5	Turtle / Tank / Pet	6			|Adventure| [Tap] All <Rainbow Dash> in your Adventure Area get +1 Inspiration until the end of turn.	playerNDeck
BP01-SR12	Opal (BP01 1)	my-little-pony/bp01/MyLittlePony-BP01-OpalBP011.jpg	default	Character	BP01	SR	5	Cat / Opal / Pet	5			|Adventure| While there is any <Rarity> in your Adventure Area, all Characters in Rival's Adventure Area get -1 Inspiration in Rival's turn.	playerNDeck
BP01-SR13	Zecora (BP01 1)	my-little-pony/bp01/MyLittlePony-BP01-ZecoraBP011.jpg	default	Character	BP01	SR	5	Zebra / Zecora	6			|Appear| If Rival has more Plans than you in Story Area, choose 1 Character with Inspiration 5 or less in Rival's Adventure Area to Retire.	playerNDeck
BP01-SR14	Trixie (BP01 2)	my-little-pony/bp01/MyLittlePony-BP01-TrixieBP012.jpg	default	Character	BP01	SR	2	Unicorn / Trixie	3			|Preplan| Choose 1 Character with Cost of Force of Harmony 3 or less in Rival's Adventure Area to Retire.	playerNDeck
BP01-U01	Twilight Sparkle (BP01 9)	my-little-pony/bp01/MyLittlePony-BP01-TwilightSparkleBP019.jpg	default	Character	BP01	U	1	Unicorn / Twilight Sparkle	1			|Farewell| Draw 1 card.	playerNDeck
BP01-U02	Twilight Sparkle (BP01 10)	my-little-pony/bp01/MyLittlePony-BP01-TwilightSparkleBP0110.jpg	default	Character	BP01	U	5	Unicorn / Twilight Sparkle	7				playerNDeck
BP01-U03	Fluttershy (BP01 8)	my-little-pony/bp01/MyLittlePony-BP01-FluttershyBP018.jpg	default	Character	BP01	U	7	Pegasus / Fluttershy	9			While there is any <Pet> in your Adventure Area, this Character gets -1 Cost of Force of Harmony when played from Hand.	playerNDeck
BP01-U04	Fluttershy (BP01 9)	my-little-pony/bp01/MyLittlePony-BP01-FluttershyBP019.jpg	default	Character	BP01	U	5	Pegasus / Fluttershy	7				playerNDeck
BP01-U05	Pinkie Pie (BP01 8)	my-little-pony/bp01/MyLittlePony-BP01-PinkiePieBP018.jpg	default	Character	BP01	U	2	Earth Pony / Pinkie Pie	3			|Adventure| While there are 2 or more Items in your Retirement Area, this Character gets +2 Inspiration in Rival's turn.	playerNDeck
BP01-U06	Pinkie Pie (BP01 9)	my-little-pony/bp01/MyLittlePony-BP01-PinkiePieBP019.jpg	default	Character	BP01	U	5	Earth Pony / Pinkie Pie	7				playerNDeck
BP01-U07	Applejack (BP01 8)	my-little-pony/bp01/MyLittlePony-BP01-ApplejackBP018.jpg	default	Character	BP01	U	2	Earth Pony / Applejack	3			|Appear| If there is any <Apple Bloom> in your Adventure Area, draw 1 card.	playerNDeck
BP01-U08	Applejack (BP01 9)	my-little-pony/bp01/MyLittlePony-BP01-ApplejackBP019.jpg	default	Character	BP01	U	2	Earth Pony / Applejack	4				playerNDeck
BP01-U09	Rainbow Dash (BP01 8)	my-little-pony/bp01/MyLittlePony-BP01-RainbowDashBP018.jpg	default	Character	BP01	U	4	Pegasus / Rainbow Dash	5			|Adventure| While there is no other Character in your Adventure Area, this Character gets +2 Inspiration.	playerNDeck
BP01-U10	Rainbow Dash (BP01 9)	my-little-pony/bp01/MyLittlePony-BP01-RainbowDashBP019.jpg	default	Character	BP01	U	2	Pegasus / Rainbow Dash	4				playerNDeck
BP01-U11	Rarity (BP01 8)	my-little-pony/bp01/MyLittlePony-BP01-RarityBP018.jpg	default	Character	BP01	U	3	Unicorn / Rarity	4			|Appear| Choose 1 <Opal> in your Adventure Area, it gets +2 Inspiration until the end of turn.	playerNDeck
BP01-U12	Rarity (BP01 9)	my-little-pony/bp01/MyLittlePony-BP01-RarityBP019.jpg	default	Character	BP01	U	1	Unicorn / Rarity	2				playerNDeck
BP01-U13	Spike (BP01 2)	my-little-pony/bp01/MyLittlePony-BP01-SpikeBP012.jpg	default	Character	BP01	U	1	Dragon / Spike	1			|Appear| Discard 1 card, draw 1 card.	playerNDeck
BP01-U14	Spike (BP01 3)	my-little-pony/bp01/MyLittlePony-BP01-SpikeBP013.jpg	default	Character	BP01	U	4	Dragon / Spike	4			|Farewell| Draw 1 card, discard 1 card.	playerNDeck
BP01-U15	Apple Bloom (BP01 2)	my-little-pony/bp01/MyLittlePony-BP01-AppleBloomBP012.jpg	default	Character	BP01	U	1	Earth Pony / Apple Bloom	1			|Adventure| While there is any <Sweetie Belle> or <Scootaloo> in your Adventure Area, this Character gets +2 Inspiration in your turn.	playerNDeck
BP01-U16	Sweetie Belle (BP01 2)	my-little-pony/bp01/MyLittlePony-BP01-SweetieBelleBP012.jpg	default	Character	BP01	U	1	Unicorn / Sweetie Belle	1			|Adventure| While there is any <Apple Bloom> or <Scootaloo> in your Adventure Area, this Character gets +2 Inspiration in your turn.	playerNDeck
BP01-U17	Scootaloo (BP01 2)	my-little-pony/bp01/MyLittlePony-BP01-ScootalooBP012.jpg	default	Character	BP01	U	1	Pegasus / Scootaloo	1			|Adventure| While there is any <Apple Bloom> or <Sweetie Belle> in your Adventure Area, this Character gets +2 Inspiration in your turn.	playerNDeck
BP01-U18	Trixie (BP01 3)	my-little-pony/bp01/MyLittlePony-BP01-TrixieBP013.jpg	default	Character	BP01	U	2	Unicorn / Trixie	4				playerNDeck
SD01A-C01	Twilight Sparkle (SD01 1)	my-little-pony/sd01/MyLittlePony-SD01-TwilightSparkleSD011.jpg	default	Character	SD01	C	3	Unicorn / Twilight Sparkle	5				playerNDeck
SD01A-C02	Twilight Sparkle (SD01 2)	my-little-pony/sd01/MyLittlePony-SD01-TwilightSparkleSD012.jpg	default	Character	SD01	C	2	Unicorn / Twilight Sparkle	4				playerNDeck
SD01A-C03	Spike (SD01 1)	my-little-pony/sd01/MyLittlePony-SD01-SpikeSD011.jpg	default	Character	SD01	C	4	Dragon / Spike	6				playerNDeck
SD01A-C04	Spike (SD01 2)	my-little-pony/sd01/MyLittlePony-SD01-SpikeSD012.jpg	default	Character	SD01	C	1	Dragon / Spike	2				playerNDeck
SD01A-C05	Owlowiscious (SD01 1)	my-little-pony/sd01/MyLittlePony-SD01-OwlowisciousSD011.jpg	default	Character	SD01	C	2	Owl / Owlowiscious / Pet	3			|Appear| Reveal the top card of the Deck, put it at the top or bottom of the Deck.	playerNDeck
SD01A-SPR01	Field Reference	my-little-pony/sd01/MyLittlePony-SD01-FieldReference.jpg	default	Event	SD01	SPR	2	-	-			Choose 1 <Twilight Sparkle> in your Adventure Area, it gets +2 Inspiration until the end of turn.	playerNDeck
SD01A-SPR02	Search the Library	my-little-pony/sd01/MyLittlePony-SD01-SearchTheLibrary.jpg	default	Event	SD01	SPR	3	-	-			Draw 2 cards.	playerNDeck
SD01A-SPR03	Experience Report	my-little-pony/sd01/MyLittlePony-SD01-ExperienceReport.jpg	default	Event	SD01	SPR	3	-	-			Choose 1 Character in your Adventure Area, it won't Retire in Contact until the end of turn.	playerNDeck
SD01A-SPR04	Guiding Tome	my-little-pony/sd01/MyLittlePony-SD01-GuidingTome.jpg	default	Item	SD01	SPR	2	-	-			Only adorn <Twilight Sparkle>. Characters next to the adorned Character get +1 Inspiration.	playerNDeck
SD01A-SR01	Twilight Sparkle (SD01 3)	my-little-pony/sd01/MyLittlePony-SD01-TwilightSparkleSD013.jpg	default	Character	SD01	SR	5	Unicorn / Twilight Sparkle	5			|Appear| If there is any <Owlowiscious> in your Adventure Area, choose 1 Character with Inspiration 5 or less in Rival's Adventure Area to Retire.	playerNDeck
SD01A-SR02	Owlowiscious (SD01 2)	my-little-pony/sd01/MyLittlePony-SD01-OwlowisciousSD012.jpg	default	Character	SD01	SR	3	Owl / Owlowiscious / Pet	4			|Appear| Choose 1 <Twilight Sparkle> in your Adventure Area, it gets +2 Inspiration until the end of turn.	playerNDeck
SD01A-U01	Twilight Sparkle (SD01 4)	my-little-pony/sd01/MyLittlePony-SD01-TwilightSparkleSD014.jpg	default	Character	SD01	U	3	Unicorn / Twilight Sparkle	4			|Appear| This Character gets +2 Inspiration until the end of turn.	playerNDeck
SD01A-U02	Twilight Sparkle (SD01 5)	my-little-pony/sd01/MyLittlePony-SD01-TwilightSparkleSD015.jpg	default	Character	SD01	U	6	Unicorn / Twilight Sparkle	8				playerNDeck
SD01A-U03	Spike (SD01 3)	my-little-pony/sd01/MyLittlePony-SD01-SpikeSD013.jpg	default	Character	SD01	U	3	Dragon / Spike	4			|Farewell| Draw 2 cards, discard 1 card.	playerNDeck
SD01A-U04	Spike (SD01 4)	my-little-pony/sd01/MyLittlePony-SD01-SpikeSD014.jpg	default	Character	SD01	U	2	Dragon / Spike	3			|Appear| Discard 1 card, draw 1 card.	playerNDeck
SD01B-C01	Fluttershy (SD01 1)	my-little-pony/sd01/MyLittlePony-SD01-FluttershySD011.jpg	default	Character	SD01	C	3	Pegasus / Fluttershy	4			|Adventure| While in Rival's turn, this Character gets +2 Inspiration.	playerNDeck
SD01B-C02	Fluttershy (SD01 2)	my-little-pony/sd01/MyLittlePony-SD01-FluttershySD012.jpg	default	Character	SD01	C	1	Pegasus / Fluttershy	1			|Appear| Choose 1 <Pet> in your Adventure Area, it gets +2 Inspiration until the end of turn.	playerNDeck
SD01B-C03	Fluttershy (SD01 3)	my-little-pony/sd01/MyLittlePony-SD01-FluttershySD013.jpg	default	Character	SD01	C	2	Pegasus / Fluttershy	4				playerNDeck
SD01B-C04	Turtle (SD01 1)	my-little-pony/sd01/MyLittlePony-SD01-TurtleSD011.jpg	default	Character	SD01	C	2	Turtle / Pet	4				playerNDeck
SD01B-C05	Angel (SD01 1)	my-little-pony/sd01/MyLittlePony-SD01-AngelSD011.jpg	default	Character	SD01	C	1	Rabbit / Angel / Pet	2				playerNDeck
SD01B-SPR01	Aid for Moving Frogs Out	my-little-pony/sd01/MyLittlePony-SD01-AidForMovingFrogsOut.jpg	default	Event	SD01	SPR	2	-	-			Choose 1 <Fluttershy> in your Adventure Area, it gets +2 Inspiration until the end of turn.	playerNDeck
SD01B-SPR02	Flower Picking Day	my-little-pony/sd01/MyLittlePony-SD01-FlowerPickingDay.jpg	default	Event	SD01	SPR	1	-	-			Choose 1 Character with Inspiration 2 or less in Rival's Adventure Area to Retire.	playerNDeck
SD01B-SPR03	Healthy Salad	my-little-pony/sd01/MyLittlePony-SD01-HealthySalad.jpg	default	Event	SD01	SPR	4	-	-			All <Pet> in your Adventure Area get +2 Inspiration until the end of turn.	playerNDeck
SD01B-SPR04	Rabbit Pocket Watch	my-little-pony/sd01/MyLittlePony-SD01-RabbitPocketWatch.jpg	default	Item	SD01	SPR	3	-	-			Only adorn <Fluttershy>. Adorned Character gets +1 Inspiration for each Character in your Adventure Area.	playerNDeck
SD01B-SR01	Fluttershy (SD01 4)	my-little-pony/sd01/MyLittlePony-SD01-FluttershySD014.jpg	default	Character	SD01	SR	3	Pegasus / Fluttershy	4			|Appear| If there is any <Angel> in your Adventure Area, draw 1 card.	playerNDeck
SD01B-SR02	Angel (SD01 2)	my-little-pony/sd01/MyLittlePony-SD01-AngelSD012.jpg	default	Character	SD01	SR	1	Rabbit / Angel / Pet	1			|Adventure| While there is any <Fluttershy> in your Adventure Area, this Character gets +2 Inspiration in your turn.	playerNDeck
SD01B-U01	Fluttershy (SD01 5)	my-little-pony/sd01/MyLittlePony-SD01-FluttershySD015.jpg	default	Character	SD01	U	4	Pegasus / Fluttershy	5			|Appear| Choose 1 Character with Inspiration 2 or less in Rival's Adventure Area to Retire.	playerNDeck
SD01B-U02	Fluttershy (SD01 6)	my-little-pony/sd01/MyLittlePony-SD01-FluttershySD016.jpg	default	Character	SD01	U	3	Pegasus / Fluttershy	5				playerNDeck
SD01B-U03	Philomena (SD01 1)	my-little-pony/sd01/MyLittlePony-SD01-PhilomenaSD011.jpg	default	Character	SD01	U	4	Phoenix / Philomena / Pet	6				playerNDeck
SD01B-U04	Angel (SD01 3)	my-little-pony/sd01/MyLittlePony-SD01-AngelSD013.jpg	default	Character	SD01	U	2	Rabbit / Angel / Pet	3			|Adventure| While there is any <Fluttershy> in your Adventure Area, this Character gets +2 Inspiration in Rival's turn.	playerNDeck
SD01-C01	Twilight Sparkle (SD01 6)	my-little-pony/sd01/MyLittlePony-SD01-TwilightSparkleSD016.jpg	default	Character	SD01	C	1	Unicorn / Twilight Sparkle	2				playerNDeck
SD01-C02	Fluttershy (SD01 7)	my-little-pony/sd01/MyLittlePony-SD01-FluttershySD017.jpg	default	Character	SD01	C	4	Pegasus / Fluttershy	6				playerNDeck
SD01-C03	Pinkie Pie (SD01 1)	my-little-pony/sd01/MyLittlePony-SD01-PinkiePieSD011.jpg	default	Character	SD01	C	3	Earth Pony / Pinkie Pie	5				playerNDeck
SD01-C04	Applejack (SD01 1)	my-little-pony/sd01/MyLittlePony-SD01-ApplejackSD011.jpg	default	Character	SD01	C	3	Earth Pony / Applejack	5				playerNDeck
SD01-C05	Rainbow Dash (SD01)	my-little-pony/sd01/MyLittlePony-SD01-RainbowDashSD01.jpg	default	Character	SD01	C	1	Pegasus / Rainbow Dash	2				playerNDeck
SD01-C06	Rarity (SD01 1)	my-little-pony/sd01/MyLittlePony-SD01-RaritySD011.jpg	default	Character	SD01	C	1	Unicorn / Rarity	2				playerNDeck
SD01-C07	Apple Bloom (SD01 1)	my-little-pony/sd01/MyLittlePony-SD01-AppleBloomSD011.jpg	default	Character	SD01	C	1	Earth Pony / Apple Bloom	1			|Adventure| <Sweetie Belle> and <Scootaloo> in your Adventure Area get +1 Inspiration.	playerNDeck
SD01-C08	Sweetie Belle (SD01 1)	my-little-pony/sd01/MyLittlePony-SD01-SweetieBelleSD011.jpg	default	Character	SD01	C	2	Unicorn / Sweetie Belle	3				playerNDeck
SD01-C09	Scootaloo (SD01 1)	my-little-pony/sd01/MyLittlePony-SD01-ScootalooSD011.jpg	default	Character	SD01	C	2	Pegasus / Scootaloo	3				playerNDeck
SD01C-C01	Pinkie Pie (SD01 2)	my-little-pony/sd01/MyLittlePony-SD01-PinkiePieSD012.jpg	default	Character	SD01	C	2	Earth Pony / Pinkie Pie	3			|Adventure| At the end of your turn, if there is any <Gummy> in your Adventure Area, draw 1 card.	playerNDeck
SD01C-C02	Pinkie Pie (SD01 3)	my-little-pony/sd01/MyLittlePony-SD01-PinkiePieSD013.jpg	default	Character	SD01	C	6	Earth Pony / Pinkie Pie	8				playerNDeck
SD01C-C03	Mrs. Cake (SD01 1)	my-little-pony/sd01/MyLittlePony-SD01-MrsCakeSD011.jpg	default	Character	SD01	C	4	Earth Pony / Mrs. Cake	6				playerNDeck
SD01C-C04	Gummy (SD01 1)	my-little-pony/sd01/MyLittlePony-SD01-GummySD011.jpg	default	Character	SD01	C	3	Crocodile / Gummy / Pet	5				playerNDeck
SD01C-C05	Gummy (SD01 2)	my-little-pony/sd01/MyLittlePony-SD01-GummySD012.jpg	default	Character	SD01	C	1	Crocodile / Gummy / Pet	2				playerNDeck
SD01-CR01	Twilight Sparkle (SD01 7)	my-little-pony/sd01/MyLittlePony-SD01-TwilightSparkleSD017.jpg	default	Character	SD01	CR	5	Unicorn / Twilight Sparkle	5			|Adventure| While there are 2 or more Events in your Retirement Area, all Characters in your Adventure Area get +1 Inspiration.	playerNDeck
SD01-CR02	Fluttershy (SD01 8)	my-little-pony/sd01/MyLittlePony-SD01-FluttershySD018.jpg	default	Character	SD01	CR	5	Pegasus / Fluttershy	6			|Appear| Choose 1 Character with Cost of Force of Harmony 2 or less in your Retirement Area, move it to Adventure Area.	playerNDeck
SD01-CR03	Pinkie Pie (SD01 4)	my-little-pony/sd01/MyLittlePony-SD01-PinkiePieSD014.jpg	default	Character	SD01	CR	5	Earth Pony / Pinkie Pie	5			|Adventure| While there are 2 or more Items in your Retirement Area, all Characters in Rival's Adventure Area get -1 Inspiration.	playerNDeck
SD01-CR04	Applejack (SD01 2)	my-little-pony/sd01/MyLittlePony-SD01-ApplejackSD012.jpg	default	Character	SD01	CR	4	Earth Pony / Applejack	6			|Appear| If there is any <Winona> in your Adventure Area, choose 1 Scene in your Scene Area, untap it.	playerNDeck
SD01-CR05	Rainbow Dash (SD01 2)	my-little-pony/sd01/MyLittlePony-SD01-RainbowDashSD012.jpg	default	Character	SD01	CR	4	Pegasus / Rainbow Dash	5			|Appear| Retire all Characters with Cost of Force of Harmony 1 or less in Rival's Adventure Area.	playerNDeck
SD01-CR06	Rarity (SD01 2)	my-little-pony/sd01/MyLittlePony-SD01-RaritySD012.jpg	default	Character	SD01	CR	2	Unicorn / Rarity	4			|Appear| If there is any <Opal> in your Adventure Area, reveal the top 2 cards of the Deck, choose 1 Event from them, add it to Hand, move the rest to Retirement Area.	playerNDeck
SD01C-SPR01	"Blue Curse"	my-little-pony/sd01/MyLittlePony-SD01-BlueCurse.jpg	default	Event	SD01	SPR	2	-	-			Draw 2 cards, discard 1 card.	playerNDeck
SD01C-SPR02	Instrument Set	my-little-pony/sd01/MyLittlePony-SD01-InstrumentSet.jpg	default	Item	SD01	SPR	1	-	-			While in your turn, adorned Character gets +1 Inspiration.	playerNDeck
SD01C-SPR03	Head Umbrella	my-little-pony/sd01/MyLittlePony-SD01-HeadUmbrella.jpg	default	Item	SD01	SPR	3	-	-			While in Rival's turn, adorned Character gets +2 Inspiration.	playerNDeck
SD01C-SPR04	Pinkie's Flying Balloon	my-little-pony/sd01/MyLittlePony-SD01-PinkiesFlyingBalloon.jpg	default	Item	SD01	SPR	1	-	-			Only adorn <Pinkie Pie>. Adorned Character gets +1 Inspiration.	playerNDeck
SD01C-SR01	Pinkie Pie (SD01 5)	my-little-pony/sd01/MyLittlePony-SD01-PinkiePieSD015.jpg	default	Character	SD01	SR	2	Earth Pony / Pinkie Pie	3			|Adventure| While there is any Character adorned with Item in your Adventure Area, this Character gets +2 Inspiration.	playerNDeck
SD01C-SR02	Gummy (SD01 3)	my-little-pony/sd01/MyLittlePony-SD01-GummySD013.jpg	default	Character	SD01	SR	1	Crocodile / Gummy / Pet	1			|Farewell| Draw 1 card, discard 1 card.	playerNDeck
SD01C-U01	Pinkie Pie (SD01 6)	my-little-pony/sd01/MyLittlePony-SD01-PinkiePieSD016.jpg	default	Character	SD01	U	2	Earth Pony / Pinkie Pie	4				playerNDeck
SD01C-U02	Pinkie Pie (SD01 7)	my-little-pony/sd01/MyLittlePony-SD01-PinkiePieSD017.jpg	default	Character	SD01	U	3	Earth Pony / Pinkie Pie	4			|Adventure| While there is any Item in your Retirement Area, this Character gets +2 Inspiration in your turn.	playerNDeck
SD01C-U03	Mrs. Cake (SD01 2)	my-little-pony/sd01/MyLittlePony-SD01-MrsCakeSD012.jpg	default	Character	SD01	U	4	Earth Pony / Mrs. Cake	5			|Appear| Choose 1 Character in Rival's Adventure Area, it gets -2 Inspiration until the end of turn.	playerNDeck
SD01C-U04	Gummy (SD01 4)	my-little-pony/sd01/MyLittlePony-SD01-GummySD014.jpg	default	Character	SD01	U	3	Crocodile / Gummy / Pet	4			|Adventure| While in Rival's turn, this Character gets +2 Inspiration.	playerNDeck
SD01D-C01	Applejack (SD01 3)	my-little-pony/sd01/MyLittlePony-SD01-ApplejackSD013.jpg	default	Character	SD01	C	2	Earth Pony / Applejack	2			|Farewell| If there is any untapped Scene in your Scene Area, draw 2 cards.	playerNDeck
SD01D-C02	Applejack (SD01 4)	my-little-pony/sd01/MyLittlePony-SD01-ApplejackSD014.jpg	default	Character	SD01	C	5	Earth Pony / Applejack	7				playerNDeck
SD01D-C03	Apple Bloom (SD01 2)	my-little-pony/sd01/MyLittlePony-SD01-AppleBloomSD012.jpg	default	Character	SD01	C	3	Earth Pony / Apple Bloom	5				playerNDeck
SD01D-C04	Big McIntosh (SD01 1)	my-little-pony/sd01/MyLittlePony-SD01-BigMcIntoshSD011.jpg	default	Character	SD01	C	4	Earth Pony / Big McIntosh	6				playerNDeck
SD01D-C05	Winona (SD01 1)	my-little-pony/sd01/MyLittlePony-SD01-WinonaSD011.jpg	default	Character	SD01	C	1	Dog / Winona / Pet	2				playerNDeck
SD01D-SPR01	Dye Advertisement	my-little-pony/sd01/MyLittlePony-SD01-DyeAdvertisement.jpg	default	Event	SD01	SPR	2	-	-			Choose 1 <Applejack> in your Adventure Area, it gets +2 Inspiration until the end of turn.	playerNDeck
SD01D-SPR02	Rope Trick	my-little-pony/sd01/MyLittlePony-SD01-RopeTrick.jpg	default	Event	SD01	SPR	3	-	-			Choose 1 <Applejack> and 1 <Apple Bloom> in your Adventure Area, they get +2 Inspiration until the end of turn.	playerNDeck
SD01D-SPR03	Lullaby for Apple Tree	my-little-pony/sd01/MyLittlePony-SD01-LullabyForAppleTree.jpg	default	Event	SD01	SPR	2	-	-			Only use when there are 5 or more Scenes in your Scene Area. Draw 2 cards.	playerNDeck
SD01D-SPR04	Apple Bucket	my-little-pony/sd01/MyLittlePony-SD01-AppleBucket.jpg	default	Item	SD01	SPR	3	-	-			Only adorn <Applejack>. When adorned Character Retires in Contact, move this Item to Retirement Area instead.	playerNDeck
