databaseId	name	imageUrl	cardBack	type	attributes	languages	value	sanity	summon	unique	dimension	past	region	city	beginningSanity	maxSanity	education	handSize	minimum	maximum	rarity	text	packName	set	loadGroupId
Dreamlands_DL550	The Street of Pillars	mythos/dreamlands/Mythos-Dreamlands-TheStreetOfPillars.jpg	default	Location	Water, Outside, Gate, City, Site,						Dreamlands		The East	Celephais							C	All Priest Allies add 1 point to their value while this is your Current Location.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL551	The Tall Lighthouse	mythos/dreamlands/Mythos-Dreamlands-TheTallLighthouse.jpg	default	Location	Water, Inside, Tome, City, Lighthouse,						Dreamlands		The West	Dylath-Leen							R	You may play this card immediately after playing a Travel by Sea Event	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL552	The Temple of Bokrug	mythos/dreamlands/Mythos-Dreamlands-TheTempleOfBokrug.jpg	default	Location	Forest, Water, Outside, Country, Ruins, Temple,			5		Unique	Dreamlands		The West	Mnar							U	Gain 5 Sanity. You must either Bury a Steadfast Ally or remain at this Location for an additional Turn to perform appropriate rites. For each additional Turn that you remain here you may Bury one Phobia affecting your Investigator	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL553	The Temple of Loveliness at Kiran	mythos/dreamlands/Mythos-Dreamlands-TheTempleOfLovelinessAtKiran.jpg	default	Location	Forest, Inside, Tome, Country, Temple,			4		Unique	Dreamlands		The West	Oukranos Wilds							U	Gain 4 Sanity points, but reveal the top card of your Mythos Deck. Apply any Sanity gain or loss indicated in the pentagram on the card, then Discard it. During each additional Turn that you remain here you may bury one Phobia affecting your Investigator.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL554	The Turquoise Temple of Nath-Horthath	mythos/dreamlands/Mythos-Dreamlands-TheTurquoiseTempleOfNathHorthath.jpg	default	Location	Water, Inside, City, Temple,			5		Unique	Dreamlands		The East	Celephais							U	Gain 5 Sanity. You must either Bury a Corrupt Ally or remain here for an additional Turn in abject contemplation. For each additional Turn that you remain here you may Bury one Phobia affecting your Investigator	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL555	The White Whale Inn	mythos/dreamlands/Mythos-Dreamlands-TheWhiteWhaleInn.jpg	default	Location	Outside, Business, City,						Dreamlands		The West	Ulthar							C	For each turn that you remain here you may bury one phobia affecting your investigator.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL556	Tower of Koth	mythos/dreamlands/Mythos-Dreamlands-TowerOfKoth.jpg	default	Location	Inside, Tome, City, Site, Underground,						Dreamlands		The Underworld	Gug City							C	On a following Turn you may play The Enchanted Stone right-side-up on top of your Story Deck.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL557	Vale of Pnoth	mythos/dreamlands/Mythos-Dreamlands-ValeOfPnoth.jpg	default	Location	Cemetery, Outside, Gate, Country, Lair, Underground,						Dreamlands		The Underworld	The Wildlands							R	You may use this Gate to Summon one Dhole and immediately attack with it. Opponent may defend with Allies but not use Spells or Artifacts.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL558	Vaults of Zin	mythos/dreamlands/Mythos-Dreamlands-VaultsOfZin.jpg	default	Location	Cemetery, Inside, Gate, City, Lair, Underground,						Dreamlands		The Underworld	Gug City							C	You may use this Gate to Summon one Ghast and immediately attack with it. Opponent may defend with Allies but not use Spells or Artifacts.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL701	Basilisk	mythos/dreamlands/Mythos-Dreamlands-Basilisk.jpg	default	Monster	Lesser Independent		2	-1													R	When revealed, Flip all of opponent's Defending Allies whose current value is an odd number.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL702	Being of Ib	mythos/dreamlands/Mythos-Dreamlands-BeingOfIb.jpg	default	Monster	Lesser Servitor		1			Unique	Dreamlands										C	When revealed, +1 Value for each Ally opponent has committed to defend against it. Joins Beings of Ib.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL703	Bokrug	mythos/dreamlands/Mythos-Dreamlands-Bokrug.jpg	default	Monster	Great Old One		GOO		Ruins, Storm												C	All Locations feature the Water attribute. Do not Bury Storm Events. Investigators may not gain Sanity unless they are in Mnar.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL704	Buopoth	mythos/dreamlands/Mythos-Dreamlands-Buopoth.jpg	default	Monster	Lesser Independent					Unique	Dreamlands										C	Monsters opposing do not Bypass. Joins with all Monsters.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL705	Cat from Saturn	mythos/dreamlands/Mythos-Dreamlands-CatFromSaturn.jpg	default	Monster	Greater Independent		3	-1		Unique	Dreamlands										C	Bypasser. Cannot be Summoned or Controlled. Joins Cats from Saturn.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL706	Chorazin	mythos/dreamlands/Mythos-Dreamlands-Chorazin.jpg	default	Monster	Great Old One		GOO		Dreamlands Site, Lunar Eclipse												R	[Dreamlands Site, Lunar Eclipse] All Phobias affect only the Investigator who played them. Investigators may not gain Sanity.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL707	Dhole  (v1)	mythos/dreamlands/Mythos-Dreamlands-DholeV1.jpg	default	Monster	Greater Independent		4	-1		Unique											R	When revealed, if opponent's Current Location is Underground, you may Bury this card and cause opponent to Bury his Current Location (Ignore revealed Sanity gain/loss). Joins Dholes. UNIQUE	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL708	Fireworm of Parg	mythos/dreamlands/Mythos-Dreamlands-FirewormOfParg.jpg	default	Monster	Greater Independent		5	-2			Dreamlands										U	All Monsters in the same Directed Threat function as if it is Day.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL709	Ghasts (v1)	mythos/dreamlands/Mythos-Dreamlands-GhastsV1.jpg	default	Monster	Lesser Independent		2														C	-1 Value if it is Day. When revealed, +2 Value if opposing Gugs. Joins Ghasts.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL710	Ghoul (v2)	mythos/dreamlands/Mythos-Dreamlands-GhoulV2.jpg	default	Monster	Lesser Independent		2														C	+1 Value if you or your opponent is in an Underground Location. Joins Ghouls.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL711	Gnor	mythos/dreamlands/Mythos-Dreamlands-Gnor.jpg	default	Monster	Lesser Independent		2				Dreamlands										C	+2 Value if you or your opponent is in an Underwater Location. Joins Gnor.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL712	Gug	mythos/dreamlands/Mythos-Dreamlands-Gug.jpg	default	Monster	Lesser Independent		3	-1			Dreamlands										C	+1 Value if opposing Ghouls or Ghasts. +1 Value if you or your opponent is Underground. Joins Gugs.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL713	Leng Spider	mythos/dreamlands/Mythos-Dreamlands-LengSpider.jpg	default	Monster	Lesser Independent		4	-2													R	When revealed, Bury one random Lesser Monster in the Directed Threat which it opposes.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL714	Lesser Shantak	mythos/dreamlands/Mythos-Dreamlands-LesserShantak.jpg	default	Monster	Lesser Servitor		2														C	When revealed, -1 Value if opposing Nightgaunts. Joins Lesser Shantaks and Corrupt Cultists.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL715	Man of Leng	mythos/dreamlands/Mythos-Dreamlands-ManOfLeng.jpg	default	Monster	Lesser Independent		1														U	Joins with any Lesser Independent	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL716	Minion of Karakal	mythos/dreamlands/Mythos-Dreamlands-MinionOfKarakal.jpg	default	Monster	Greater Servitor		3	-1	Invisible												U	Randomly choose one of your opponent's Artifacts to Bury for each Minion of Karakal that survives the Cosmic Battle.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL717	Moon-Beast	mythos/dreamlands/Mythos-Dreamlands-MoonBeast.jpg	default	Monster	Lesser Independent		2				Dreamlands										C	Add 1 point to the value of this card if it is Night. Add 2 points to the value of this card if the Current Location of you or your opponent features the Space attribute, or if the Lunar Eclipse or Full Moon is in play.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL718	Nightgaunts (v2)	mythos/dreamlands/Mythos-Dreamlands-NightgauntsV2.jpg	default	Monster	Lesser Servitor		2														C	If Summoned, use Nightgaunts as a Travel by Air Event; immediately play a new Location right-side-up in any region. Joins Nightgaunts.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL719	Nodens	mythos/dreamlands/Mythos-Dreamlands-Nodens.jpg	default	Monster	Outer God		OG		Underground Location, Star												U	No Monsters are Invisible. No Monsters Bypass Combat. No Investigator may gain Sanity.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL720	Shantaks (v2)	mythos/dreamlands/Mythos-Dreamlands-ShantaksV2.jpg	default	Monster	Lesser Servitor		3														C	When revealed, Bury this card if opposing Nightgaunts. If summoned, use Shantaks as a Travel by Air Event and immediately play a new Location in any Region including Space.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL721	Tcho-Tcho People	mythos/dreamlands/Mythos-Dreamlands-TchoTchoPeople.jpg	default	Monster	Lesser Servitor		1														U	Joins with any Lesser Servitor.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL722	Voonith	mythos/dreamlands/Mythos-Dreamlands-Voonith.jpg	default	Monster	Lesser Independent		2				Dreamlands										U	When Voonith is revealed you may declare that it is in hibernation: set it aside. It does not participate in Combat this round. Begin the next round with the hibernating Voonith in your Threat. Joins Voonith.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL801	Anathema	mythos/dreamlands/Mythos-Dreamlands-Anathema.jpg	default	Spell	Dream			-1													U	Choose a Spell in target Tome and flip it face down.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL802	Barrier of Seol Seril	mythos/dreamlands/Mythos-Dreamlands-BarrierOfSeolSeril.jpg	default	Spell	Eye			-1													C	This Spell may be cast during Combat only. No Monsters in any Threat Bypass Combat.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL803	Channel Prophecy	mythos/dreamlands/Mythos-Dreamlands-ChannelProphecy.jpg	default	Spell	Dream			-1													U	Take a 13-second glance at a numbe of cards on top of your Mythos Deck equal to your Investigators current Maximum	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL804	Command Lamp-Eft	mythos/dreamlands/Mythos-Dreamlands-CommandLampEft.jpg	default	Spell	Dream			-1													C	It is now Day; put this card in Event area. Bury any Day or Night Event in play. Night Events may not be played. Once cast, Bury this card if any Day Event is played.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL805	Concentric Rings of the Worm	mythos/dreamlands/Mythos-Dreamlands-ConcentricRingsOfTheWorm.jpg	default	Spell	Folk			-2													C	This Spell may be cast during Combat only. Bury one random Monster card chosen from any one Directed Threat attacking your Investigator.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL806	Crystal World	mythos/dreamlands/Mythos-Dreamlands-CrystalWorld.jpg	default	Spell	Eye			-1													R	Your Investigator is able to Breathe Underwater for the remainder of the round. If a Star Event is in play, your Investigator is also able to survive in Space.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL807	Deflection	mythos/dreamlands/Mythos-Dreamlands-Deflection.jpg	default	Spell	Dream			-3													U	This Spell may be cast during Combat only. Target Defending Ally becomes your Defending Ally for the remainder of Combat. Return Ally to opponent or Bury Ally in opponent's Story Deck, as appropriate, at the end of Combat	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL808	Dream Sending of Glaaki	mythos/dreamlands/Mythos-Dreamlands-DreamSendingOfGlaaki.jpg	default	Spell	Yellow Sign			-2													R	Cancel a Spell just cast on you and choose a new appropriate target, as if you are casting the same Spell.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL809	Embody Charnal Odor of Xura	mythos/dreamlands/Mythos-Dreamlands-EmbodyCharnalOdorOfXura.jpg	default	Spell	Dream			-1													C	Summon or Control one Lesser Servitor Monster	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL810	Equilateral Screen	mythos/dreamlands/Mythos-Dreamlands-EquilateralScreen.jpg	default	Spell	Eye			-1													U	Take a 13-second glance at all cards in one opponent's Threat	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL811	Gate of Oneirology	mythos/dreamlands/Mythos-Dreamlands-GateOfOneirology.jpg	default	Spell	Folk			-1													C	If you are in the Waking World immediately play any Dreamlands Location as if walking. If you are in the Dreamlands immediately play any Waking World Location as if walking. You may not play Exotic Locations	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL812	Green Mist of Doom	mythos/dreamlands/Mythos-Dreamlands-GreenMistOfDoom.jpg	default	Spell	Dream			-2													C	If it is Day, Bury opponent's Current Location. If it is Night, Discard opponent's Current Location.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL813	Ironmind	mythos/dreamlands/Mythos-Dreamlands-Ironmind.jpg	default	Spell	Dream			-1													R	Increase your maximum by three for the remainder of the Round. Not cumulative with other cards that raise your maximum	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL814	Lassitude of Phein	mythos/dreamlands/Mythos-Dreamlands-LassitudeOfPhein.jpg	default	Spell	Folk			-1													C	Flip a target Ally	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL815	Mysteries of Thalarion	mythos/dreamlands/Mythos-Dreamlands-MysteriesOfThalarion.jpg	default	Spell	Water			-2													C	Summon or Control one Greater Independent Monster	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL816	Petition of Menes	mythos/dreamlands/Mythos-Dreamlands-PetitionOfMenes.jpg	default	Spell	Dream			-2													C	Randomly Bury one of your opponent's Allies lacking the Dreamer attribute.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL817	Ravening Madness	mythos/dreamlands/Mythos-Dreamlands-RaveningMadness.jpg	default	Spell	Yellow Sign			-1													R	Cause opponent's Investigator to lose 1 point of Sanity	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL818	The Awful Doom of Cerrit	mythos/dreamlands/Mythos-Dreamlands-TheAwfulDoomOfCerrit.jpg	default	Spell	Yellow Sign			-3													R	Discard a random Ally.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL819	Throth's Stalwart	mythos/dreamlands/Mythos-Dreamlands-ThrothsStalwart.jpg	default	Spell	Water			-2													R	During Combat this round, target is Buried only if it takes its full card value in Sanity loss.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL820	Vortex of Far Journeying	mythos/dreamlands/Mythos-Dreamlands-VortexOfFarJourneying.jpg	default	Spell	Dream			-2													U	Target opponent reveals the top card of his or her Mythos Deck. If it is a Location it immediately becomes his or her Current Location. If it is a Monster it attacks him or her (Allies may defend), then is Discarded. If it is some other kind of card, it is Discarded.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL821	Whirligig	mythos/dreamlands/Mythos-Dreamlands-Whirligig.jpg	default	Spell	Water			-1													R	Flip all face-down cards you currently have in play face-up, except Spells	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL901	Book of Beautiful Devices	mythos/dreamlands/Mythos-Dreamlands-BookOfBeautifulDevices.jpg	default	Tome	Dream	Hyperborean	2	-1			Dreamlands										C	You may find Dreamlands Artifacts in the Waking World	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL902	Cultus Maleficarum	mythos/dreamlands/Mythos-Dreamlands-CultusMaleficarum.jpg	default	Tome	Yellow Sign	English	1	-1													R		Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL903	Monstres and Their Kynde	mythos/dreamlands/Mythos-Dreamlands-MonstresAndTheirKynde.jpg	default	Tome	Eye, Folk	English	1	-1													C		Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL904	Necronomicon Dreamlands Edition	mythos/dreamlands/Mythos-Dreamlands-NecronomiconDreamlandsEdition.jpg	default	Tome	Dream, Eye, Yellow Sign	Glyphs	4	-3													U	This card may be found at an Exotic Location only. You may walk between the Waking World and the Dreamlands as if they were in the same Region.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL905	Papyrus of Ilarnek	mythos/dreamlands/Mythos-Dreamlands-PapyrusOfIlarnek.jpg	default	Tome	Dream, Water	Glyphs	2	-1			Dreamlands										C		Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL906	Pnakotic Manuscripts	mythos/dreamlands/Mythos-Dreamlands-PnakoticManuscripts.jpg	default	Tome	Folk, Water	Atlantean or Hyperborean	2	-2													U	Bury this card to cancel the effects of an Event just played. Then Bury the Event.	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL907	Thaumaturgical Prodigies in the New English Canaan (v1)	mythos/dreamlands/Mythos-Dreamlands-ThaumaturgicalProdigiesInTheNewEnglishCanaanV1.jpg	default	Tome	Folk	English	2	-1													U		Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL908	Thaumaturgical Prodigies in the New English Canaan (v2)	mythos/dreamlands/Mythos-Dreamlands-ThaumaturgicalProdigiesInTheNewEnglishCanaanV2.jpg	default	Tome	Folk	English	1														C		Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL909	The Book of the Black Stones	mythos/dreamlands/Mythos-Dreamlands-TheBookOfTheBlackStones.jpg	default	Tome	Dream	English	2	-2			Dreamlands										R	You may find Dreamlands Artifacts in the Waking World	Dreamlands	Dreamlands	playerNDeck
Dreamlands_DL910	The Voynich Manuscript	mythos/dreamlands/Mythos-Dreamlands-TheVoynichManuscript.jpg	default	Tome	Eye, Yellow Sign	Greek & Latin	3	-2													R		Dreamlands	Dreamlands	playerNDeck
Limited_Ltd101	A Heroic Rescue	mythos/limited/Mythos-Limited-AHeroicRescue.jpg	default	Adventure	Mythos Experience		7	3													U	A STEADFAST AUTHOR, friend ally of yours, has been abducted by agents of the Mythos. Gathering your friends, you know you can rely on the REPORTER, the DOCTOR, the PRIVATE EYE, and the WIFE. The CORRUPT CULTIST has his lair in a CEMETERY, where you corner him with a WEAPON and capture his terrible TOME.	Limited	Limited	playerNDeck
Limited_Ltd102	Knee-Deep in Doom	mythos/limited/Mythos-Limited-KneeDeepInDoom.jpg	default	Adventure	Mythos Experience		5	2													C	Many of the Mythos tales feature a poor unfortunate fellow who, despite the best of intentions and regardless of merit, is wholly consumed by the horrors from beyond. Before your Sanity runs out, you must have discovered physical proof of the existence of the Mythos (20 POINTS-WORTH OF MONSTERS in your Story Deck).	Limited	Limited	playerNDeck
Limited_Ltd103	On The Edge	mythos/limited/Mythos-Limited-OnTheEdge.jpg	default	Adventure	Mythos Experience		6	4													R	Ah! The brink of Insanity can bring enlightment. Find a way to drive your own SANITY below SIX POINTS. Of course, thay then carry you off to the SANATARIUM. The DOCTOR there, a CORRUPT CULTIST in disguise, chooses your for his diabolical experiments. First he tries to induce TWO different PHOBIAS. Then, using the instructions in his CALL OF CTHULHU TOME, he "REROLLS" YOUR INVESTIGATOR	Limited	Limited	playerNDeck
Limited_Ltd104	One Dark and Stormy Night	mythos/limited/Mythos-Limited-OneDarkAndStormyNight.jpg	default	Adventure	Mythos Experience		6	2													C	It just seems that things always go from bad to worse. During a POWERFUL STORM, travel to THREE different LOCATIONS along the MISCATONIC VALLEY, using at least one TRAVEL BY CAR and finding refuge in a nearby CHURCH	Limited	Limited	playerNDeck
Limited_Ltd105	Stand Against the Order	mythos/limited/Mythos-Limited-StandAgainstTheOrder.jpg	default	Adventure	Heroic Adventure		9	4													R	You and two STEADFAST ALLIES are (at first) greatly impressed by the strange magnetic charisma of BARNABAS MARSH, JEREMIAH BREWSTER and ROBERT MARSH (two of these three), leaders of the Order. You soon notice evidence of the INNSMOUTH LOOK among their followers. Stealthy investigation of the MARSH MANSION and the MARSH REFINERY reveals convincing evidence of their terrible customs and foul plot for humankind. In a desperate attempt to rid the world of this menace, you DYNAMITE the ESOTERIC ORDER OF DAGON	Limited	Limited	playerNDeck
Limited_Ltd106	The Birds and the Byakhees	mythos/limited/Mythos-Limited-TheBirdsAndTheByakhees.jpg	default	Adventure	Heroic Adventure		6	2													R	Many strange and unusual species inhabit the surrounding terrain. Your job is to study them. Arising at the DAWN OF A NEW DAY, you travel to TWO different WATER LOCATIONS to meet an ALLY of the opposite sex as your Investigator. Together you travel to TWO different FOREST/COUNTRY LOCATIONS to go MONSTER watching. Bring your journal back to any PRESS LOCATION or SOCIETY LOCATION.	Limited	Limited	playerNDeck
Limited_Ltd107	The Curious Parcel	mythos/limited/Mythos-Limited-TheCuriousParcel.jpg	default	Adventure	Mythos Experience		6	2													C	Old, eccentric Uncle Eliott has done it this time. Now he's disappeared, and is presumed dead by the authorities. But wait... a package today has been delivered to you! Find a TOME in a language other than English. Learn at least ONE SPELL in that Tome. Travel to ONE LIBRARY, ONE CEMETERY, and a GATE LOCATION (3 cards). Finally meet TWO ALLIES that are either AUTHORS, SCHOLARS, PROFESSORS, or ARTISTS	Limited	Limited	playerNDeck
Limited_Ltd108	The Great Epidemic	mythos/limited/Mythos-Limited-TheGreatEpidemic.jpg	default	Adventure	Heroic Adventure		9	4													R	That year, a terrible plague fell on Arkham. Assisting the DOCTOR, you struggle THREE DAYS against the worst TYPHOID EPIDEMIC in memory. You marvel at the skill of one student in particular, HERBERT WEST, who works tirelessly, often late into the NIGHT. Many in town die, including the DOCTOR (he must be in your Story Deck). Later, a mad ZOMBIE-thing runs amok and kills several people. It is now incarcerated at a SANITARIUM	Limited	Limited	playerNDeck
Limited_Ltd109	The Interesting Shop	mythos/limited/Mythos-Limited-TheInterestingShop.jpg	default	Adventure	Mythos Experience		5	1													C	Spend the day traveling about town searching for that just-right knick-knack to adorn your mantle. Visit 4 different CITY LOCATIONS where you might find an ARTIFACT or TOME and find one thing that costs you at least 1 sanity point	Limited	Limited	playerNDeck
Limited_Ltd110	The Outsider	mythos/limited/Mythos-Limited-TheOutsider.jpg	default	Adventure	Heroic Adventure		7	3													R	A eerie CORRUPT CULTIST moved into the HOUSE with a Gate at the edge of town. You spied him hauling THREE ARTIFACTS or TOMES into the storied place by the light of the WAXING MOON. Rushing back to the BUSINESS, the TOWNSFOLK RIOT in response to your warning, interrupting his foul ritual IN THE NICK OF TIME	Limited	Limited	playerNDeck
Limited_Ltd111	The Theron Marks Society	mythos/limited/Mythos-Limited-TheTheronMarksSociety.jpg	default	Adventure	Heroic Adventure		6	2													U	You are not alone. The Theron-Marks Society believes your wild stories of a MONSTER. We'll help you take care of that PHOBIA, as well. Our members will examine that odd TOME with that supposed SPELL that you found in the COUNTRY HOUSE. When you are feeling better, you and those TWO STEADFAST ALLIES are welcome to return as proud members of the Theron-Marks Society. One final thing - bring a WEAPON	Limited	Limited	playerNDeck
Limited_Ltd112	Your First Big Story	mythos/limited/Mythos-Limited-YourFirstBigStory.jpg	default	Adventure	Mythos Experience		6	2													C	The local newspaper wants your story! To get this story published, you must include the following elements that show a disturbing trend: search for evidence in THREE GATE LOCATIONS located in tree different cities or towns; have known an ALLY that costs you Sanity; discover a TOME or ARTIFACT as evidence, and get back to a PRESS LOCATION while it is DAY.	Limited	Limited	playerNDeck
Limited_Ltd201	Abigail Winthrop Marsh	mythos/limited/Mythos-Limited-AbigailWinthropMarsh.jpg	default	Ally	Steadfast Wife	English	2						Lovecraft	Innsmouth							C	Add 2 points to the value of this card while any other Marsh card is in play as an Ally	Limited	Limited	playerNDeck
Limited_Ltd202	Albert N. Wilmarth	mythos/limited/Mythos-Limited-AlbertNWilmarth.jpg	default	Ally	Steadfast Professor	English, Latin & Greek	2						Lovecraft	Arkham							U		Limited	Limited	playerNDeck
Limited_Ltd203	Albert Shiny	mythos/limited/Mythos-Limited-AlbertShiny.jpg	default	Ally	Corrupt Friend	English	4			Unique			Lovecraft	Any City							R	Does not use Weapons. While this card is in play, you may Discard any Shoggoth that attacks your Investigator at the moment that it is revealed. At the end of that Round, bury poor Albert in your Story Deck.	Limited	Limited	playerNDeck
Limited_Ltd204	Ammi Pierce	mythos/limited/Mythos-Limited-AmmiPierce.jpg	default	Ally	Steadfast Farmer	English	2						Lovecraft	Miskatonic Valley							C	While he is in play, add one to the Maximum number of cards that you may keep in your Hand. Cumulative with other Allies that raise your Maximum.	Limited	Limited	playerNDeck
Limited_Ltd205	Ann White	mythos/limited/Mythos-Limited-AnnWhite.jpg	default	Ally	Steadfast Housekeeper	English	1						Lovecraft	Providence							C	Add 1 point to this card's value when either Rhoby Harris or Mercy Dexter is in play.	Limited	Limited	playerNDeck
Limited_Ltd206	Arthur Munroe	mythos/limited/Mythos-Limited-ArthurMunroe.jpg	default	Ally	Steadfast Reporter	English	2						Any City								C	While this card is in play, subtract one from the Minimum number of cards that you may keep in your Hand. Not cumulative with other Allies that lower your Minimum.	Limited	Limited	playerNDeck
Limited_Ltd207	Asenath Waite Derby	mythos/limited/Mythos-Limited-AsenathWaiteDerby.jpg	default	Ally	Corrupt Wife & Living Dead	English	1	-1		Unique			Lovecraft	Arkham							R	Cannot be played if you have Ephraim Waite in play. Can know any one Spell. Bury Spell in your Story Deck after it is cast.	Limited	Limited	playerNDeck
Limited_Ltd208	Barnabas Marsh	mythos/limited/Mythos-Limited-BarnabasMarsh.jpg	default	Ally	Corrupt Cultist	English	1	-1		Unique			Lovecraft	Innsmouth							R	Add 1 point to the value of this card if your Investigator has the Jewelry of the Deep Ones.	Limited	Limited	playerNDeck
Limited_Ltd209	Charles Dexter Ward	mythos/limited/Mythos-Limited-CharlesDexterWard.jpg	default	Ally	Corrupt Student	English	2						Lovecraft	Providence							U	Add 2 points to the value of this card while you have any Attributes: Corrupt Cultist in play as an ally.	Limited	Limited	playerNDeck
Limited_Ltd210	Crawford Tillinghast	mythos/limited/Mythos-Limited-CrawfordTillinghast.jpg	default	Ally	Corrupt Inventor	English	2			Unique			Lovecraft	Providence							U	You may place an Artifact card beneath this card on your Turn in any Location. If this card is discarded or Buried, the Artifact suffers the same fate. The Artifact can be replaced with another, if lost.	Limited	Limited	playerNDeck
Limited_Ltd211	Dr. Marinus Bicknell Willett	mythos/limited/Mythos-Limited-DrMarinusBicknellWillett.jpg	default	Ally	Steadfast Doctor	English	1						Lovecraft	Providence							C	This Doctor and one Ally of your choice are excluded when determing the results of an Epidemic	Limited	Limited	playerNDeck
Limited_Ltd212	Edward Pickman Derby	mythos/limited/Mythos-Limited-EdwardPickmanDerby.jpg	default	Ally	Steadfast Poet	English	2						Lovecraft	Arkham							R	Add 1 point to the value of this card while you have Asenath Waite Derby in play	Limited	Limited	playerNDeck
Limited_Ltd213	Ephraim Waite	mythos/limited/Mythos-Limited-EphraimWaite.jpg	default	Ally	Corrupt Cultist & Living Dead	English	2	-1		Unique		Past	Lovecraft	Innsmouth							R	Cannot be played if you have Asenath Waite in play. When you bury Ephraim, you may immediately play Asenath Waite Derby card. Can know any one Spell. Bury Spell in your Story Deck after it is cast.	Limited	Limited	playerNDeck
Limited_Ltd214	George Birch	mythos/limited/Mythos-Limited-GeorgeBirch.jpg	default	Ally	Corrupt Undertaker	English	3						Any Cemetery								C	Add 1 point to the value of this card while your current Location is a cemetery.	Limited	Limited	playerNDeck
Limited_Ltd215	Harvey Walters	mythos/limited/Mythos-Limited-HarveyWalters.jpg	default	Ally	Steadfast Reporter	English	2						Lovecraft	Arkham							C	While this card is in play, subtract one from the Minimum number of cards that you may keep in your Hand. Not cumulative with other Allies that lower your Minimum.	Limited	Limited	playerNDeck
Limited_Ltd216	Howard Lovecraft (v1)	mythos/limited/Mythos-Limited-HowardLovecraftV1.jpg	default	Ally	Steadfast Author	English & Hyperborean	1	1					Lovecraft	Providence							U	Remain in any Providence Location with Lovecraft for one Turn and Bury one Phobia	Limited	Limited	playerNDeck
Limited_Ltd217	Jeremiah Brewster	mythos/limited/Mythos-Limited-JeremiahBrewster.jpg	default	Ally	Corrupt Cultist	English	3	-1					Lovecraft	Innsmouth							C	Add 1 point to the value of this card if your Investigator has the Jewelry of the Deep Ones.	Limited	Limited	playerNDeck
