databaseId	name	imageUrl	cardBack	type	cost	health	team	powerSymbol	rangedFlight	keyword	text	packName	set	loadGroupId
THE MARVEL BATTLES_Quasar_SC	Quasar	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Quasar.jpg	default	Supporting Character	6	1	Guardians of the Galaxy	Energy	Both	Quantum Blast	Main [Energy]: Turn a location face down.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Red_Skull_SC	Red Skull	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-RedSkull.jpg	default	Supporting Character	3	1	Villains	Skill	Ranged	Dodge, Dust of Death	He can't be ranged attacked. [Any Turn] Combat [Skill]: Stun a character that is melee attacking the Red Skull.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Rocket_L1	Rocket L1	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-RocketL1.jpg	default	Main Character	None	5	Guardians of the Galaxy	Energy	Ranged		Main [Energy]: Rocket gets +4/+0 the next time he attacks during this turn. Level Up [1] - When you have no cards in hand, Rocket gains an XP.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Rocket_L2	Rocket L2	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-RocketL2.jpg	default	Main Character	None	5	Guardians of the Galaxy	Energy, Skill	Ranged		Main [Energy]: Rocket gets +4/+0 the next time he attacks during this turn. Main [Skill]: Choose two random cards in your KO pile, reveal them, and put them into your hand.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Rocket_SC	Rocket	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Rocket.jpg	default	Supporting Character	3	1	Guardians of the Galaxy	Skill	Ranged	Scavenger	Main [Skill]: Put a card from your KO pile into your hand.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Ronan_SC	Ronan	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Ronan.jpg	default	Supporting Character	2	2	Villains	Intellect		Accuse	Main [Intellect]: Name any card. Choose an enemy player to reveal their hand and discard each card with that name.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Sabretooth_SC	Sabretooth	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Sabretooth.jpg	default	Supporting Character	4	2	Villains	None		Ferocious, Beserker	During melee combat, he strikes before enemy characters. When he attacks, put a +1/+1 counter on him.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Savage_Surprise_PT	Savage Surprise	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-SavageSurprise.jpg	default	Plot Twist	None			None			[Any Turn] Combat: Choose a defender to get +4/+0  this combat.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_School_For_Gifted_Youngsters_L	School For Gifted Youngsters	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-SchoolForGiftedYoungsters.jpg	default	Location	None		X-Men	Energy, Intellect, Might, Skill			[Energy] or [Intellect] or [Might] or [Skill] for an [X-Men] character.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Spider-Man_L1	Spider-Man L1	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-SpiderManL1.jpg	default	Main Character	None	5	Avengers	Might			[Any Turn] Combat [Might]: Spider-Man gets +1/+1 this combat for each face-up supporting character on your side. Level Up [8] - At the end of your turn, Spidey gains 1 XP for each face-up supporting character on your side.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Spider-Man_L2	Spider-Man L2	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-SpiderManL2.jpg	default	Main Character	None	5	Avengers	Might, Intellect			[Any Turn] Combat [Might]: Spider-Man gets +1/+1 this combat for each face-up supporting character on your side. [Any Turn] Any Combat [Intellect]: Remove a defender on your side from combat and replace it with Spider-Man. Switch their positions.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Spider-Man_SC	Spider-Man	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-SpiderMan.jpg	default	Supporting Character	4	1	Avengers	Skill		Dodge, Websling	He can't be ranged attacked. Main [Skill]: Pull a back row enemy character to its front row.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Squad_Tactics_PT	Squad Tactics	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-SquadTactics.jpg	default	Plot Twist	None		X-Men	None			[Any Turn] Combat: Put a +1/+1 counter on each character on your side in the combat.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Stark_Tech_PT	Stark Tech	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-StarkTech.jpg	default	Plot Twist	None		Avengers	None			Main: Put a +1/+1 counter on a character on your side. It gains [Ranged] this turn.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Star-Lord_L1	Star-Lord L1	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-StarLordL1.jpg	default	Main Character	None	5	Guardians of the Galaxy	Intellect	Ranged		Build [Intellect]: You pay 1 less to recruit your next character during this turn. Level Up [5] - When you recruit a character, Star-Lord gains an XP.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Star-Lord_L2	Star-Lord L2	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-StarLordL2.jpg	default	Main Character	None	5	Guardians of the Galaxy	Intellect, Skill	Ranged		Build [Intellect]: You pay 1 less to recruit your next character during this turn. Main [Skill]: Each enemy character loses its powers this turn.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Star-Lord_SC	Star-Lord	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-StarLord.jpg	default	Supporting Character	4	1	Guardians of the Galaxy	None	Ranged	Leader, Team Up	While he's team attacking, you choose who the defender strikes back against. Each supporting character on your side is also a [Guardians of the Galaxy] supporting character.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Storm_L1	Storm L1	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-StormL1.jpg	default	Main Character	None	5	X-Men	Energy	Flight		Main [Energy]: Put two -1/-1 counters divided as you choose on up to two enemy characters. Level Up [3] - When you activate a Super Power, Storm gains an XP.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Storm_L2	Storm L2	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-StormL2.jpg	default	Main Character	None	5	X-Men	Energy, Skill	Flight		Main [Energy]: Put two -1/-1 counters divided as you choose on up to two enemy characters. Main [Skill]: Characters on your side gain [Flight] this turn.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Storm_SC	Storm	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Storm.jpg	default	Supporting Character	4	1	X-Men	Energy	Flight	Thunderstorm	Main [Energy]: Put a -1/-1 counter on each enemy character.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Thanos_L1	Thanos L1	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-ThanosL1.jpg	default	Main Character	None	6	Villains	Might			Main [Might]: Shuffle each character in a KO pile into its deck. Then put that many +1/+1 counters on Thanos. Level Up [6] - When an enemy character gets KO'd, Thanos gains an XP	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Thanos_L2	Thanos L2	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-ThanosL2.jpg	default	Main Character	None	6	Villains	Energy, Intellect, Might, Skill			Main [Might]: Shuffle each character in a KO pile into its deck. Then put that many +1/+1 counters on Thanos. Main [Energy] [Intellect] [Might] [Skill]: For each enemy player, stun their main character, KO one of their resources, KO one of their supporting characters, and they discard a random card.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Thanos_SC	Thanos	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Thanos.jpg	default	Supporting Character	8	2	Villains	Might		Welcome Death	Main [Might]: Add a wound to all stunned characters.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_The_Vault_L	The Vault	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-TheVault.jpg	default	Location	None		Villains	Energy, Intellect, Might, Skill			[Energy] or [Intellect] or [Might] or [Skill] for a [Super Villains] character.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Think_Again_PT	Think Again	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-ThinkAgain.jpg	default	Plot Twist	None		Avengers	None			[Any Turn] Combat: Cancel the combat.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Thor_SC	Thor	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Thor.jpg	default	Supporting Character	6	2	Avengers	Energy	Flight	Lightning Strike	Main [Energy]: Put three -1/-1 counters on an enemy character.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Training_Ground_L	Training Ground	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-TrainingGround.jpg	default	Location	None			Skill			[Skill]	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Trickster_God_PT	Trickster God	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-TricksterGod.jpg	default	Plot Twist	None		Villains	None			[Any Turn] Combat: Switch the current ATK and DEF of a character for this combat.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Ultron_SC	Ultron	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Ultron.jpg	default	Supporting Character	4	1	Villains	Energy	Both	Swarm, Replicate	You can have any number of this character on your side. This power can't be turned off. Build [Energy]: Search your deck for a copy of this character and put it into play, then shuffle your deck.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Uncanny_Defense_PT	Uncanny Defense	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-UncannyDefense.jpg	default	Plot Twist	None		X-Men	None			[Any Turn] Combat: Remove a defender on your side from combat and replace it with a different character on your side. Switch their positions.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Vigilante_Justice_PT	Vigilante Justice	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-VigilanteJustice.jpg	default	Plot Twist	None		Guardians of the Galaxy	None			[Any Turn] Combat: Choose a character to become Ferocious this combat. [During melee combat, it strikes before enemy characters.]	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Wolverine_L1	Wolverine L1	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-WolverineL1.jpg	default	Main Character	None	5	X-Men	Skill			[Any Turn] Combat [Skill]: Wolverine gets +3/+0 this combat. Level Up [3] - When Wolverine makes a solo attack and stuns an enemy character, he gains an XP.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Wolverine_L2	Wolverine L2	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-WolverineL2.jpg	default	Main Character	None	5	X-Men	Skill, Might			[Any Turn] Combat [Skill]: Wolverine gets +3/+0 this combat. Main [Might]: Heal a wound from Wolverine.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Wolverine_SC	Wolverine	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Wolverine.jpg	default	Supporting Character	5	2	X-Men	None		Berserker, Regeneration	When he attacks, put a +1/+1 counter on him. At the start of your turn, if he's face-up, heal a wound from him.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_X-Factor_PT	X-Factor	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-XFactor.jpg	default	Plot Twist	None		X-Men	None			Main: Ready a character	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Yondu_SC	Yondu	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Yondu.jpg	default	Supporting Character	1	2	Guardians of the Galaxy	Skill	Ranged	Yaka Arrow	Main [Skill]: Stun a supporting character with cost of 3 or less.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
The Defenders_Angel_SC	Angel	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-Angel.jpg	default	Supporting Character	1	1	Defenders	Energy	Flight	Dodge, Healing Blood	Angel can't be ranged attacked. Main [Energy]: Heal a wound from a supporting character on your side.	The Defenders	The Defenders	playerNDeck
The Defenders_Baron_Mordo_SC	Baron Mordo	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-BaronMordo.jpg	default	Supporting Character	6	1	Underworld	Energy	Ranged	Black Magic	Main [Energy]: KO a stunned supporting character.	The Defenders	The Defenders	playerNDeck
The Defenders_Blackheart_SC	Blackheart	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-Blackheart.jpg	default	Supporting Character	7	2	Underworld	None	Both	Created from Evil	Blackheart gets +1/+1 for each Evil character in your KO pile.	The Defenders	The Defenders	playerNDeck
The Defenders_Bullseye_L1	Bullseye L1	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-BullseyeL1.jpg	default	Main Character	None	5	Underworld	Intellect	Ranged		Main [Intellect] [Intellect]: Wound a face-up supporting character. Level Up [3] - When Bullseye Kos an enemy character, he gains an XP.	The Defenders	The Defenders	playerNMain
The Defenders_Bullseye_L2	Bullseye L2	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-BullseyeL2.jpg	default	Main Character	None	5	Underworld	Intellect, Skill	Ranged		Main [Intellect] [Intellect]: Wound a face-up supporting character. Main [Skill] [Skill] [Skill]: Wound a face-up main character.	The Defenders	The Defenders	playerNMain
The Defenders_Bullseye_SC	Bullseye	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-Bullseye.jpg	default	Supporting Character	5	1	Underworld	Skill	Ranged	Improvised Weapon	Main [Skill]: Remove a +1/+1 counter from Bullseye. If you do, wound a face-up supporting character.	The Defenders	The Defenders	playerNDeck
The Defenders_Carnage_SC	Carnage	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-Carnage.jpg	default	Supporting Character	1	2	Underworld	None		Maximum Carnage, Symbiosis	When Carnage stuns an enemy character or gets stunned, put a +1/+1 counter on Carnage. Carnage can have a +1/+1 counters while stunned.	The Defenders	The Defenders	playerNDeck
The Defenders_Cloak_SC	Cloak	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-Cloak.jpg	default	Supporting Character	3	1	Defenders	None		The Dark Force Hungers	At the start of each player's Build Phase, put a -1/-1 counter on each character on that player's side.	The Defenders	The Defenders	playerNDeck
The Defenders_Dagger_SC	Dagger	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-Dagger.jpg	default	Supporting Character	2	1	Defenders	None	Ranged	Purifying Light	When Dagger appears, remove all -1/-1 counters from characters on your side. Characters on your side can't gain -1/-1 counters.	The Defenders	The Defenders	playerNDeck
The Defenders_Daredevil_L1	Daredevil L1	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-DaredevilL1.jpg	default	Main Character	None	5	Defenders	Skill			[Any Turn] Combat [Skill]: Daredevil strikes with double his ATK this combat. Level Up [3] - When Daredevil gets attacked, if he's protecting a character, he gains a XP.	The Defenders	The Defenders	playerNMain
The Defenders_Daredevil_L2	Daredevil L2	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-DaredevilL2.jpg	default	Main Character	None	5	Defenders	Skill, Intellect			[Any Turn] Combat [Skill]: Daredevil strikes with double his ATK this combat. Main [Intellect]: Enemy players must play with their hands revealed. An enemy player may pay a [Skill] during their Main Phase to end this effect.	The Defenders	The Defenders	playerNMain
The Defenders_Deathlok_SC	Deathlok	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-Deathlok.jpg	default	Supporting Character	3	2	Defenders	Might	Ranged	Rebuilt Body	Main [Might]: Put a character in your KO pile on the bottom of your deck. Deathlok has that character's base ATK and DEF instead of his own this turn.	The Defenders	The Defenders	playerNDeck
The Defenders_Dr_Strange_L1	Dr. Strange L1	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-DrStrangeL1.jpg	default	Main Character	None	5	Defenders	Energy	Flight		Build [Energy]: Draw a card. You may use this power any number of times on your turn. Level Up [5] - Whenever you draw one or more cards, Dr. Strange gains an XP.	The Defenders	The Defenders	playerNMain
The Defenders_Dr_Strange_L2	Dr. Strange L2	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-DrStrangeL2.jpg	default	Main Character	None	5	Defenders	Energy, Intellect	Flight		Build [Energy]: Draw a card. You may use this power any number of times on your turn. Main [Intellect]: Choose any number of characters. For each one, remove its +1/+1 counters and put that many -1/-1 counters onto it, or vice versa.	The Defenders	The Defenders	playerNMain
The Defenders_Electro_SC	Electro	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-Electro.jpg	default	Supporting Character	2	1	Underworld	Energy	Ranged	Chain Lightning	Main [Energy]: Stun each enemy character that costs 2 or less.	The Defenders	The Defenders	playerNDeck
The Defenders_Fair_And_Balanced_PT	Fair And Balanced	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-FairAndBalanced.jpg	default	Plot Twist	None		Underworld	None			Main: Put a +1/+1 counter on a character and a -1/-1 counter on a character.	The Defenders	The Defenders	playerNDeck
The Defenders_Fisk_Tower_L	Fisk Tower	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-FiskTower.jpg	default	Location	None		Underworld	Energy, Intellect, Might, Skill			[Energy] or [Intellect] or [Might] or [Skill] for a [Underworld] character.	The Defenders	The Defenders	playerNDeck
The Defenders_Ghost_Rider_L1	Ghost Rider L1	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-GhostRiderL1.jpg	default	Main Character	None	6	Defenders	Intellect, Might			Main [Energy] [Might]: Stun an enemy character that attacked since the end of your last turn. Level Up [3] - When another character on your side gets KO'd on an enemy player's turn, Ghost Rider gains an XP.	The Defenders	The Defenders	playerNMain
The Defenders_Ghost_Rider_L2	Ghost Rider L2	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-GhostRiderL2.jpg	default	Main Character	None	6	Defenders	Intellect, Might, Skill			Main [Energy] [Might]: Stun an enemy character that attacked since the end of your last turn. Main [Skill]: If Ghost Rider is ready, drive him to an enemy row. He may make any number of melee attacks, one at a time, against characters in that row. When Ghost Rider gets stunned, or you're done attacking, drive him back to one of your rows exhausted.	The Defenders	The Defenders	playerNMain
The Defenders_Ghost_Rider_SC	Ghost Rider	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-GhostRider.jpg	default	Supporting Character	7	2	Defenders	None		Penance Stare	When Ghost Rider appears, choose an enemy character and put -1/-1 counters on it equal to the number of Good characters in your KO pile.	The Defenders	The Defenders	playerNDeck
The Defenders_Hellcat_SC	Hellcat	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-Hellcat.jpg	default	Supporting Character	1	2	Defenders	None		Pounce	While Hellcat is attacking an exhausted character, it can't strike back against her.	The Defenders	The Defenders	playerNDeck
The Defenders_Hellstrom_SC	Hellstrom	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-Hellstrom.jpg	default	Supporting Character	3	2	Underworld	None	Both	Darksoul	When Hellstrom gets powered up, heal a wound from him.	The Defenders	The Defenders	playerNDeck
The Defenders_Helmut_Zemo_SC	Helmut Zemo	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-HelmutZemo.jpg	default	Supporting Character	1	1	Underworld	Intellect	Ranged	Sow Distrust	Main [Intellect]: Look at an enemy player's hand and choose a character that doesn't share a team affiliation with that player's main character. That player discards that character.	The Defenders	The Defenders	playerNDeck
The Defenders_Hidden_Weapons_PT	Hidden Weapons	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-HiddenWeapons.jpg	default	Plot Twist	None		Defenders	None			Main: Choose a character on your side to get +1/+1 and [Range] this turn. [Any Turn] Combat: Choose a character in the combat to get +1/+1 and [Ranged] this combat.	The Defenders	The Defenders	playerNDeck
The Defenders_Iron_Fist_SC	Iron Fist	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-IronFist.jpg	default	Supporting Character	2	1	Defenders	Skill		Dodge, Iron Fist Punch	Iron Fist can't be ranged attacked. [Any Turn] Combat [Skill]: When Iron Fist strikes a character this combat, stun that character.	The Defenders	The Defenders	playerNDeck
The Defenders_Kingpin_L1	Kingpin L1	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-KingpinL1.jpg	default	Main Character	None	5	Underworld	Might			Build [Might]: Reveal the top five cards of your deck. Put a location from among them into your hand and the rest on the bottom in any order. Level Up [5] - When a location appears on your side, Kingpin gains an XP.	The Defenders	The Defenders	playerNMain
The Defenders_Kingpin_L2	Kingpin L2	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-KingpinL2.jpg	default	Main Character	None	5	Underworld	Energy, Intellect, Might, Skill			Build [Might]: Reveal the top five cards of your deck. Put a location from among them into your hand and the rest on the bottom in any order. Main [Energy] or [Intellect] or [Might] or [Skill]: Put a +1/+1 counter on a character. You may use this power any number of times on your turn.	The Defenders	The Defenders	playerNMain
The Defenders_Kingpin_SC	Kingpin	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-Kingpin.jpg	default	Supporting Character	6	2	Underworld	Might		Underworld Boss	Main [Might]: If there are two or more other [Underworld] characters on your side, Kingpin takes over being your main character, and your current main character becomes a supporting character.	The Defenders	The Defenders	playerNDeck
The Defenders_Loyal_Soldiers_PT	Loyal Soldiers	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-LoyalSoldiers.jpg	default	Plot Twist	None			None			Main: Choose a team affiliation. If all characters on your side have that team affiliation, put a +1/+1 counter on each of them.	The Defenders	The Defenders	playerNDeck
The Defenders_Luke_Cage_L1	Luke Cage L1	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-LukeCageL1.jpg	default	Main Character	None	5	Defenders	Might			[Any Turn] Combat [Might]: If Luke Cage gets stunned during this combat, he doesn't receive a wound. Level Up [5] - During your Build Phase you may pay any amount of resource points to give Luke Cage that much XP.	The Defenders	The Defenders	playerNMain
The Defenders_Luke_Cage_L2	Luke Cage L2	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-LukeCageL2.jpg	default	Main Character	None	5	Defenders	Might, Intellect			[Any Turn] Combat [Might]: If Luke Cage gets stunned during this combat, he doesn't receive a wound. Build [Intellect]: Search your hand, deck, and KO pile for an Iron Fist supporting character and put him into one of your rows.	The Defenders	The Defenders	playerNMain
The Defenders_Mary_Walker_SC1	Mary Walker1	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-MaryWalker1.jpg	default	Supporting Character	2	1	Underworld	None		Innocent Mary, One of a Kind	While Mary is defending, each attacker with a -1/-1 counter can't strike her. You may only have one of this card in your deck.	The Defenders	The Defenders	playerNDeck
The Defenders_Mary_Walker_SC2	Mary Walker2	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-MaryWalker2.jpg	default	Supporting Character	2	1	Underworld	None		Bloody Mary, One of a Kind	While Mary is attacking, a defender with a -1/-1 counter can't strike back against her. You may only have one of this card in your deck.	The Defenders	The Defenders	playerNDeck
The Defenders_Mary_Walker_SC3	Mary Walker3	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-MaryWalker3.jpg	default	Supporting Character	2	1	Underworld	None		Typhoid Mary, One of a Kind	When Mary attacks, put a -1/-1 counter on up to two enemy characters. You may only have one of this card in your deck.	The Defenders	The Defenders	playerNDeck
The Defenders_Mary_Walker_SC4	Mary Walker4	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-MaryWalker4.jpg	default	Supporting Character	2	1	Underworld	None		Composite Personality, One of a Kind	Mary has all the powers of cards named Mary Walker in your KO pile. You may only have one of this card in your deck.	The Defenders	The Defenders	playerNDeck
The Defenders_MODOK_SC	M.O.D.O.K.	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-MODOK.jpg	default	Supporting Character	4	1	Underworld	None	Both	Mental Calculations	At the start of your turn, look at the top four cards of your deck. Put two on the bottom of your deck and the other two back on top.	The Defenders	The Defenders	playerNDeck
The Defenders_Moon_Knight_SC	Moon Knight	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-MoonKnight.jpg	default	Supporting Character	4	1	Defenders	None		Mutiple Personalities	You can discard any character to power-up Moon Knight.	The Defenders	The Defenders	playerNDeck
The Defenders_Nighthawk_SC	Nighthawk	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-Nighthawk.jpg	default	Supporting Character	4	1	Defenders	Intellect	Flight	Mobilize the Team, Night Shift	Build [Intellect]: You pay 4 less to recruit your next [Defenders] character this turn. Nighthawk gets +3/+3 during enemy players' turns.	The Defenders	The Defenders	playerNDeck
The Defenders_Pain_And_Suffering_PT	Pain and Suffering	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-PainAndSuffering.jpg	default	Plot Twist	None		Underworld	None			[Any Turn] Combat: Choose a character to get -0/-2 this combat.	The Defenders	The Defenders	playerNDeck
The Defenders_Play_Dead_PT	Play Dead	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-PlayDead.jpg	default	Plot Twist	None		Underworld	None			[Any Turn] Combat: Stun a defending supporting character on your side, but it doesn't get wounded.	The Defenders	The Defenders	playerNDeck
The Defenders_Punisher_SC	Punisher	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-Punisher.jpg	default	Supporting Character	5	1	Defenders	Skill	Ranged	Lethal, Perfect Position	When Punisher stuns a defending supporting character, KO it. [Any Turn] Combat [Skill]: If Punisher is in ranged combat, he can't be struck this combat.	The Defenders	The Defenders	playerNDeck
The Defenders_Purple_Man_SC	Purple Man	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-PurpleMan.jpg	default	Supporting Character	5	1	Underworld	Intellect		Brainwash	Main [Intellect]: Exhaust an enemy supporting character and move it to your back row. When Purple Man gets stunned or leaves your side, if that character is still on your side, move it to its owner's back row.	The Defenders	The Defenders	playerNDeck
The Defenders_Rhino_SC	Rhino	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-Rhino.jpg	default	Supporting Character	2	1	Underworld	Intellect		Angry, Stupid	Rhino must be in your first attack each turn if able. [It can be a team attack.] When Rhino attacks, an enemy player may pay an [Intellect] to stun Rhino.	The Defenders	The Defenders	playerNDeck
The Defenders_Sanctum_Sanctorum_L	Sanctum Sanctorum	vs-system-2pcg/the-defenders/VsSystem2pcg-TheDefenders-SanctumSanctorum.jpg	default	Location	None		Defenders	Energy, Intellect, Might, Skill			[Energy] or [Intellect] or [Might] or [Skill] for a [Defenders] character.	The Defenders	The Defenders	playerNDeck
