databaseId	name	imageUrl	cardBack	type	attack	cost	faction	flavorText	force	hitPoints	mainText	quantity	resources	rewardText	targetValue	traits	unique	set
cw_scs3	Droid Control Ship	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-DroidControlShip.png	card	CapitalShip		4	Separatist	By providing support to seemingly endless droid armies, the Lucrehulk-class battleship can maintain lengthy planetary blockades.		4	Purchase a Droid from your exile pile as if it were in the galaxy row.	3	2				1	clone_wars
cw_ss1	Separatist Shuttle	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-SeparatistShuttle.png	card	Unit		0	Separatist	Roughly resembling a Neimoidian soldier beetle, the large fin on the back of the Sheathipede-class transport shuttle allows it to bank quickly.				7	1		1	Transport.	0	clone_wars
cw_ss2	B1 Battle Droid	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-B1BattleDroid.png	card	Unit	2	0	Separatist				Fielded en masse, the standard B1 Battle Droid often relies on command droids or organic officers to make decisions beyond who to shoot at.	2				Droid. Trooper.	0	clone_wars
cw_ss3	Dark Side Agent	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-DarkSideAgent.png	card	Unit		0	Separatist	Not every force user is supervised by the Jedi when they first feel the temptation of the dark side.			When you play Dark Side Agent, choose: They gain 1 [attack], 1 [resource], or 1 [force] this turn.	1				Outcast.	0	clone_wars
din's_starfighter	Din's Starfighter	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-DinsStarfighter.jpg	mandalorian	Unit	6	6	Mandalorian			6	If the Force marker is on the neutral space, destroy a capital ship your opponent has in play.	1		Gain 3 [resource] and 3 [force].	9	Fighter.	1	mandalorian
eb1	Lothal	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-Lothal.png	empireBase	Base			Empire			8	Start the game with this base in play.	1				Imperial Outpost.	1	core_set
eb10	Rodia	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-Rodia.png	empireBase	Base			Empire			16	When you reveal Rodia, deal 1 damage to the enemy base for each enemy card in the galaxy row. Then discard each of those cards from the galaxy row.	1				Imperial Occupation	1	core_set
eb2	Corellia	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-Corellia.png	empireBase	Base			Empire			10	When you reveal Corellia, purchase an Empire or neutral card from the galaxy row for free and add it to your hand.	1				Imperial Shipyards.	1	core_set
eb3	Kessel	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-Kessel.png	empireBase	Base			Empire			12	When you reveal Kessel, exile up to 3 cards from your hand or discard pile.	1				The Spice Mines.	1	core_set
eb4	Kafrene	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-Kafrene.png	empireBase	Base			Empire			14	When you play a neutral card for the first time each turn, draw 1 card.	1				Trading Post	1	core_set
eb5	Mustafar	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-Mustafar.png	empireBase	Base			Empire			14	When you reveal Mustafar, gain 4 [resource].	1				Vader's Castle.	1	core_set
eb6	Ord Mantell	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-OrdMantell.png	empireBase	Base			Empire			14	While Ord Mantell is your base, you can bounty hunt 1 neutral unit in the galaxy row each turn, using its cost as its target value. If you defeat that card, gain [resource] equal to its cost.	1				Bounty Hunting.	1	core_set
eb7	Coruscant	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-Coruscant.png	empireBase	Base			Empire			16	When your turn begins, look at the top 2 cards of the galaxy deck. Place one on top of the deck and discard the other.	1				Galactic Rule.	1	core_set
eb8	Death Star	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-DeathStar.png	empireBase	Base			Empire			16	Spend 4 [resource] to destroy a capital ship your opponent has in play or a capital ship in the galaxy row.	1					1	core_set
eb9	Endor	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-Endor.png	empireBase	Base			Empire			16	While Endor is your base, each of your Trooper and Vehicle units gains 1 [attack].	1				Finest Legion.	1	core_set
ecs1	Gozanti Cruiser	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-GozantiCruiser.png	card	CapitalShip		3	Empire	The Gozanti-class armored transport is used throughout the Empire to ferry goods and personnel between worlds.		3	Discard 1 card from your hand to draw 1 card.	3	2				0	core_set
ecs2	Imperial Carrier	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-ImperialCarrier.png	card	CapitalShip		5	Empire	The Imperial carrier can hold up to forty-eight starfighters in its four hangars, making it an effective mobile headquarters.		5	While Imperial Carrier is in play, each of your Fighter units gains 1 [attack].	2	3				0	core_set
ecs3	Star Destroyer	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-StarDestroyer.png	card	CapitalShip	4	7	Empire	The distinct profile of the Imperial-class Star Destroyer is a symbol of the Empire's strength. Stationing just one in orbit of a planet could quell local unrest.		7		2			1		0	core_set
es1	Imperial Shuttle	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-ImperialShuttle.png	card	Unit		0	Empire	A versatile craft, the Lambda-class shuttle is used to transport resources, troopers, and even high-ranking dignitaries.				7	1			Transport.	0	core_set
es2	Stormtrooper	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-Stormtrooper.png	card	Unit	2	0	Empire	Elite soldiers of the Empire, the white-and-black armor of Imperial stormtroopers inspires fear across the galaxy.				2				Trooper.	0	core_set
es3	Inquisitor	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-Inquisitor.png	card	Unit		0	Empire	Force wielders in service to the Empire, the Inquisitors are elite Jedi hunters.			When you play Inquisitor, choose: They gain 1 [attack], 1 [resource], or 1 [force] this turn.	1					0	core_set
force_tracker	Force Tracker	star-wars-deckbuilding-game/other/StarWarsDeckbuildingGame-Other-ForceTracker.png	tracker	Tracker								1						other
foundling	Foundling	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-Foundling.jpg	mandalorian	Unit		1	Mandalorian	By creed, foundlings can join the Mandalorians when they come of age.		1	Exile this unit to add the next Bounty Hunter or Trooper you purchase this turn to your hand.	1	2	Gain 1 [resource].	1	Unit.	0	mandalorian
g1	Y-Wing	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-YWing.png	card	Unit	2	1	Rebel			1	Exile this unit to deal 2 damage to your opponent's base or a capital ship they have in play.	2		Reward: Gain [resource].	1	Fighter.	0	core_set
g10	U-Wing	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-UWing.png	card	Unit		4	Rebel			4	If the Force is with you, repair 3 damage from your base.	2	3	Reward: Gain 4 [resource].	4	Transport.	0	core_set
g11	Han Solo	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-HanSolo.png	card	Unit	3	5	Rebel	You know, sometimes I amaze even myself.		5	Draw 1 card (2 cards instead if you have the Millennium Falcon in play).	1	2	Reward: Gain 3 [resource] and 2 [force]	5	Scoundrel.	1	core_set
g12	Cassian Andor	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-CassianAndor.png	card	Unit	5	5	Rebel			5	When Cassian Andor defeats a target in the galaxy row, your opponent discards 1 card from their hand.	1		Reward: Gain 3 [resource] and 2 [force].	5	Trooper.	1	core_set
g13	B-Wing	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-BWing.png	card	Unit	5	5	Rebel			5	Your opponent must choose: Either they discard 1 card from their hand, or this unit gains 2 [attack].	2		Reward: Exile up to 2 cards from your hand or discard pile.	5	Fighter.	0	core_set
g14	Princess Leia	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-PrincessLeia.png	card	Unit	2	6	Rebel		2	6	Purchase a Rebel card from the galaxy row for free. If the Force is with you, place that card on top of your deck.	1	2	Reward: Gain 3 [resource] and 3 [force].	9	Officer.	1	core_set
g15	Millennium Falcon	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-MillenniumFalcon.png	card	Unit	5	7	Rebel			7	Add a unique ([unique]) unit from your discard pile to your hand.	1	2	Reward: Purchase a card of your faction for free.	7	Transport.	1	core_set
g16	Luke Skywalker	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-LukeSkywalker.png	card	Unit	6	8	Rebel	I am a Jedi, like my father before me.	2	8	If the Force is with you, destroy a capital ship your opponent has in play.	1		Reward: Gain 4 [resource] and 4 [force].	8	Jedi.	1	core_set
g17	Tie Fighter	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-TieFighter.png	card	Unit	2	1	Empire	Fighters coming in! – Lando Calrissian		1	If you have a capital ship in play, draw 1 card.	3		Reward: Gain 1 [resource].	1	Fighter.	1	core_set
g18	Admiral Piett	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-AdmiralPiett.png	card	Unit	2	2	Empire	Intensify forward firepower!		2	While Admiral Piett is in play, each of your capital ships gains 1 [attack].	1		Reward: Gain 1 [force].	2	Officer.	1	core_set
g19	Tie Bomber	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-TieBomber.png	card	Unit	2	2	Empire	TIE bombers carry enough firepower to destroy virtually any target.		2	Discard 1 card from the galaxy row.	2		Reward: Exile 1 card from your hand or discard pile.	2	Fighter.	0	core_set
g2	Baze Malbus	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-BazeMalbus.png	card	Unit	2	2	Rebel	You don't look happy.		2	Baze Malbus gains 1 [attack] for each Rebel base in your opponent's victory pile.	1		Reward: Gain 1 [force]	2	Trooper.	1	core_set
g20	Scout Trooper	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-ScoutTrooper.png	card	Unit		2	Empire			2	Reveal the top card of the galaxy deck. If it is an Empire card, gain 1 [resource]. If it is an enemy card, discard it.	2	2	Reward: Exile a card from your hand or discard pile.	2	Trooper.	0	core_set
g21	Death Trooper	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-DeathTrooper.png	card	Unit	3	3	Empire			3	While the Force is with you, this unit gains 2 [attack].	2		Reward: Gain 2 [force].	3	Trooper.	0	core_set
g22	Tie Interceptor	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-TieInterceptor.png	card	Unit	3	3	Empire			3	Reveal the top card of the galaxy deck. If it is an Empire card, draw 1 card. If it is an enemy card, discard it.	2		Reward: Gain 3 [resource].	3	Fighter.	0	core_set
g23	Moff Jerjerrod	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-MoffJerjerrod.png	card	Unit	2	4	Empire			4	Look at the top card of the galaxy deck. If the Force is with you, you may swap that card with a card from the galaxy row.	1	2	Reward: Gain 3 [force].	4	Officer.	1	core_set
g24	General Veers	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-GeneralVeers.png	card	Unit	4	4	Empire	Target, maximum firepower!		4	If you have a Trooper or Vehicle in play, draw 1 card.	1		Reward: Gain 3 [force].	4	Officer.	1	core_set
g25	AT-ST	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-ATST.png	card	Unit	4	4	Empire	Equipped with two chin-mounted blaster cannons, the Imperial AT-ST obliterates targets at range.		4	Discard 1 card from the galaxy row.	2		Reward: Exile up to 2 cards from your hand or discard pile.	4	Vehicle.	0	core_set
g26	Landing Craft	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-LandingCraft.png	card	Unit		4	Empire			4	Choose: Gain 4 [resource], or repair 4 damage from your base.	2		Reward: Gain 4 [resource].	4	Transport.	0	core_set
g27	Director Krennic	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-DirectorKrennic.png	card	Unit	3	5	Empire	We stand here amidst my achievement, not yours!		5	Draw 1 card (2 cards instead if your base is the Death Star).	1	2	Reward: Gain 3 [resource] and 2 [force].	5	Officer.	1	core_set
g28	Boba Fett	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-BobaFett.png	card	Unit	5	5	Empire	He's no good to me dead.		5	When Boba Fett defeats a target in the galaxy row, draw 1 card.	1		Reward: Gain 3 [resource] and 2 [force].	5	Bounty Hunter.	1	core_set
g29	AT-AT	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-ATAT.png	card	Unit	6	6	Empire			6	Add a Trooper from your discard pile to your hand.	1		Reward: Purchase a card of your faction for free.	9	Vehicle.	0	core_set
g3	Snowspeeder	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-Snowspeeder.png	card	Unit	2	2	Rebel	“Watch that crossfire, boys!” – Luke Skywalker		2	Your opponent discards 1 card from their hand.	2		Reward: Exile 1 card from your hand or discard pile.		Vehicle.	0	core_set
g30	Grand Moff Tarkin	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-GrandMoffTarkin.png	card	Unit	2	6	Empire		2	6	Add an Empire card from the galaxy row to your hand. You must exile that card at the end of your turn.	1	2	Reward: Gain 3 [resource] and 3 [force].	9	Officer.	1	core_set
g31	Darth Vader	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-DarthVader.png	card	Unit	6	8	Empire	You don't know the power of the dark side.	2	8	While the Force is with you, Darth Vader gains 4 [attack].	1		Reward: Gain 4 [resource] and 4 [force].	8	Sith.	1	core_set
g32	Z-95 Headhunter	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-Z95Headhunter.png	card	Unit	2	1	Neutral	While considered outdated by modern standards, the Z-95 is still deployed by many factions across the galaxy.			If your opponent has a capital ship in play, draw 1 card.	2				Fighter.	0	core_set
g33	Jawa Scavenger	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-JawaScavenger.png	card	Unit		1	Neutral	Utinni!			Exile this unit to purchase a card from the galaxy discard pile as if it were in the galaxy row.	2	2				0	core_set
g34	Kel Dor Mystic	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-KelDorMystic.png	card	Unit		2	Neutral	Some Force users choose to live in exile to hide their special abilities.	2		Exile this unit to exile 1 card from your hand or discard pile.	2					0	core_set
g35	Rodian Gunslinger	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-RodianGunslinger.png	card	Unit	2	2	Neutral	The promise of fast credits inspires gunslingers from many species to take up bounty hunting.			This unit gains 2 [attack] while attacking a target in the galaxy row.	2				Bounty Hunter.	0	core_set
g36	Lobot	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-Lobot.png	card	Unit		3	Neutral	Lobot's cybernetic implant can interface directly with Cloud City's central network, allowing him to respond quickly to any situation.			When you play Lobot, choose: He gains 2 [attack], 2 [resource], or 2 [force] this turn.	1				Officer.	1	core_set
g37	Bossk	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-Bossk.png	card	Unit	3	3	Neutral	Trandoshans are renowned hunters. For members of Bossk’s species, the hunt is a spiritual rite of passage.			When Bossk defeats a target in the galaxy row, gain 1 [resource].	1				Bounty Hunter.	1	core_set
g38	Fang Fighter	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-FangFighter.png	card	Unit	3	3	Neutral	The Mandalorian Fang Fighter is a fast and highly maneuverable starfighter built specifically for dogfighting.			When you purchase this unit, add it to your hand (and draw 1 card if the Force is with you).	2				Fighter.	0	core_set
g39	Twi'lek Smuggler	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-TwilekSmuggler.png	card	Unit		3	Neutral	Every faction in the Outer Rim employs smugglers to help them acquire the goods they need, legal or otherwise.			Place the next card you purchase this turn on top of your deck.	2	3			Scoundrel.	0	core_set
g4	Duros Spy	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-DurosSpy.png	card	Unit		2	Rebel			2	Your opponent must choose: Either they discard 1 card from their hand, or you gain 1 [resource].	2	2	Reward: Exile 1 card from your hand or discard pile.	2	Trooper.	0	core_set
g40	Dengar	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-Dengar.png	card	Unit	4	4	Neutral	A dangerous and successful bounty hunter, Dengar demands a high price for his services.			When Dengar defeats a target in the galaxy row, gain 2 [resource].	1				Bounty Hunter.	1	core_set
g41	Quarren Mercenary	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-QuarrenMercenary.png	card	Unit	4	4	Neutral	Soldiers in the Outer Rim will work for any faction, so long as the pay is good.			When you purchase this unit, exile 1 card from your hand or discard pile (up to 2 cards instead if the Force is with you).	2				Trooper.	0	core_set
g42	HWK-290	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-HWK290.png	card	Unit		4	Neutral	The fast HWK-290 is favored by smugglers who specialize in transporting essential goods to dangerous places.			Exile this unit to repair 4 damage from your base.	2	4			Transport.	0	core_set
g43	IG-88	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-IG88.png	card	Unit	5	5	Neutral	Programmed as an independent assassin droid, IG-88 became a feared bounty hunter.			When IG-88 defeats a target in the galaxy row, exile 1 card from your hand or discard pile.	1				Bounty Hunter. Droid.	1	core_set
g44	Lando Calrissian	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-LandoCalrissian.png	card	Unit	3	6	Neutral	This deal is getting worse all the time.			Draw 1 card. If the Force is with you, your opponent discards 1 card from their hand.	1	3			Scoundrel.	1	core_set
g45	Jabba's Sail Barge	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-JabbasSailBarge.png	card	Unit	4	7	Neutral	Jabba the Hutt uses his massive sail barge to travel the Dune Sea and host parties.			Add a Bounty Hunter from your discard pile to your hand.	1	3			Vehicle.	1	core_set
g46	Jabba The Hutt	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-JabbaTheHutt.png	card	Unit	2	8	Neutral	I shall enjoy watching you die.	2		Exile 1 card from your hand to draw 1 card (2 cards instead if the Force is with you).	1	2			Scoundrel.	1	core_set
g5	Chirrut Imwe	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-ChirrutImwe.png	card	Unit		3	Rebel	I am one with the Force, and the Force is with me.		3	While the Force is with you, Chirrut Imwe gains 2 [attack].	1	2	Reward: Gain 2 [force].	3	Trooper.	1	core_set
g6	Rebel Commando	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-RebelCommando.png	card	Unit	3	3	Rebel			3	Your opponent discards 1 card from their hand (at random if the Force is with you).	2		Reward: Gain 2 [force].	3	Trooper.	3	core_set
g7	X-Wing	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-XWing.png	card	Unit	3	3	Rebel	Lock S-foils in attack position. – Red Leader		3	If the Force is with you, draw 1 card.	3		Reward: Gain 3 [resource].		Fighter.	0	core_set
g8	Chewbacca	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-Chewbacca.png	card	Unit	5	4	Rebel	Rwaarr!		4	If you have another unique (◆) unit in play, draw 1 card.	1		Reward: Gain 3 [force].	4	Scoundrel.	1	core_set
g9	Jyn Erso	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-JynErso.png	card	Unit	4	4	Rebel			4	Look at your opponent's hand. If the Force is with you, place 1 card from their hand on top of their deck.	1		Reward: Gain 3 [force].	4	Scoundrel.	1	core_set
gauntlet_dropship	Gauntlet Dropship	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-GauntletDropship.jpg	mandalorian	Unit	3	5	Mandalorian	First team, prepare to drop. – Bo-Katan		5	Reveal the top 5 cards of your deck. Add a revealed Trooper to your hand.	1	2	Exile 2 cards from your hand or discard pile.	5	Transport.	0	mandalorian
glavis_ringworld	Glavis Ringworld	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-GlavisRingworld.jpg	mandalorian	Base			Mandalorian			16	While Glavis Ringworld is your base, spend 1 fewer [resource] on the first Mandalorian card you purchase each turn.	1					1	mandalorian
grogu	Grogu	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-Grogu.jpg	mandalorian	Unit	3	5	Mandalorian	Wherever I go, he goes. —The Mandalorian	2	5	Draw 1 card (2 cards instead if you have The Mandalorian in play).	1		Gain 3 [resource] and 2 [force].	5		1	mandalorian
kalevala	Kalevala	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-Kalevala.jpg	mandalorian	Base			Mandalorian			18	When you play a Trooper, repair 1 damage from this base.	1					1	mandalorian
koska_reeves	Koska Reeves	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-KoskaReeves.jpg	mandalorian	Unit	4	4	Mandalorian			4	Koska Reeves can attack a neutral unit in the galaxy row using that unit's cost as its target value. If you defeat that unit, gain [resource] equal to its cost.	1		Gain 3 [force].	4	Trooper.	1	mandalorian
mandalore	Mandalore	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-Mandalore.jpg	mandalorian	Base			Mandalorian			10	When you reveal Mandalore, purchase a Mandalorian or neutral card from the galaxy row for free and add it to your hand.	1					1	mandalorian
mandalorian_hijacker	Mandalorian Hijacker	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-MandalorianHijacker.jpg	mandalorian	Unit	4	4	Mandalorian			4	This unit can attack a capital ship in the galaxy row. If you destroy it, exile this unit to purchase that ship for free and add it to your hand.	1		Gain 3 [force].	4	Trooper.	0	mandalorian
mandalorian_hunter	Mandalorian Hunter	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-MandalorianHunter.jpg	mandalorian	Unit	3	3	Mandalorian			3	If the Force is with you, move the Force marker to the neutral space. This unit gains 1 [attack] for each space the Force marker moved this way.	1		Gain 2 [force].	3	Bounty Hunter.	0	mandalorian
mandalorian_shuttle	Mandalorian Shuttle	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-MandalorianShuttle.jpg	mandalorian	Unit		0	Mandalorian	The Mandalorian Kom'rk-class transport sports a rotating-wing design that enables vertical take-off and landing.				1	1			Transport.	0	mandalorian
mandalorian_soldier	Mandalorian Soldier	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-MandalorianSoldier.jpg	mandalorian	Unit	2	0	Mandalorian				Mandalorian shock troops descend upon their enemies wearing jetpacks and beskar armor.	1				Trooper.	0	mandalorian
ncs1	C-ROC Cruiser	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-CROCCruiser.png	card	CapitalShip		3	Neutral	The C-ROC is a modified Gozanti-class cruiser used to transport goods across the Outer Rim.		3	Discard 1 card from your hand to repair 3 damage from your base.	2	1				0	core_set
ncs2	Blockade Runner	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-BlockadeRunner.png	card	CapitalShip	1	4	Neutral			4	Though designed as a diplomatic courier ship, the Corellian CR90 corvette is often used to run planetary blockades.	3	1				0	core_set
ncs3	Nebulon-B Frigate	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-NebulonBFrigate.png	card	CapitalShip		5	Neutral	They're heading for the medical frigate. - Wedge Antilles		5	Choose: Repair 3 damage from your base, or gain 3 [resource].	2					0	core_set
nevarro	Nevarro	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-Nevarro.jpg	mandalorian	Base						14	When you defeat a non-Permanent target in the galaxy row, draw 1 card.	1				Bounty Hunters Guild.	1	mandalorian
orp1	Outer Rim Pilot	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-OuterRimPilot.png	card	Unit		2	Neutral	Most of the best freighter pilots are to be found here. – Obi-Wan Kenobi			Exile this unit to gain 1 [force].	10	2				0	core_set
paz_vizsla	Paz Vizsla	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-PazVizsla.jpg	mandalorian	Unit	2	2	Mandalorian	Get out of here! We'll hold 'em off!		2	Spend up to 3 [resource]. Paz Vizsla gains 1 [attack] for each [resource] spent this way.	1		Gain 1 [force].	2	Trooper.	1	mandalorian
protectorate_fighter	Protectorate Fighter	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-ProtectorateFighter.jpg	mandalorian	Unit	4	4	Mandalorian			4	When you purchase this unit, add it to your hand (and draw 1 card if the Force marker is on the neutral space).	1		Gain 4 [resource].	4	Fighter.	0	mandalorian
quick_reference_1	Quick Reference 1	star-wars-deckbuilding-game/other/StarWarsDeckbuildingGame-Other-QuickReference1.jpg	card	Rules								1					0	other
quick_reference_2	Quick Reference 2	star-wars-deckbuilding-game/other/StarWarsDeckbuildingGame-Other-QuickReference2.jpg	card	Rules								1					0	other
razorcrest	Razor Crest	star-wars-deckbuilding-game/mandalorian/StarWarsDeckbuildingGame-Mandalorian-RazorCrest.jpg	mandalorian	Unit	4	7	Mandalorian			7	Add the next Bounty Hunter or Trooper you purchase this turn to your hand.	1	3	Purchase a card of your faction for free.	7	Transport.	1	mandalorian
rb1	Dantooine	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-Dantooine.png	rebelBase	Base			Rebel			8	Start the game with this base in play.	1				Rebel Outpost	1	core_set
rb10	Yavin 4	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-Yavin4.png	rebelBase	Base			Rebel			16	When your opponent discards a card from their hand during your turn, deal 2 damage to their base.	1				Hidden Operations.	1	core_set
rb2	Mon Cala	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-MonCala.png	rebelBase	Base			Rebel			10	When you reveal Mon Cala, purchase a Rebel or neutral card from the galaxy row for free and add it to your hand.	1				Industrial Strength	1	core_set
rb3	Dagobah	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-Dagobah.png	rebelBase	Base			Rebel			12	When you reveal Dagobah, exile up to 3 cards from your hand or discard pile.	1				Jedi Training.	1	core_set
rb4	Bespin	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-Bespin.png	rebelBase	Base			Rebel			14	When you play a neutral card for the first time each turn, draw 1 card.	1				Cloud City	1	core_set
rb5	Alderaan	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-Alderaan.png	rebelBase	Base			Rebel			14	When you reveal Alderaan, gain 4 [resource].	1				Royal Influence.	1	core_set
rb6	Hoth	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-Hoth.png	rebelBase	Base			Rebel			14	While Hoth is your base, prevent the first 2 damage dealt to Hoth each turn.	1				Planetary Shield.	1	core_set
rb7	Jedha	star-wars-deckbuilding-game/core-set/StarWarsDeckbuildingGame-CoreSet-Jedha.png	rebelBase	Base			Rebel			14	While Jedha is your base, add the first neutral card you purchase each turn to your hand. You must exile that card at the end of your turn.	1				Rebel Extremists	1	core_set
