databaseId	name	imageUrl	cardBack	type	category	set	officialSet	brigade	strength	toughness	class	identifier	rarity	reference	alignment	legality	text	loadGroupId
Main__Brass_Serpent_(UL)	Brass Serpent (L)	redemption/main/Redemption-Main-BrassSerpentL.jpg	default	Good Enhancement	Good Enhancement	Main	Main	Gold					Rare	Numbers 21:8	Good		Renders all poisons harmless.	playerNDeck
Pmo-P1__Brass_Serpent_(Promo)	Brass Serpent (Promo)	redemption/pmo-p1/Redemption-PmoP1-BrassSerpentPromo.jpg	default	Good Enhancement	Good Enhancement	Pmo-P1	Promo	Multi					Promo	Old Testament	Good		Discard all poisons and diseases in play.  Heal all Heroes not at full strength.	playerNDeck
Main UL__Brass_Serpent_(UL)	Brass Serpent (UL)	redemption/main-ul/Redemption-MainUL-BrassSerpentUL.jpg	default	Good Enhancement	Good Enhancement	Main UL	Main Unlimited	Gold					Rare	Numbers 21:8	Good		Renders all poisons harmless.	playerNDeck
K1P__K33-1P-Bravery-of-David	Bravery of David (1st Print - K)	redemption/k1p/Redemption-K1P-BraveryOfDavid1stPrintK.jpg	default	Good Enhancement	Good Enhancement	K1P	K Starter (1st Print)	Purple	7	0	Territory		Starter	I Samuel 17:45	Good	Rotation	You may take a good I Samuel Enhancement from deck or Reserve.	playerNDeck
Main__Bravery_of_David_(UL)	Bravery of David (L)	redemption/main/Redemption-Main-BraveryOfDavidL.jpg	default	Good Enhancement	Good Enhancement	Main	Main	Red	2	2			Common	I Samuel 17:45-46	Good			playerNDeck
RoA__Bravery_of_David_(RA2)	Bravery of David (RoA)	redemption/roa/Redemption-RoA-BraveryOfDavidRoA.jpg	default	Good Enhancement	Good Enhancement	RoA	Rock of Ages	Red					Fixed	I Samuel 17:45	Good		Negate an evil card. If the only Hero in battle is warrior class, you may discard an Evil Character. Cannot be negated if David is in play.	playerNDeck
Main UL__Bravery_of_David_(UL)	Bravery of David (UL)	redemption/main-ul/Redemption-MainUL-BraveryOfDavidUL.jpg	default	Good Enhancement	Good Enhancement	Main UL	Main Unlimited	Red	2	2			Common	I Samuel 17:45-46	Good			playerNDeck
K__K33-Bravery-of-David	Bravery of David [K]	redemption/k/Redemption-K-BraveryOfDavidK.jpg	default	Good Enhancement	Good Enhancement	K	K Starter	Purple	7	0	Territory		Starter	I Samuel 17:45	Good	Rotation	You may topdeck a good I Samuel Enhancement from deck or Reserve.	playerNDeck
TEC__Bravery_of_Priscilla_(EC)	Bravery of Priscilla (EC)	redemption/tec/Redemption-TEC-BraveryOfPriscillaEC.jpg	default	Good Enhancement	Good Enhancement	TEC	Early Church	Clay	2	1			Common	Romans 16:3-4	Good	Rotation	Interrupt the battle and protect all Heroes from evil and neutral cards. Cannot be negated if used by Priscilla or Aquila.	playerNDeck
10A__Bravery_of_Priscilla_(Wo)	Bravery of Priscilla (H)	redemption/10a/Redemption-10A-BraveryOfPriscillaH.jpg	default	Good Enhancement	Good Enhancement	10A	10th Anniversary	White	2	1			Deck	Romans 16:3-4	Good		Interrupt the battle and protect all heroes not in battle from all evil enhancements this turn.	playerNDeck
Wom__Bravery_of_Priscilla_(Wo)	Bravery of Priscilla (Wo)	redemption/wom/Redemption-Wom-BraveryOfPriscillaWo.jpg	default	Good Enhancement	Good Enhancement	Wom	Women	White	2	1			Common	Romans 16:3-4	Good		Interrupt the battle and protect all heroes not in battle from all evil enhancements this turn.	playerNDeck
Main__Bread_of_Life_(UL)	Bread of Life (L)	redemption/main/Redemption-Main-BreadOfLifeL.jpg	default	Good Enhancement	Good Enhancement	Main	Main	Green					Rare	John 6:35	Good		Heal a Hero from the Green Brigade that is about to be discarded and increase 2/2.	playerNDeck
Main UL__Bread_of_Life_(UL)	Bread of Life (UL)	redemption/main-ul/Redemption-MainUL-BreadOfLifeUL.jpg	default	Good Enhancement	Good Enhancement	Main UL	Main Unlimited	Green					Rare	John 6:35	Good		Heal a Hero from the Green Brigade that is about to be discarded and increase 2/2.	playerNDeck
Ki__Break_Down_the_Wall_of_Gath_(Ki)	Break Down the Wall of Gath	redemption/ki/Redemption-Ki-BreakDownTheWallOfGath.jpg	default	Good Enhancement	Good Enhancement	Ki	Kings	Purple	4	0			Common	II Chronicles 26:6	Good		Discard a single color Lost Soul Site and all evil cards guarding it.  Lost Soul(s) remains in play.	playerNDeck
Ki__Breaking_Jerusalem's_Wall_(Ki)	Breaking Jerusalem's Wall (Ki)	redemption/ki/Redemption-Ki-BreakingJerusalemsWallKi.jpg	default	Evil Enhancement	Evil Enhancement	Ki	Kings	Black	6	0			Common	II Kings 14:13	Evil		If used by a King of Israel, discard one Wall of Protection or Jerusalem Tower.	playerNDeck
RoA__Breaking_Jerusalems_Wall_(RA2)	Breaking Jerusalem's Wall (RoA)	redemption/roa/Redemption-RoA-BreakingJerusalemsWallRoA.jpg	default	Evil Enhancement	Evil Enhancement	RoA	Rock of Ages	Brown	6	0			Fixed	II Kings 14:13	Evil		If used by a King of Israel, negate and discard a Fortress or single color Site to take a Temple Artifact or capture a Hero. Cannot be prevented.	playerNDeck
Pri__Breaking_the_Covenant_(Pi)	Breaking the Covenant	redemption/pri/Redemption-Pri-BreakingTheCovenant.jpg	default	Evil Enhancement	Evil Enhancement	Pri	Priests	Black					Common	Ezekiel 16:59	Evil		Place in a player's territory.  Negate Altar of Incense and all Covenants used by that player while this card remains in play.	playerNDeck
Ki__Breaking_Through_(Ki)	Breaking Through	redemption/ki/Redemption-Ki-BreakingThrough.jpg	default	Evil Enhancement	Evil Enhancement	Ki	Kings	Crimson	6	0			Ultra Rare	II Kings 25:4	Evil		If Nebuchadnezzar is in play, discard one Wall of Protection or Jerusalem Tower.	playerNDeck
TPC__Breastplate_of_Righteousness_(PC)	Breastplate of Righteousness	redemption/tpc/Redemption-TPC-BreastplateOfRighteousness.jpg	default	Good Enhancement	Good Enhancement	TPC	Persecuted Church	Clay/Red/White			Territory	Armor of God, X = # of your Armor of God Enhancements	Rare	Ephesians 6:14	Good	Rotation	Place on your clay, red or white N.T. Hero: Protect Hero from brown and gray. If Hero enters battle, select X evil brigades. Negate Evil Characters of selected brigades.	playerNDeck
1E__Breastplate_of_Righteousness_(BU)	Breastplate of Righteousness (B)	redemption/1e/Redemption-1E-BreastplateOfRighteousnessB.jpg	default	Good Enhancement	Good Enhancement	1E	1st Edition	Multi	0	4			Deck	Ephesians 6:14	Good			playerNDeck
Ki__Breastplate_of_Righteousness_(Ki)	Breastplate of Righteousness (Ki)	redemption/ki/Redemption-Ki-BreastplateOfRighteousnessKi.jpg	default	Good Enhancement	Good Enhancement	Ki	Kings	Multi	3	4			Ultra Rare	Ephesians 6:14	Good		Hero is immune to crimson brigade.  Holder may play the next enhancement.	playerNDeck
1EU__Breastplate_of_Righteousness_(BU)	Breastplate of Righteousness (UL)	redemption/1eu/Redemption-1EU-BreastplateOfRighteousnessUL.jpg	default	Good Enhancement	Good Enhancement	1EU	1st Edition Unlimited	Multi	0	4			Deck	Ephesians 6:14	Good			playerNDeck
War__Breastjplate_of_Righteousnes_(Wa)	Breastplate of Righteousness (Wa)	redemption/war/Redemption-War-BreastplateOfRighteousnessWa.jpg	default	Good Enhancement	Good Enhancement	War	Warriors	Multi	3	4			Ultra Rare	Ephesians 6:14	Good		Hero is immune to Crimson Brigade.	playerNDeck
FoOF__Bringing_Fear_(FF)	Bringing Fear	redemption/foof/Redemption-FoOF-BringingFear.jpg	default	Evil Enhancement	Evil Enhancement	FoOF	Faith of Our Fathers	Black	3	3			Fixed	I Samuel 17:11	Evil		If used by a Philistine, negate all special abilities on characters and good Enhancements. Cannot be negated.	playerNDeck
LoC__LR44-Bringing-Fear	Bringing Fear (LoC)	redemption/loc/Redemption-LoC-BringingFearLoC.jpg	default	Evil Enhancement	Evil Enhancement	LoC	Lineage of Christ	Black	3	3			Legacy Rare	I Samuel 17:11	Evil	Rotation	If used by a Philistine, negate characters and good Enhancements. Cannot be negated.	playerNDeck
LoC__LoC_216-Bringing-Grief-R	Bringing Grief (LoC)	redemption/loc/Redemption-LoC-BringingGriefLoC.jpg	default	Evil Enhancement	Evil Enhancement	LoC	Lineage of Christ	Black/Crimson	2	3			Rare	Genesis 26:34	Evil	Rotation	Discard a card from a hand, a territory, an Artifact pile or a Reserve.	playerNDeck
RoA__Broken_Cisterns_(RA)	Broken Cisterns	redemption/roa/Redemption-RoA-BrokenCisterns.jpg	default	Evil Enhancement	Evil Enhancement	RoA	Rock of Ages	Brown				X = number of good brigades in this territory	Fixed	Jeremiah 2:13	Evil		Place in an opponent's territory. Negate draw abilities used by that player. All Heroes in that territory are decreased by 0/X.	playerNDeck
CoW__Broken_Covenant_(CoW)	Broken Covenant	redemption/cow/Redemption-CoW-BrokenCovenant.jpg	default	Curse	Curse	CoW	Cloud of Witnesses	Brown/Gold	1	5		X = # of an opponent's good brigades	Ultra Rare	Hebrews 8:9  (Jeremiah 31:32)	Evil	Rotation	On activation, you may discard an evil card from hand or a random card from deck. If you do, discard a Covenant or a good Enhancement, or draw X (limit 3).	playerNDeck
CoW (AB)__CoW_AB_N11-Broken-Covenant-UR	Broken Covenant (CoW AB)	redemption/cow-ab/Redemption-CoWAB-BrokenCovenantCoWAB.jpg	default	Curse	Curse	CoW (AB)	Cloud of Witnesses (Alternate Border)	Brown/Gold	1	5		X = # of an opponent’s good brigades	Ultra Rare	Hebrews 8:9 (Jeremiah 31:32)	Evil	Rotation	On activation, you may discard an evil card from hand or a random card from deck. If you do, discard a Covenant or a good Enhancement, or draw X (limit 3).	playerNDeck
Pri__Bronze_Cymbals_(Pi)	Bronze Cymbals	redemption/pri/Redemption-Pri-BronzeCymbals.jpg	default	Good Enhancement	Good Enhancement	Pri	Priests	White	3	1		Involves Music	Common	I Chronicles 15:19	Good		Prevent the special ability of the next evil Enhancement played this battle.	playerNDeck
FoM__100-Brothers-Conflict	Brother's Conflict	redemption/fom/Redemption-FoM-BrothersConflict.jpg	default	Good/Evil Enhancement	Good/Evil Enhancement	FoM	Fall of Man	White/Brown	X	1		X = # of evil brigades in play	Common	Judges 20:14	Neutral	Rotation	GE: Begin a side battle between 2 Evil Characters. EE: Begin a side battle between 2 Heroes.	playerNDeck
Pat__Brothers_Reunion_(Pa)	Brother's Reunion	redemption/pat/Redemption-Pat-BrothersReunion.jpg	default	Good Enhancement	Good Enhancement	Pat	Patriarchs	White	2	5			Uncommon	Genesis 45:16	Good		Hero is immune to gold brigade.  Search draw pile for Goshen and put in play.	playerNDeck
LoC__LoC_049-Brothers-Reunited	Brothers Reunited  (LoC)	redemption/loc/Redemption-LoC-BrothersReunitedLoC.jpg	default	Good/Evil Enhancement	Good/Evil Enhancement	LoC	Lineage of Christ	Blue/Crimson	0	3			Common	Genesis 33:4	Neutral	Rotation	If opponent has played an Enhancement in battle, end the battle.	playerNDeck
Pat__Brothers'_Envy_(Pa)	Brothers' Envy	redemption/pat/Redemption-Pat-BrothersEnvy.jpg	default	Evil Enhancement	Evil Enhancement	Pat	Patriarchs	Brown	0	3			Common	Genesis 37:8	Evil		Negate and discard all Coat of Many Colors in play including any on Joseph.  If an unoccupied Pit of Dothan is in play, capture Joseph and place there.	playerNDeck
FoM__044-Brothers-Envy	Brothers' Envy (FoM)	redemption/fom/Redemption-FoM-BrothersEnvyFoM.jpg	default	Evil Enhancement	Evil Enhancement	FoM	Fall of Man	Brown					Common	Genesis 37:8	Evil	Rotation	Set aside a male Hero for 3 turns. If Pit of Dothan is in play, you may capture a male Hero regardless of protect abilities instead.	playerNDeck
IR__049-Brought-to-Egypt	Brought to Egypt	redemption/ir/Redemption-IR-BroughtToEgypt.jpg	default	Good Enhancement	Good Enhancement	IR	Israel's Rebellion	Blue	3	3			Common	Genesis 46:7	Good	Rotation	Interrupt the battle. You may take a son of Jacob from Reserve. Hero may band to up to 3 sons of Jacob.	playerNDeck
Main__Buckler_(UL)	Buckler (L)	redemption/main/Redemption-Main-BucklerL.jpg	default	Good Enhancement	Good Enhancement	Main	Main	Red	0	2			Common	I Chronicles 5:18	Good			playerNDeck
Pri__Buckler_(Pi)	Buckler (Pi)	redemption/pri/Redemption-Pri-BucklerPi.jpg	default	Good Enhancement	Good Enhancement	Pri	Priests	Red	0	5	Weapon		Common	I Chronicles 5:18	Good		Any time a Hero holding this card is about to be discarded in battle, you may interrupt the battle and discard this card to return that Hero to owner's hand.	playerNDeck
RR__001-Buckler	Buckler (Roots)	redemption/rr/Redemption-RR-BucklerRoots.jpg	default	Dominant	Dominant	RR	Roots							Jeremiah 46:3	Good	Rotation	Take a good warrior or weapon from deck. Protect equipped Heroes from evil cards this turn.	playerNDeck
Main UL__Buckler_(UL)	Buckler (UL)	redemption/main-ul/Redemption-MainUL-BucklerUL.jpg	default	Good Enhancement	Good Enhancement	Main UL	Main Unlimited	Red	0	2			Common	I Chronicles 5:18	Good			playerNDeck
War__Buckler_(Wa)	Buckler (Wa)	redemption/war/Redemption-War-BucklerWa.jpg	default	Good Enhancement	Good Enhancement	War	Warriors	Red	3	2			Common	I Chronicles 5:18	Good		Worth 6/4 against any Evil Character who fought in an earthly battle.	playerNDeck
LoC__LoC_131-Builders-Spear	Builder’s Spear (LoC)	redemption/loc/Redemption-LoC-BuildersSpearLoC.jpg	default	Good Enhancement	Good Enhancement	LoC	Lineage of Christ	Gold/Red	5	0	Weapon		Common	Nehemiah 4:16	Good	Rotation	Protect Heroes in territory and Lost Souls from evil cards. You may increase your meek Hero 3/3.	playerNDeck
LoC__LoC_132-Builders-Sword	Builder’s Sword (LoC)	redemption/loc/Redemption-LoC-BuildersSwordLoC.jpg	default	Good Enhancement	Good Enhancement	LoC	Lineage of Christ	Gold/Red	3	2	Weapon		Common	Nehemiah 4:16	Good	Rotation	Negate an evil card or bounce an Evil Character. You may increase your meek Hero 3/3.	playerNDeck
Pri__Building_Egypt_(Pi)	Building Egypt	redemption/pri/Redemption-Pri-BuildingEgypt.jpg	default	Evil Enhancement	Evil Enhancement	Pri	Priests	Gold					Common	Exodus 1:11	Evil		For each Lost Soul in your territory that is not in a Site, search draw pile for an Egyptian Site and put it in play.  Put a Lost Soul in each of those Sites.  Cannot be interrupted.	playerNDeck
Pri__Built_on_Sand_(Pi)	Built on Sand	redemption/pri/Redemption-Pri-BuiltOnSand.jpg	default	Evil Enhancement	Evil Enhancement	Pri	Priests	Orange					Common	Matthew 7:26	Evil		Place on a Hero.  While that Hero is in battle, orange brigade Enhancements cannot be negated.	playerNDeck
Pri__Built_on_the_Rock_(Pi)	Built on the Rock	redemption/pri/Redemption-Pri-BuiltOnTheRock.jpg	default	Good Enhancement	Good Enhancement	Pri	Priests	Gold					Common	Matthew 7:25	Good		Set a human Hero aside for three turns.  Hero gains the ability 'Protect Hero from capture, conversion, and removal from the game.'	playerNDeck
1EU__Burial_(B)	Burial (B)	redemption/1eu/Redemption-1EU-BurialB.jpg	default	Dominant	Dominant	1EU	1st Edition Unlimited						Deck	Matthew 27:7	Evil		Discard any Lost Soul in play.	playerNDeck
2E__Burial_(D)	Burial (D)	redemption/2e/Redemption-2E-BurialD.jpg	default	Dominant	Dominant	2E	2nd Edition						Deck	Matthew 27:7	Evil		Discard any Lost Soul in play.	playerNDeck
3E__Burial_(F)	Burial (F)	redemption/3e/Redemption-3E-BurialF.jpg	default	Dominant	Dominant	3E	3rd Edition						Deck	Matthew 27:7	Evil		Discard any Lost Soul in play.	playerNDeck
10A__Burial_(G)	Burial (G)	redemption/10a/Redemption-10A-BurialG.jpg	default	Dominant	Dominant	10A	10th Anniversary						Deck	Matthew 27:7	Evil		Discard any Lost Soul in play.	playerNDeck
GoC__006-Burial-R	Burial (GoC)	redemption/goc/Redemption-GoC-BurialGoC.jpg	default	Dominant	Dominant	GoC	Gospel of Christ						Rare	John 19:40	Evil	Rotation	Discard any Lost Soul in play.aUnderdeck a Lost Soul (or any number of meek Lost Souls). If an opponent has played a good Dominant this turn, you may underdeck a Lost Soul.	playerNDeck
Pmo-P1__Burial_(Promo)	Burial (Promo)	redemption/pmo-p1/Redemption-PmoP1-BurialPromo.jpg	default	Dominant	Dominant	Pmo-P1	Promo						Promo	Matthew 27:7	Evil		Discard any Lost Soul in play.	playerNDeck
Ap__Burial_Shroud_(Ap)	Burial Shroud	redemption/ap/Redemption-Ap-BurialShroud.jpg	default	Artifact	Artifact	Ap	Apostles						Ultra Rare	Matthew 20:4-5	Neutral		Holder may not make a rescue attempt or be attacked.  May be used twice.	playerNDeck
GoC__007-Burial-Shroud-R	Burial Shroud (GoC)	redemption/goc/Redemption-GoC-BurialShroudGoC.jpg	default	Artifact	Artifact	GoC	Gospel of Christ						Rare	John 20:4-5	Neutral	Rotation	If your N.T. human Hero is removed from battle by an opponent’s special ability, you may discard this card to add a Hero from discard pile or Reserve to battle.	playerNDeck
Pat__Burning_Bush_(Pa)	Burning Bush	redemption/pat/Redemption-Pat-BurningBush.jpg	default	Good Enhancement	Good Enhancement	Pat	Patriarchs	White	1	1			Uncommon	Exodus 3:2	Good		All evil enhancements currently in battle are negated and discarded.	playerNDeck
L1P__L34-1P-Burning-Bush	Burning Bush (1st Print - L)	redemption/l1p/Redemption-L1P-BurningBush1stPrintL.jpg	default	Good Enhancement	Good Enhancement	L1P	L Starter (1st Print)	White	5	2			Starter	Exodus 3:2	Good	Rotation	Negate an evil Enhancement. Discard all evil Enhancements in battle.	playerNDeck
L__L34-Burning-Bush	Burning Bush [L]	redemption/l/Redemption-L-BurningBushL.jpg	default	Good Enhancement	Good Enhancement	L	L Starter	White	5	2			Starter	Exodus 3:2	Good	Rotation	Negate an evil Enhancement. Discard all evil Enhancements in battle.	playerNDeck
2E__Burning_Censor_(CU)	Burning Censer ( C)	redemption/2e/Redemption-2E-BurningCenserC.jpg	default	Good Enhancement	Good Enhancement	2E	2nd Edition	Red	2	2			Deck	Revelation 8:5	Good		All Evil Characters in play decrease 4/4 until end of battle.	playerNDeck
FoOF__Burning_Censor_(FF)	Burning Censer (FooF)	redemption/foof/Redemption-FoOF-BurningCenserFooF.jpg	default	Good Enhancement	Good Enhancement	FoOF	Faith of Our Fathers	Red/Silver	2	2			Fixed	Revelation 8:5	Good		Decrease all Evil Characters by 4/4. If an angel and a human Hero are in your territory, discard an evil Fortress in play.	playerNDeck
RR__118-Burning-Censer	Burning Censer (Roots)	redemption/rr/Redemption-RR-BurningCenserRoots.jpg	default	Good Enhancement	Good Enhancement	RR	Roots	Silver	5	2		Based on Prophecy		Revelation 8:5	Good	Rotation	Negate and discard an Artifact, an evil Enhancement or an evil Fortress.	playerNDeck
IR__028-Burning-Fire-R	Burning Fire	redemption/ir/Redemption-IR-BurningFire.jpg	default	Good/Evil Enhancement	Good/Evil Enhancement	IR	Israel's Rebellion	Silver/Gray	5 (0)	0 (5)			Rare	Leviticus 10:1-2	Neutral	Rotation	GE: Discard all evil cards in battle. / EE: Discard your evil O.T. priest to protect Lost Souls from rescue.	playerNDeck
Pri__Burning_Incense_(Pi)	Burning Incense	redemption/pri/Redemption-Pri-BurningIncense.jpg	default	Good Enhancement	Good Enhancement	Pri	Priests	Teal	1	1			Common	Luke 1:9	Good		All Heroes ignore an evil brigade of holder's choice.  Cannot be negated if Altar of Incense is active.	playerNDeck
L1P__L23-1P-Burning-Incense	Burning Incense (1st Print - L)	redemption/l1p/Redemption-L1P-BurningIncense1stPrintL.jpg	default	Good Enhancement	Good Enhancement	L1P	L Starter (1st Print)	Clay	1	2			Starter	Exodus 30:35	Good	Rotation	Shuffle all Evil Characters in battle.	playerNDeck
L__L23-Burning-Incense	Burning Incense [L]	redemption/l/Redemption-L-BurningIncenseL.jpg	default	Good Enhancement	Good Enhancement	L	L Starter	Clay	1	2			Starter	Exodus 30:35	Good	Rotation	Shuffle all Evil Characters in battle.	playerNDeck
Ap__Burning_of_Magic_Books_(Ap)	Burning of Magic Books	redemption/ap/Redemption-Ap-BurningOfMagicBooks.jpg	default	Good Enhancement	Good Enhancement	Ap	Apostles	White	1	1			Common	Acts 19:19	Good		All Evil Characters who are magicians or sorcerers decrease by half until discarded.	playerNDeck
TEC__Burning_of_Magic_Books_(EC)	Burning of Magic Books (EC)	redemption/tec/Redemption-TEC-BurningOfMagicBooksEC.jpg	default	Good Enhancement	Good Enhancement	TEC	Early Church	Clay	5	0			Rare	Acts 19:19	Good	Rotation	Negate Evil Characters. Decrease all Magicins and demons by 12/12. Cannot be preventd if used by a Missionary or Ephesus Hero.	playerNDeck
10A__Burning_up_the_Chaff_(H)	Burning up the Chaff	redemption/10a/Redemption-10A-BurningUpTheChaff.jpg	default	Good Enhancement	Good Enhancement	10A	10th Anniversary	Multi	2	5			Deck	Matthew 3:12	Good		Remove all cards except lost soul cards in one opponent's discard pile from the game.	playerNDeck
GoC__135-Burning-up-the-Chaff-R	Burning up the Chaff (GoC)	redemption/goc/Redemption-GoC-BurningUpTheChaffGoC.jpg	default	Good Enhancement	Good Enhancement	GoC	Gospel of Christ	Silver	3	2	Territory, Star	Gospel	Rare	Matthew 3:12	Good	Rotation	STAR: Discard an evil card in a territory. / GE: Discard all Evil Characters in battle. You may banish all evil cards from all discard piles.	playerNDeck
Pri__Burnt_Offering_(Pi)	Burnt Offering	redemption/pri/Redemption-Pri-BurntOffering.jpg	default	Good Enhancement	Good Enhancement	Pri	Priests	Teal	2	5		Offering	Common	Leviticus 1:3	Good		Discard all evil Enhancements in play.	playerNDeck
IR__058-Burnt-Offering	Burnt Offering [IR]	redemption/ir/Redemption-IR-BurntOfferingIR.jpg	default	Good Enhancement	Good Enhancement	IR	Israel's Rebellion	Clay	5	0			Common	Leviticus 1:3	Good	Rotation	Underdeck all Evil Characters in battle. You may take an O.T. clay Enhancement from deck or Reserve.	playerNDeck
AW__Burst_of_Light_(AW)	Burst of Light	redemption/aw/Redemption-AW-BurstOfLight.jpg	default	Good Enhancement	Good Enhancement	AW	Angel Wars	Silver	2	1			Rare	Acts 12:7	Good		Shuffle one 'The Darkness' fortress and its contents into owner's draw pile.	playerNDeck
3E__Busybody_(E)	Busybody	redemption/3e/Redemption-3E-Busybody.jpg	default	Evil Enhancement	Evil Enhancement	3E	3rd Edition	Crimson	0	6			Deck	I Timothy 5:13	Evil			playerNDeck
FoOF__Buying_Grain_(FF)	Buying Grain	redemption/foof/Redemption-FoOF-BuyingGrain.jpg	default	Good Enhancement	Good Enhancement	FoOF	Faith of Our Fathers	Blue	4	3			Fixed	Genesis 42:25	Good		Opponent must discard an evil card from hand. If used by a son of Jacob, you may draw two cards.	playerNDeck
PoC__114-By-His-Wounds	By His Wounds	redemption/poc/Redemption-PoC-ByHisWounds.jpg	default	Good Enhancement	Good Enhancement	PoC	Prophecies of Christ	Green/Teal/White	4	0	Territory, Star	Involves music	Common	Isaiah 53:5	Good	Rotation	STAR: Banish all evil cards in a discard pile. GE: Heal a human Hero or negate and banish an evil Enhancement.	playerNDeck
LoC__LoC_133-By-My-Spirit	By My Spirit (LoC)	redemption/loc/Redemption-LoC-ByMySpiritLoC.jpg	default	Good Enhancement	Good Enhancement	LoC	Lineage of Christ	Gold/Red	7	0			Common	Zechariah 4:6	Good	Rotation	Negate an evil or neutral card. If used by a postexilic Hero, discard that card unless it is human. Cannot be negated if used by a meek Hero.	playerNDeck
Di__Caesarea_Philippi_(Di)	Caesarea Philippi	redemption/di/Redemption-Di-CaesareaPhilippi.jpg	default	Site	Site	Di	Disciples	Red					Fixed	Matthew 16:13	Neutral		Protect N.T. human Evil Character Characters in your territory from capture and discard abilities on opponents' cards. Protect N.T. Sites in your territory from opponents' cards.	playerNDeck
Main__Cage_(UL)	Cage (L)	redemption/main/Redemption-Main-CageL.jpg	default	Evil Enhancement	Evil Enhancement	Main	Main	Brown					Rare	Jeremiah 5:27	Evil		Return any Hero to owner's hand.	playerNDeck
RR__170-Cage	Cage (Roots)	redemption/rr/Redemption-RR-CageRoots.jpg	default	Evil Enhancement	Evil Enhancement	RR	Roots	Brown	1	5	Territory			Jeremiah 5:27	Evil	Rotation	Negate a good card in battle. Bounce a character.	playerNDeck
Main UL__Cage_(UL)	Cage (UL)	redemption/main-ul/Redemption-MainUL-CageUL.jpg	default	Evil Enhancement	Evil Enhancement	Main UL	Main Unlimited	Brown					Rare	Jeremiah 5:27	Evil		Return any Hero to owner's hand.	playerNDeck
GoC__177-Caiaphas-R	Caiaphas the Conspirator (GoC)	redemption/goc/Redemption-GoC-CaiaphasTheConspiratorGoC.jpg	default	Evil Character	Evil Character	GoC	Gospel of Christ	Black	9	8		High Priest, Prophet, Sadducee	Rare	John 18:14	Evil	Rotation	Evil N.T. Enhancements used by this card are regardless of protect abilities. While blocking alone and you control a meek Lost Soul, restrict good Dominants. May band to a Pharisee or Sadducee.	playerNDeck
Pat__Cain_(Pa)	Cain	redemption/pat/Redemption-Pat-Cain.jpg	default	Evil Character	Evil Character	Pat	Patriarchs	Black	4	5			Uncommon	Genesis 4:15	Evil		If Cain is defeated in battle, discard any Hero in a territory.	playerNDeck
CoW (AB)__CoW_AB_N124-Cain-R	Cain (CoW AB)	redemption/cow-ab/Redemption-CoWAB-CainCoWAB.jpg	default	Evil Character	Evil Character	CoW (AB)	Cloud of Witnesses (Alternate Border)	Pale Green	4	5	Territory	Antediluvian	Rare	Genesis 4:15	Evil	Rotation	If Cain is targeted by an opponent’s special ability, that player must discard a card from hand or battle.	playerNDeck
CoW__Cain_(CoW)	Cain (CoW)	redemption/cow/Redemption-CoW-CainCoW.jpg	default	Evil Character	Evil Character	CoW	Cloud of Witnesses	Pale Green	4	5	Territory	Antediluvian	Rare	Genesis 4:15	Evil	Rotation	If Cain is targeted by an opponent's special ability, that player must discard a card from hand or battle.	playerNDeck
CoW__Cain_Murders_Abel_(CoW)	Cain Murders Abel	redemption/cow/Redemption-CoW-CainMurdersAbel.jpg	default	Evil Enhancement	Evil Enhancement	CoW	Cloud of Witnesses	Pale Green	2	2	Territory		Common	Genesis 4:8	Evil	Rotation	If used by an antediluvian or if played during battle, discard a Hero. Cannot be negated if used by Cain.	playerNDeck
CoW (AB)__CoW_AB_N128-Cain-Murders-Abel	Cain Murders Abel (CoW AB)	redemption/cow-ab/Redemption-CoWAB-CainMurdersAbelCoWAB.jpg	default	Evil Enhancement	Evil Enhancement	CoW (AB)	Cloud of Witnesses (Alternate Border)	Pale Green	2	2	Territory		Common	Genesis 4:8	Evil	Rotation	If used by an antediluvian or if played during battle, discard a Hero. Cannot be negated if used by Cain.	playerNDeck
FoM__083-Caleb-R	Caleb (FoM)	redemption/fom/Redemption-FoM-CalebFoM.jpg	default	Hero	Hero	FoM	Fall of Man	Red	8	5	Warrior	Giant Slayer	Rare	Joshua 14:14	Good	Rotation	You may underdeck an evil giant. Take a City and play it. If alone, Caleb may band to an O.T. red warrior or you may take or equip a good weapon from Reserve. Cannot be interrupted.	playerNDeck
FoOF__Caleb_(FF)	Caleb (FooF)	redemption/foof/Redemption-FoOF-CalebFooF.jpg	default	Hero	Hero	FoOF	Faith of Our Fathers	Red	10	7	Warrior		Fixed	Joshua 15:14	Good		Remove an evil giant from the game. You may use opponent's unoccupied Site for access. May band to Men of Judah.	playerNDeck
Pmo-P1__Caleb_(Promo)	Caleb (Promo)	redemption/pmo-p1/Redemption-PmoP1-CalebPromo.jpg	default	Hero	Hero	Pmo-P1	Promo	Green	10	7			Promo		Good		Caleb may use any empty Lost Soul site from opponent to gain access to a Lost Soul held in a site of the same color.  May band with Joshua.  Caleb ignores Giants.	playerNDeck
FoOF__Caleb's_Sword_(FF)	Caleb's Sword	redemption/foof/Redemption-FoOF-CalebsSword.jpg	default	Good Enhancement	Good Enhancement	FoOF	Faith of Our Fathers	Red	3	2	Weapon		Fixed	Joshua 15:14	Good		You may discard an evil weapon class enhancement.	playerNDeck
